osmid,oneway,lanes,ref,highway,reversed,length,name,geometry,maxspeed,junction,bridge,tunnel
24577290,False,5,2,secondary,False,12.344,,"LINESTRING (101.6951431 3.1509889, 101.6950827 3.1508957)",,,,
"[24577649, 778020046]",True,2,,secondary,False,171.45600000000002,Jalan Tun Perak,"LINESTRING (101.6951431 3.1509889, 101.6952269 3.1509185, 101.6952602 3.1508819, 101.6954142 3.1507121, 101.69558 3.1504996, 101.6957472 3.1503191, 101.6961493 3.1498222)",,,,
23063834,False,1,,unclassified,False,53.46,Jalan Bunus 6,"LINESTRING (101.6963706 3.1547118, 101.6964287 3.1547202, 101.6968481 3.1547736)",,,,
"[653313985, 676692266, 778049298, 778049299, 777852439, 777859614]",True,2,2,secondary,False,387.15299999999996,Jalan Tuanku Abdul Rahman,"LINESTRING (101.6963706 3.1547118, 101.6964036 3.1545355, 101.6965018 3.1539836, 101.6965041 3.1539629, 101.6965312 3.1538074, 101.696563 3.1535665, 101.6965886 3.1533232, 101.6965883 3.1532837, 101.6965831 3.153222, 101.6965784 3.1531905, 101.6965682 3.1531558, 101.6965546 3.1531229, 101.6965385 3.1530881, 101.6965006 3.1530221, 101.6964457 3.1529261, 101.6963535 3.1527968, 101.69586 3.1520693, 101.6958155 3.1520042, 101.6956348 3.1517449, 101.6955725 3.1516578, 101.6955164 3.1515673)",50,,,
322416501,True,1,,unclassified,False,14.994,Jalan Bunus 6,"LINESTRING (101.6971685 3.1547914, 101.6973032 3.1548011)",,,,
778045411,False,2,,unclassified,True,35.628,Jalan Bunus 6,"LINESTRING (101.6971685 3.1547914, 101.6968481 3.1547736)",,,,
"[23064057, 778056845]",True,2,,unclassified,False,110.71600000000001,Jalan Masjid India,"LINESTRING (101.6962652 3.1519312, 101.6966103 3.1517282, 101.6966718 3.151692, 101.6969541 3.1521343)",,,,
778045411,False,2,,unclassified,False,35.628,Jalan Bunus 6,"LINESTRING (101.6968481 3.1547736, 101.6971685 3.1547914)",,,,
23063834,False,1,,unclassified,True,53.46,Jalan Bunus 6,"LINESTRING (101.6968481 3.1547736, 101.6964287 3.1547202, 101.6963706 3.1547118)",,,,
"[777827544, 429511483, 429511484, 777827543]",True,"['1', '2']",,unclassified,False,341.235,Lorong Tuanku Abdul Rahman,"LINESTRING (101.6968481 3.1547736, 101.6968546 3.154728, 101.6969556 3.154021, 101.6970237 3.1534501, 101.697033 3.153305, 101.6969669 3.1530424, 101.6969062 3.1528849, 101.6966919 3.1525495, 101.6962652 3.1519312)",,,,
502729747,True,3,,tertiary,False,9.047,Bulatan Dato Onn,"LINESTRING (101.6926052 3.1505994, 101.6925746 3.1506422, 101.6925581 3.1506658)",,roundabout,,
1172992643,True,3,,tertiary,False,13.823,Bulatan Dato Onn,"LINESTRING (101.692552 3.1509141, 101.6925726 3.1510367)",,roundabout,,
"[502729746, 188181111]",True,"['2', '3']",,secondary,False,42.82899999999999,Jalan Parlimen,"LINESTRING (101.6931551 3.151283, 101.6932249 3.1512536, 101.6932543 3.1512453, 101.6932786 3.1512426, 101.6933137 3.1512482, 101.6934153 3.1512551, 101.6935311 3.1512757)",,,yes,
502729747,True,3,,tertiary,False,29.747999999999998,Bulatan Dato Onn,"LINESTRING (101.6931551 3.151283, 101.693176 3.1511826, 101.6931683 3.1510178)",,roundabout,,
164030059,True,4,,tertiary,False,36.961,Jalan Munshi Abdullah,"LINESTRING (101.6986138 3.1530094, 101.6986093 3.1530494, 101.6985822 3.1532894, 101.6985765 3.1533397)",,,,
"[772017515, 135251571, 776076221]",True,"['2', '3']",,tertiary,False,237.25399999999996,"['Leboh Ampang', 'Jalan Ampang']","LINESTRING (101.6970616 3.1487663, 101.697238 3.14895, 101.697633 3.1493345, 101.697998 3.1496675, 101.6980339 3.1497147, 101.6980292 3.149733, 101.6980112 3.1497605, 101.6979763 3.1498037, 101.6979549 3.1498296, 101.6979281 3.1498712, 101.6978974 3.1499292, 101.6978566 3.1500092, 101.6978342 3.1500816, 101.6978002 3.1502171, 101.6977729 3.1503558, 101.6977661 3.1504284)",,,,
778020045,True,2,,secondary,False,68.348,Jalan Tun Perak,"LINESTRING (101.6970616 3.1487663, 101.6974114 3.1484015, 101.6974855 3.1483206)",,,,
135623554,True,2,,unclassified,False,10.389,Jalan Tun H.S. Lee,"LINESTRING (101.6974855 3.1483206, 101.6974308 3.1482448)",,,,
"[772207117, 772207118]",True,2,,secondary,False,59.102000000000004,Jalan Tun Perak,"LINESTRING (101.6974855 3.1483206, 101.6975038 3.1482999, 101.6975436 3.1482556, 101.697807 3.1479965, 101.697859 3.1479421)",,,,
"[135489026, 772207116]",True,2,,secondary,False,99.35300000000001,Jalan Tun Perak,"LINESTRING (101.6984023 3.1472109, 101.6982421 3.1474077, 101.698069 3.147615, 101.6978624 3.147813, 101.6978346 3.1478433, 101.6978037 3.1478732)",,,,
775578844,True,2,,tertiary,False,9.818,Jalan Hang Lekiu,"LINESTRING (101.6978037 3.1478732, 101.697859 3.1479421)",,,,
135623662,True,2,,secondary,False,58.508999999999986,Jalan Tun Perak,"LINESTRING (101.6978037 3.1478732, 101.697776 3.147905, 101.6977432 3.1479383, 101.6976202 3.1480587, 101.6975377 3.1481393, 101.6974891 3.148189, 101.6974651 3.148212, 101.6974308 3.1482448)",,,,
"[675978529, 135623663]",True,2,,secondary,False,70.42,Jalan Tun Perak,"LINESTRING (101.6974308 3.1482448, 101.6974108 3.1482655, 101.6973533 3.148324, 101.6972502 3.1484277, 101.6970698 3.1486193, 101.6969935 3.1487034)",,,,
"[772212490, 504344459, 715625586]",True,3,,unclassified,False,87.362,Jalan Tun H.S. Lee,"LINESTRING (101.6974308 3.1482448, 101.6973839 3.14819, 101.6972765 3.1480578, 101.6971291 3.1478699, 101.6971232 3.1478625, 101.6969396 3.1476311)",,,,
398537020,True,1,,unclassified,False,85.879,Lorong Bunus 5,"LINESTRING (101.6981615 3.1548403, 101.6981596 3.1546327, 101.6981258 3.1545605, 101.6980548 3.1545342, 101.6976458 3.1545052)",,,,
