osmid,oneway,lanes,name,highway,reversed,length,geometry,junction,ref,access
262492605,True,2,,secondary,False,108.04100000000001,"LINESTRING (113.988701 4.3896374, 113.9886612 4.3897613, 113.9886354 4.3898478, 113.9886092 4.389906, 113.9885591 4.3899635, 113.9885167 4.3900056, 113.9884595 4.3900475, 113.9884014 4.3900798, 113.9883517 4.3901057, 113.9882547 4.3901509, 113.9881583 4.3901771, 113.9881035 4.390186, 113.9880083 4.3902056)",,,
349942357,True,2,Jalan Padang,secondary,False,64.55000000000001,"LINESTRING (113.9880083 4.3902056, 113.9879487 4.390199, 113.9878817 4.3901768, 113.9878168 4.390143, 113.9876922 4.3900631, 113.9876466 4.3900334, 113.9875011 4.389935)",,,
262492604,True,2,,trunk_link,False,149.6,"LINESTRING (113.9893456 4.3915165, 113.9896568 4.3918187, 113.9899844 4.3921095, 113.9903474 4.392417)",,,
816399083,True,,,trunk_link,False,204.921,"LINESTRING (113.9893456 4.3915165, 113.9896332 4.3917132, 113.9903533 4.3922935, 113.9905961 4.392466, 113.990839 4.3925957)",,,
189796948,True,2,Jalan Miri–Pujut,trunk,False,109.522,"LINESTRING (113.9915612 4.3931568, 113.9917793 4.3933264, 113.9918619 4.3934094, 113.9920193 4.3935979, 113.9922071 4.39389)",,1-80A,yes
895107929,True,2,Jalan Miri–Pujut,trunk,False,397.994,"LINESTRING (113.9924039 4.3940187, 113.9921011 4.3934802, 113.9919498 4.3933122, 113.9918287 4.3931901, 113.9917702 4.3931438, 113.9916249 4.3930328, 113.9905846 4.39225, 113.9901259 4.3918882, 113.9898008 4.3916137)",,1-80B,yes
262492604,True,2,,trunk_link,False,82.464,"LINESTRING (113.9904965 4.3925286, 113.9906721 4.3926599, 113.9907547 4.3927156, 113.9909832 4.3928886, 113.9911003 4.3929608)",,,
816404047,False,,Jalan Kwangtung,unclassified,True,6.314,"LINESTRING (113.9888723 4.3935275, 113.9888506 4.393475)",,,
262798534,True,,Jalan Chia Tze Chin,secondary,False,131.136,"LINESTRING (113.9888723 4.3935275, 113.9891475 4.3933631, 113.9892266 4.3933153, 113.9892808 4.3932813, 113.9894693 4.3931704, 113.9897407 4.3930547, 113.9898104 4.3930379, 113.9899233 4.3929982)",,,
818980998,False,,Jalan Kwangtung,unclassified,False,185.24099999999999,"LINESTRING (113.9888723 4.3935275, 113.9890363 4.3938483, 113.9890817 4.3939114, 113.9891653 4.393986, 113.9893513 4.3941244, 113.9895259 4.3942685, 113.9896171 4.3943421, 113.989788 4.3944772, 113.9900479 4.3946725)",,,
273634676,True,2,Jalan Kingsway,secondary,False,31.005,"LINESTRING (113.9882114 4.3939672, 113.9880932 4.3937145)",,,
262798534,True,,Jalan Chia Tze Chin,secondary,False,92.689,"LINESTRING (113.9882114 4.3939672, 113.9882257 4.3938734, 113.9882452 4.3938399, 113.9882774 4.3938155, 113.9883465 4.3937757, 113.9885092 4.3936955, 113.9888723 4.3935275)",,,
1232567619,False,,Jalan Brooke,tertiary,True,25.284,"LINESTRING (113.9883306 4.3944916, 113.9881524 4.3943497)",,,
"[389642677, 1232831687]",True,2,"['Jalan Kingsway', 'Jalan Brooke']",secondary,False,17.589,"LINESTRING (113.9883306 4.3944916, 113.9883743 4.3945717, 113.9884188 4.3946219)",,,
262798533,False,,Jalan Nahkoda Gampar,tertiary,False,11.385,"LINESTRING (113.9884807 4.3945402, 113.9884188 4.3946219)",,,
1232831690,True,,Jalan Brooke,secondary,False,17.497,"LINESTRING (113.9884807 4.3945402, 113.9883306 4.3944916)",,,
273634676,True,2,Jalan Kingsway,secondary,False,70.539,"LINESTRING (113.9884807 4.3945402, 113.9883631 4.3943407, 113.9882114 4.3939672)",,,
"[818377785, 1240376917]",False,,Jalan Hokkien,unclassified,False,207.871,"LINESTRING (113.9900479 4.3946725, 113.9903052 4.3943227, 113.9903635 4.3942435, 113.9903974 4.3941973, 113.9904126 4.3941767, 113.9904921 4.3940686, 113.9905243 4.3940248, 113.990534 4.3940117, 113.9905964 4.3939268, 113.9907178 4.3937617, 113.9907358 4.3937373, 113.9907966 4.3936547, 113.9908201 4.3936226, 113.9908921 4.3935248, 113.99103 4.3933373, 113.9910819 4.3932668, 113.9911587 4.3931665)",,,
818980998,False,,Jalan Kwangtung,unclassified,False,113.619,"LINESTRING (113.9900479 4.3946725, 113.9903895 4.3949318, 113.9904472 4.394976, 113.9905949 4.395084, 113.9908688 4.3952841)",,,
818980998,False,,Jalan Kwangtung,unclassified,True,185.24099999999999,"LINESTRING (113.9900479 4.3946725, 113.989788 4.3944772, 113.9896171 4.3943421, 113.9895259 4.3942685, 113.9893513 4.3941244, 113.9891653 4.393986, 113.9890817 4.3939114, 113.9890363 4.3938483, 113.9888723 4.3935275)",,,
815416607,False,,,unclassified,True,8.9,"LINESTRING (113.9903315 4.3960083, 113.9902811 4.3960706)",,,
828593580,True,,Jalan Setia Raja,unclassified,False,30.553,"LINESTRING (113.9903315 4.3960083, 113.9904947 4.3957869)",,,
883637244,True,,Jalan Brooke,secondary,False,18.602,"LINESTRING (113.9903315 4.3960083, 113.9902896 4.3959779, 113.9901961 4.3959095)",,,
"[262798528, 1232567619]",False,,Jalan Brooke,tertiary,False,84.52,"LINESTRING (113.9873632 4.3937198, 113.9874 4.3937497, 113.987745 4.3940312, 113.9879581 4.394195)",,,
816438852,True,,Jalan Brooke,tertiary,False,124.392,"LINESTRING (113.9873632 4.3937198, 113.9873515 4.3936634, 113.9870483 4.3934303, 113.9866637 4.3931178, 113.9865933 4.3930619, 113.986499 4.3930488)",,,
262798529,True,,Jalan Hokkien,unclassified,False,27.073,"LINESTRING (113.9911587 4.3931665, 113.9913981 4.3931185)",,,
"[818377785, 1240376917]",False,,Jalan Hokkien,unclassified,True,207.87099999999998,"LINESTRING (113.9911587 4.3931665, 113.9910819 4.3932668, 113.99103 4.3933373, 113.9908921 4.3935248, 113.9908201 4.3936226, 113.9907966 4.3936547, 113.9907358 4.3937373, 113.9907178 4.3937617, 113.9905964 4.3939268, 113.990534 4.3940117, 113.9905243 4.3940248, 113.9904921 4.3940686, 113.9904126 4.3941767, 113.9903974 4.3941973, 113.9903635 4.3942435, 113.9903052 4.3943227, 113.9900479 4.3946725)",,,
364617401,True,2,Jalan Marina 3,tertiary,False,31.047,"LINESTRING (113.9838056 4.3884139, 113.9835528 4.388534)",,,
446750236,True,,Jalan Kubu,primary,False,16.959,"LINESTRING (113.9838056 4.3884139, 113.9838792 4.3885476)",,,
273634711,True,,Jalan Kubu,tertiary,False,30.045,"LINESTRING (113.9839756 4.3885018, 113.984219 4.388383)",,,
"[816379763, 189796941]",True,2,Jalan Kubu,primary,False,17.112000000000002,"LINESTRING (113.9839756 4.3885018, 113.9839408 4.3884387, 113.983904 4.3883655)",,,
446750236,True,,Jalan Kubu,primary,False,28.999,"LINESTRING (113.9838792 4.3885476, 113.9840106 4.3887731)",,,
507340438,True,,,tertiary,False,11.839,"LINESTRING (113.9838792 4.3885476, 113.9839756 4.3885018)",,,
1240897454,True,2,Jalan Melayu,secondary,False,28.718,"LINESTRING (113.98681 4.3909721, 113.9869002 4.3912142)",,,
273634723,True,2,Jalan Padang,secondary,False,61.31400000000001,"LINESTRING (113.98681 4.3909721, 113.9869247 4.3910614, 113.9869917 4.3910915, 113.9870725 4.3911095, 113.9871748 4.3911215, 113.987323 4.3911187)",,,
261478089,True,2,Jalan Padang,secondary,False,58.933,"LINESTRING (113.987323 4.3911187, 113.9878085 4.3909029)",,,
262798531,False,,Jalan Setia Raja,unclassified,True,151.36899999999997,"LINESTRING (113.9921263 4.3942355, 113.9915622 4.3945485, 113.9914963 4.3945929, 113.9914486 4.39463, 113.9914124 4.3946693, 113.9912488 4.3948473, 113.9911234 4.3950055, 113.9910727 4.3950695)",,,
273634682,True,,Jalan Setia Raja,unclassified,False,34.722,"LINESTRING (113.9921263 4.3942355, 113.9922845 4.3942498, 113.9924281 4.3943062)",,,
1232831693,True,2,Jalan Brooke,secondary,False,244.05900000000003,"LINESTRING (113.9885388 4.3947301, 113.9887029 4.394874, 113.9890993 4.3951788, 113.9891996 4.3952563, 113.9893307 4.3953549, 113.9895863 4.3955472, 113.9896655 4.3956123, 113.9898288 4.3957338, 113.9899383 4.3958154, 113.989964 4.3958345, 113.9902811 4.3960706)",,,
684565789,True,1,,secondary_link,False,29.583000000000002,"LINESTRING (113.9911815 4.3968594, 113.9911893 4.396773, 113.9912167 4.3967042, 113.9912703 4.3966135)",,,
1190147069,True,,Jalan Sylvia,secondary,False,23.77,"LINESTRING (113.9911815 4.3968594, 113.9910681 4.3967077, 113.9910505 4.3966905)",,,
273634676,True,2,Jalan Kingsway,secondary,False,129.708,"LINESTRING (113.9874107 4.3921696, 113.9872922 4.391911, 113.9872334 4.3917775, 113.9871837 4.3916745, 113.9871458 4.3915886, 113.9871362 4.39152, 113.9871361 4.3914363, 113.9871729 4.391311, 113.9872398 4.3912071, 113.987323 4.3911187)",,,
271954869,True,,High Street,tertiary,False,11.39,"LINESTRING (113.9873157 4.3922086, 113.9874107 4.3921696)",,,
389642676,True,2,Jalan Kingsway,secondary,False,18.733,"LINESTRING (113.9873157 4.3922086, 113.9873842 4.3923626)",,,
273634676,True,2,Jalan Kingsway,secondary,False,18.5,"LINESTRING (113.9874741 4.3923235, 113.9874107 4.3921696)",,,
423601370,True,,High Street,tertiary,False,10.874,"LINESTRING (113.9873842 4.3923626, 113.9874741 4.3923235)",,,
