nodeId,X,Y
0,130,95
1,133,95
2,135,95
3,112,96
4,130,96
5,133,97
6,125,98
7,131,98
8,147,98
9,148,98
10,161,98
11,123,99
12,125,99
13,130,99
14,149,99
15,105,100
16,126,100
17,129,100
18,152,100
19,120,101
20,126,101
21,128,101
22,144,101
23,118,102
24,126,102
25,126,102
26,128,102
27,126,103
28,127,103
29,127,103
30,156,103
31,99,104
32,119,104
33,126,104
34,128,104
35,156,104
36,98,105
37,122,106
38,122,107
39,122,107
40,123,107
41,123,107
42,124,107
43,124,107
44,125,107
45,125,107
46,137,107
47,101,108
48,122,108
49,122,108
50,125,108
51,125,108
52,135,108
53,101,109
54,122,109
55,123,109
56,123,109
57,124,109
58,125,109
59,125,109
60,126,109
61,133,109
62,101,110
63,122,110
64,126,110
65,132,110
66,143,110
67,121,111
68,121,111
69,126,111
70,159,111
71,101,112
72,121,112
73,121,112
74,121,112
75,128,112
76,128,112
77,128,112
78,142,112
79,163,112
80,129,113
81,129,113
82,130,113
83,130,113
84,141,113
85,129,114
86,130,114
87,132,114
88,133,114
89,134,114
90,135,114
91,136,114
92,137,114
93,120,115
94,139,115
95,140,115
96,142,115
97,167,115
98,119,116
99,129,116
100,151,116
101,128,117
102,169,117
103,91,118
104,118,118
105,128,118
106,146,118
107,151,118
108,155,118
109,158,118
110,160,118
111,161,118
112,163,118
113,163,118
114,164,118
115,117,119
116,127,119
117,155,119
118,117,120
119,127,120
120,153,120
121,118,121
122,119,121
123,127,121
124,151,121
125,116,122
126,126,122
127,126,122
128,127,122
129,132,122
130,136,122
131,137,122
132,138,122
133,139,122
134,140,122
135,143,122
136,145,122
137,146,122
138,152,122
139,96,123
140,114,123
141,115,123
142,126,123
143,131,123
144,131,123
145,113,124
146,127,124
147,127,124
148,128,124
149,128,124
150,129,124
151,130,124
152,146,124
153,154,124
154,113,125
155,128,125
156,128,125
157,129,125
158,146,125
159,164,125
160,80,122
161,97,122
162,141,122
163,144,122
164,151,122
165,164,122
166,181,122
167,181,122
168,78,123
169,127,123
170,144,123
171,146,123
172,149,123
173,150,123
174,150,123
175,165,123
176,166,123
177,174,123
178,77,124
179,86,124
180,102,124
181,114,124
182,126,124
183,149,124
184,151,124
185,183,124
186,94,125
187,109,125
188,148,125
189,149,125
190,154,125
191,164,125
192,179,125
193,183,125
194,77,126
195,94,126
196,98,126
197,102,126
198,156,126
199,157,126
200,175,126
201,177,126
202,178,126
203,108,127
204,113,127
205,116,127
206,147,127
207,147,127
208,163,127
209,174,127
210,76,128
211,99,128
212,146,128
213,148,128
214,169,128
215,170,128
216,171,128
217,172,128
218,76,129
219,102,129
220,146,129
221,152,129
222,154,129
223,156,129
224,157,129
225,159,129
226,161,129
227,163,129
228,168,129
229,169,129
230,170,129
231,172,129
232,172,129
233,76,130
234,107,130
235,144,130
236,145,130
237,159,130
238,163,130
239,164,130
240,165,130
241,166,130
242,167,130
243,167,130
244,171,130
245,172,130
246,75,131
247,107,131
248,128,131
249,143,131
250,144,131
251,168,131
252,169,131
253,175,131
254,107,132
255,127,132
256,143,132
257,146,132
258,149,132
259,150,132
260,152,132
261,153,132
262,155,132
263,157,132
264,158,132
265,160,132
266,169,132
267,171,132
268,171,132
269,172,132
270,176,132
271,177,132
272,177,132
273,75,133
274,106,133
275,107,133
276,109,133
277,126,133
278,153,133
279,154,133
280,170,133
281,173,133
282,177,133
283,74,134
284,105,134
285,107,134
286,107,134
287,108,134
288,109,134
289,124,134
290,172,134
291,176,134
292,74,135
293,103,135
294,112,135
295,122,135
296,151,135
297,154,135
298,174,135
299,175,135
300,176,135
301,73,136
302,121,136
303,122,136
304,123,136
305,151,136
306,151,136
307,152,136
308,154,136
309,156,136
310,174,136
311,174,136
312,73,137
313,99,137
314,100,137
315,114,137
316,114,137
317,119,137
318,120,137
319,125,137
320,151,137
321,113,141
322,116,141
323,117,141
324,124,141
325,137,141
326,137,141
327,145,141
328,152,141
329,152,141
330,172,141
331,85,142
332,108,142
333,109,142
334,116,142
335,122,142
336,125,142
337,137,142
338,145,142
339,145,142
340,152,142
341,152,142
342,172,142
343,172,142
344,85,143
345,85,143
346,108,143
347,108,143
348,108,143
349,125,143
350,125,143
351,137,143
352,137,143
353,137,143
354,137,143
355,145,143
356,145,143
357,145,143
358,145,143
359,150,143
360,171,143
361,171,143
362,171,143
363,172,143
364,172,143
365,86,144
366,107,144
367,108,144
368,115,144
369,127,144
370,127,144
371,127,144
372,127,144
373,137,144
374,137,144
375,145,144
376,145,144
377,149,144
378,150,144
379,150,144
380,170,144
381,170,144
382,170,144
383,170,144
384,171,144
385,171,144
386,171,144
387,172,144
388,172,144
389,86,145
390,86,145
391,107,145
392,107,145
393,115,145
394,127,145
395,127,145
396,127,145
397,127,145
398,137,145
399,137,145
400,145,145
401,145,145
402,145,145
403,146,145
404,147,145
405,147,145
406,147,145
407,148,145
408,148,145
409,148,145
410,149,145
411,149,145
412,149,145
413,149,145
414,150,145
415,150,145
416,150,145
417,151,145
418,151,145
