osmid,oneway,ref,highway,junction,reversed,length,geometry
294727975,True,F130,primary,roundabout,False,35.224,"LINESTRING (9.3383418 11.6900723, 9.3384431 11.6900363, 9.3385508 11.6900421, 9.3386476 11.6900887)"
294727975,True,F130,primary,roundabout,False,9.987,"LINESTRING (9.3386476 11.6900887, 9.3387097 11.6901548)"
294727975,True,F130,primary,roundabout,False,42.385999999999996,"LINESTRING (9.3387097 11.6901548, 9.3387516 11.6902749, 9.3387315 11.6904006, 9.3386539 11.6905024)"
"[740048446, 395182358]",True,,secondary,,False,317.313,"LINESTRING (9.3387097 11.6901548, 9.3388019 11.690242, 9.3389046 11.690306, 9.3390037 11.6903349, 9.3391326 11.6903558, 9.339414 11.6903852, 9.3396513 11.6903998, 9.3398817 11.6904, 9.3407639 11.6904382, 9.3414237 11.6904562, 9.3415594 11.6904627)"
294727975,True,F130,primary,roundabout,False,8.268,"LINESTRING (9.3382726 11.6904642, 9.3382336 11.6904004)"
294727975,True,F130,primary,roundabout,False,8.647,"LINESTRING (9.3386539 11.6905024, 9.3385858 11.6905424)"
"[262652185, 740040980]",True,F130,primary,,False,197.567,"LINESTRING (9.3385858 11.6905424, 9.3385211 11.6906933, 9.3384835 11.6907984, 9.3384486 11.6909494, 9.3384098 11.6911648, 9.3383802 11.6914419, 9.3383575 11.6917092, 9.3383481 11.6919541, 9.3383561 11.6922903)"
294727975,True,F130,primary,roundabout,False,37.438,"LINESTRING (9.3385858 11.6905424, 9.3384729 11.6905622, 9.3383619 11.6905345, 9.3382726 11.6904642)"
557916106,False,,primary,,True,10.31,"LINESTRING (9.3389325 11.6948835, 9.3390258 11.6948677)"
"[262652184, 294727980, 262652205]",True,F130,primary,,False,467.98699999999997,"LINESTRING (9.3389325 11.6948835, 9.3389051 11.6948317, 9.338796 11.6946174, 9.3386967 11.6943653, 9.3386029 11.6941079, 9.3385023 11.6937992, 9.3384178 11.6935077, 9.3383588 11.6932135, 9.3383159 11.6929062, 9.3382756 11.6925267, 9.3382542 11.6922588, 9.3382515 11.6920578, 9.3382595 11.6917755, 9.3382689 11.6915798, 9.3382904 11.6913513, 9.3383118 11.6911622, 9.3383467 11.690893, 9.3383639 11.6907846)"
557915583,False,,primary,,False,27.261,"LINESTRING (9.3389325 11.6948835, 9.3388667 11.6948912, 9.3388107 11.6949021, 9.3386859 11.6949251)"
557915583,False,,primary,,True,12.719,"LINESTRING (9.3368673 11.6949694, 9.3369839 11.6949626)"
740081832,True,,residential,,False,12.755,"LINESTRING (9.3368673 11.6949694, 9.3369263 11.6948703)"
557915583,False,,primary,,False,12.719,"LINESTRING (9.3369839 11.6949626, 9.3368673 11.6949694)"
557915583,False,,primary,,True,185.376,"LINESTRING (9.3369839 11.6949626, 9.3381018 11.694943, 9.3386859 11.6949251)"
294727975,True,F130,primary,roundabout,False,7.715,"LINESTRING (9.3382868 11.6901158, 9.3383128 11.6900923, 9.3383418 11.6900723)"
294727975,True,F130,primary,roundabout,False,33.83,"LINESTRING (9.3382336 11.6904004, 9.3382126 11.6903011, 9.3382311 11.6902014, 9.3382868 11.6901158)"
"[395182349, 262652197]",True,,secondary,,False,230.195,"LINESTRING (9.340766 11.6905479, 9.3398528 11.6905016, 9.3396221 11.6904898, 9.3393847 11.6904859, 9.339036 11.6904859, 9.3387745 11.6904964, 9.3386539 11.6905024)"
"[559118515, 285089903]",False,,residential,,False,456.80600000000004,"LINESTRING (9.340766 11.6905479, 9.340807 11.6908699, 9.3408599 11.691199, 9.3409322 11.6915065, 9.3410007 11.6917965, 9.3409607 11.6918323, 9.3409245 11.6918659, 9.3404952 11.6923047, 9.3404321 11.6923599, 9.3403905 11.6923891, 9.3401474 11.6923839, 9.3383561 11.6922903)"
557915583,False,,primary,,False,185.376,"LINESTRING (9.3386859 11.6949251, 9.3381018 11.694943, 9.3369839 11.6949626)"
557915583,False,,primary,,True,27.261,"LINESTRING (9.3386859 11.6949251, 9.3388107 11.6949021, 9.3388667 11.6948912, 9.3389325 11.6948835)"
262652184,True,F130,primary,,False,18.267,"LINESTRING (9.3390074 11.6950305, 9.3389325 11.6948835)"
557915582,True,,primary_link,,False,38.118,"LINESTRING (9.3390074 11.6950305, 9.3389589 11.694993, 9.338912 11.6949601, 9.3388691 11.6949425, 9.3386859 11.6949251)"
557916106,False,,primary,,False,10.31,"LINESTRING (9.3390258 11.6948677, 9.3389325 11.6948835)"
558824308,False,,residential,,True,44.239,"LINESTRING (9.3435529 11.6944651, 9.3431643 11.694349)"
559109086,False,,residential,,True,90.429,"LINESTRING (9.3435529 11.6944651, 9.3435877 11.6945504, 9.3435985 11.6946319, 9.3435743 11.6947396, 9.3435341 11.6948315, 9.3434403 11.6950127, 9.3433094 11.6951986)"
558824308,False,,residential,,False,67.162,"LINESTRING (9.3425899 11.6941354, 9.3426664 11.6941827, 9.3427885 11.6942208, 9.3429991 11.6942996, 9.3431643 11.694349)"
559109083,False,,residential,,True,79.494,"LINESTRING (9.3425899 11.6941354, 9.3426651 11.69397, 9.3427107 11.6938938, 9.3427804 11.693773, 9.3428341 11.6936627, 9.3428851 11.6935708, 9.3429252 11.6935011)"
559109088,False,,residential,,False,78.071,"LINESTRING (9.3425899 11.6941354, 9.3424103 11.6943954, 9.342201 11.6947251)"
558824313,False,,residential,,True,79.617,"LINESTRING (9.3436186 11.6937283, 9.3429252 11.6935011)"
559109089,False,,residential,,True,84.915,"LINESTRING (9.3436186 11.6937283, 9.3431643 11.694349)"
558824313,False,,residential,,False,79.617,"LINESTRING (9.3429252 11.6935011, 9.3436186 11.6937283)"
559109083,False,,residential,,False,79.494,"LINESTRING (9.3429252 11.6935011, 9.3428851 11.6935708, 9.3428341 11.6936627, 9.3427804 11.693773, 9.3427107 11.6938938, 9.3426651 11.69397, 9.3425899 11.6941354)"
559109084,False,,residential,,True,143.837,"LINESTRING (9.3429252 11.6935011, 9.3430057 11.6931138, 9.3431318 11.6924623, 9.3431726 11.6922305)"
559109084,False,,residential,,True,10.493,"LINESTRING (9.3434158 11.6906448, 9.3434263 11.690551)"
262652197,True,,secondary,,False,288.812,"LINESTRING (9.3434158 11.6906448, 9.3431121 11.690617, 9.3414653 11.6905817, 9.340766 11.6905479)"
559109084,False,,residential,,False,178.32999999999998,"LINESTRING (9.3434158 11.6906448, 9.3432873 11.6915798, 9.3431726 11.6922305)"
262652205,True,F130,primary,,False,37.385999999999996,"LINESTRING (9.3383639 11.6907846, 9.3383588 11.6907104, 9.3383467 11.6906356, 9.3382726 11.6904642)"
558849278,False,,residential,,True,501.03800000000007,"LINESTRING (9.3383639 11.6907846, 9.3382891 11.690801, 9.3382488 11.6908378, 9.338222 11.6909035, 9.3381965 11.6910138, 9.3381791 11.6911425, 9.3381375 11.69148, 9.3381147 11.6916271, 9.3380959 11.6917138, 9.3380758 11.6917689, 9.3380544 11.6917978, 9.3380047 11.6918307, 9.3379726 11.6918727, 9.3379578 11.6919278, 9.3379632 11.6919922, 9.3379498 11.6920316, 9.3379229 11.692071, 9.3377982 11.6922115, 9.3376493 11.6923967, 9.3375997 11.6924492, 9.3375461 11.6924794, 9.3374898 11.6925162, 9.3374388 11.6925727, 9.3373851 11.6926646, 9.3373436 11.6927631, 9.3372966 11.6928721, 9.3372631 11.6930284, 9.3372215 11.6932661, 9.3372175 11.6933344, 9.3372269 11.6933961, 9.3372256 11.6934499, 9.3372148 11.6934998, 9.3371719 11.693639, 9.3370807 11.6938728, 9.3369895 11.6942418, 9.3369392 11.6946621, 9.3369263 11.6948703)"
559068647,False,,residential,,False,13.405,"LINESTRING (9.3432812 11.6876477, 9.3434041 11.6876408)"
559068644,False,,residential,,False,82.28399999999999,"LINESTRING (9.3432812 11.6876477, 9.3432813 11.6874495, 9.3432874 11.6872598, 9.3433061 11.6870516, 9.3433128 11.6870056, 9.3433249 11.6869098)"
