osmid,highway,oneway,reversed,length,ref,junction,geometry,name
559324420,unclassified,False,False,121.31,,,"LINESTRING (9.7781678 7.8714562, 9.7792358 7.8717226)",
181916653,tertiary,False,False,123.132,,,"LINESTRING (9.7781678 7.8714562, 9.7784491 7.8705912, 9.7785106 7.8704022)",
559324420,unclassified,False,True,106.46199999999999,,,"LINESTRING (9.7781678 7.8714562, 9.7779215 7.8713891, 9.777372 7.8712708, 9.7772233 7.8712752)",
181916657,unclassified,False,True,42.849,,,"LINESTRING (9.7737443 7.8722742, 9.7737504 7.8718889)",
181916660,unclassified,False,True,62.862,,,"LINESTRING (9.7737443 7.8722742, 9.7731916 7.8724151)",
185860489,residential,False,True,79.592,,,"LINESTRING (9.7737443 7.8722742, 9.7744405 7.8720825)",
181916657,unclassified,False,False,72.10499999999999,,,"LINESTRING (9.7737443 7.8722742, 9.7739211 7.8727637, 9.7739724 7.8728818)",
181916655,primary,False,False,60.078,F242,,"LINESTRING (9.7809364 7.8725928, 9.7806259 7.873037)",Takum - Bukuru Federal Road
181916655,primary,False,True,63.461,F242,,"LINESTRING (9.7809364 7.8725928, 9.7811354 7.8722714, 9.7812223 7.8720979)",Takum - Bukuru Federal Road
476880268,unclassified,False,False,91.639,,,"LINESTRING (9.7776333 7.8736984, 9.7768081 7.8735935)",
476880268,unclassified,False,True,89.23,,,"LINESTRING (9.7776333 7.8736984, 9.7784434 7.8736969)",
181916653,tertiary,False,False,88.352,,,"LINESTRING (9.7776333 7.8736984, 9.7776378 7.8735368, 9.7777012 7.8732688, 9.7778138 7.872929)",
181916653,tertiary,False,True,53.458,,,"LINESTRING (9.7776333 7.8736984, 9.7776413 7.8740249, 9.7776577 7.8741782)",
181916657,unclassified,False,False,81.179,,,"LINESTRING (9.7744174 7.8738462, 9.7747563 7.8744945)",
181916657,unclassified,False,True,46.382,,,"LINESTRING (9.7744174 7.8738462, 9.7742353 7.8734701)",
476880268,unclassified,False,False,135.11,,,"LINESTRING (9.7744174 7.8738462, 9.773195 7.8739471)",
476880268,unclassified,False,True,48.001,,,"LINESTRING (9.7744174 7.8738462, 9.7748481 7.8737804)",
185860480,residential,False,False,104.008,,,"LINESTRING (9.7770263 7.8663111, 9.7779636 7.8664244)",
558733014,residential,False,True,77.21,,,"LINESTRING (9.7770263 7.8663111, 9.7768884 7.8669919)",
185860480,residential,False,False,97.627,,,"LINESTRING (9.7779636 7.8664244, 9.7788483 7.8664774)",
185860480,residential,False,True,104.008,,,"LINESTRING (9.7779636 7.8664244, 9.7770263 7.8663111)",
185860474,unclassified,False,True,57.226,,,"LINESTRING (9.7779636 7.8664244, 9.7779372 7.866757, 9.7779136 7.8669365)",
185860469,unclassified,False,False,127.284,,,"LINESTRING (9.7758958 7.8664058, 9.7768884 7.8669919)",
181916657,unclassified,False,False,61.97,,,"LINESTRING (9.7758958 7.8664058, 9.7757096 7.8666245, 9.7755431 7.8668398)",
181916657,unclassified,False,True,82.22,,,"LINESTRING (9.7758958 7.8664058, 9.7760332 7.8663247, 9.7765362 7.8660259)",
185860480,residential,False,True,97.627,,,"LINESTRING (9.7788483 7.8664774, 9.7779636 7.8664244)",
558690090,residential,False,False,96.933,,,"LINESTRING (9.7788483 7.8664774, 9.7786486 7.8673264)",
185860480,residential,False,False,87.556,,,"LINESTRING (9.7788483 7.8664774, 9.779391 7.8665628, 9.7796295 7.86662)",
181916653,tertiary,False,False,8.888,,,"LINESTRING (9.7796295 7.86662, 9.7796551 7.8665442)",
181916653,tertiary,False,True,123.706,,,"LINESTRING (9.7796295 7.86662, 9.7794531 7.8674587, 9.7793802 7.8677041)",
185860480,residential,False,True,87.556,,,"LINESTRING (9.7796295 7.86662, 9.779391 7.8665628, 9.7788483 7.8664774)",
185860478,unclassified,False,False,64.999,,,"LINESTRING (9.7805679 7.8667461, 9.7811343 7.8669101)",
185860478,unclassified,False,True,103.02,,,"LINESTRING (9.7805679 7.8667461, 9.7796551 7.8665442)",
185860490,residential,False,True,170.313,,,"LINESTRING (9.7805679 7.8667461, 9.7801611 7.8682238)",
185860474,unclassified,False,True,67.129,,,"LINESTRING (9.7779136 7.8669365, 9.7778191 7.8675329)",
185860477,residential,False,False,91.837,,,"LINESTRING (9.7779136 7.8669365, 9.7786486 7.8673264)",
185860474,unclassified,False,False,57.226,,,"LINESTRING (9.7779136 7.8669365, 9.7779372 7.866757, 9.7779636 7.8664244)",
185860469,unclassified,False,False,118.862,,,"LINESTRING (9.7768884 7.8669919, 9.7778191 7.8675329)",
185860469,unclassified,False,True,127.284,,,"LINESTRING (9.7768884 7.8669919, 9.7758958 7.8664058)",
558733009,residential,False,True,129.688,,,"LINESTRING (9.7768884 7.8669919, 9.7766577 7.8681356)",
558733014,residential,False,False,77.21,,,"LINESTRING (9.7768884 7.8669919, 9.7770263 7.8663111)",
185860478,unclassified,False,True,95.867,,,"LINESTRING (9.7819782 7.867121, 9.7811343 7.8669101)",
555639809,primary,True,False,5.531,F242,,"LINESTRING (9.7819782 7.867121, 9.7819889 7.8670724)",Takum - Bukuru Federal Road
185860477,residential,False,False,90.872,,,"LINESTRING (9.7786486 7.8673264, 9.7793802 7.8677041)",
185860477,residential,False,True,91.837,,,"LINESTRING (9.7786486 7.8673264, 9.7779136 7.8669365)",
558690090,residential,False,False,66.258,,,"LINESTRING (9.7786486 7.8673264, 9.7784957 7.8679027)",
