osmid,highway,oneway,reversed,length,lanes,ref,bridge,geometry
252480243,tertiary,False,False,95.317,,,,"LINESTRING (13.6916218 11.0831298, 13.6924944 11.0831686)"
252480248,tertiary,False,False,147.86,,,,"LINESTRING (13.6916218 11.0831298, 13.6902676 11.0830838)"
256021456,trunk,False,False,102.959,2,A13,,"LINESTRING (13.6916218 11.0831298, 13.6915593 11.0822059)"
"[256021456, 256021449, 256021450]",trunk,False,True,310.84299999999996,2,A13,yes,"LINESTRING (13.6916218 11.0831298, 13.6917095 11.0845073, 13.6917193 11.0846746, 13.6917914 11.0859203)"
252480269,unclassified,False,True,105.522,,,,"LINESTRING (13.6981035 11.087085, 13.697202 11.0874284)"
256021454,tertiary,False,False,44.442,,,,"LINESTRING (13.6981035 11.087085, 13.6984978 11.0869849)"
256021454,tertiary,False,True,47.836,,,,"LINESTRING (13.6981035 11.087085, 13.6976664 11.0870521)"
252480250,tertiary,False,False,103.629,,,,"LINESTRING (13.6914383 11.0799896, 13.6923879 11.0800003)"
252480253,residential,False,False,140.795,,,,"LINESTRING (13.6914383 11.0799896, 13.6901489 11.0800355)"
256021456,trunk,False,True,164.505,2,A13,,"LINESTRING (13.6914383 11.0799896, 13.6914487 11.0801841, 13.6914644 11.0804789, 13.6915172 11.081467)"
252480251,tertiary,False,False,134.092,,,,"LINESTRING (13.6917914 11.0859203, 13.6930178 11.0858442)"
256021450,trunk,False,True,14.873,2,A13,,"LINESTRING (13.6917914 11.0859203, 13.6917979 11.0860539)"
"[256021456, 256021449, 256021450]",trunk,False,False,310.84299999999996,2,A13,yes,"LINESTRING (13.6917914 11.0859203, 13.6917193 11.0846746, 13.6917095 11.0845073, 13.6916218 11.0831298)"
252480250,tertiary,False,False,54.663,,,,"LINESTRING (13.6934933 11.0800124, 13.6939942 11.0800179)"
252480250,tertiary,False,True,37.071,,,,"LINESTRING (13.6934933 11.0800124, 13.6931536 11.0800087)"
252480252,tertiary,False,False,93.391,,,,"LINESTRING (13.6934933 11.0800124, 13.6941394 11.0794616)"
256021450,trunk,False,False,7.287,2,A13,,"LINESTRING (13.6918393 11.0869105, 13.6918337 11.0868452)"
256021450,trunk,False,True,28.903,2,A13,,"LINESTRING (13.6918393 11.0869105, 13.6918578 11.0871698)"
252480896,unclassified,False,False,58.342,,,,"LINESTRING (13.6918393 11.0869105, 13.6915369 11.0869974, 13.691331 11.0870722)"
256021454,tertiary,False,False,10.16,,,,"LINESTRING (13.6922073 11.0867185, 13.6923004 11.086717)"
256021452,tertiary,True,False,20.481,,,,"LINESTRING (13.6922073 11.0867185, 13.6921366 11.08677, 13.6920454 11.0868094)"
252480251,tertiary,False,False,167.876,,,,"LINESTRING (13.6930178 11.0858442, 13.6945515 11.0857257)"
252480251,tertiary,False,True,134.092,,,,"LINESTRING (13.6930178 11.0858442, 13.6917914 11.0859203)"
256021459,unclassified,False,False,178.832,,,,"LINESTRING (13.6930178 11.0858442, 13.6935819 11.0850706, 13.6940848 11.0846369)"
256021459,unclassified,False,True,124.701,,,,"LINESTRING (13.6930178 11.0858442, 13.6923389 11.0866641, 13.6923004 11.086717)"
252480273,unclassified,False,False,96.783,,,,"LINESTRING (13.6958516 11.0838699, 13.6957495 11.0847345)"
256021459,unclassified,False,False,47.388,,,,"LINESTRING (13.6958516 11.0838699, 13.6959972 11.0834684)"
256021459,unclassified,False,True,136.643,,,,"LINESTRING (13.6958516 11.0838699, 13.6956834 11.0839615, 13.6946981 11.0843447)"
