osmid,highway,oneway,reversed,length,lanes,ref,name,geometry,junction,bridge
311725816,unclassified,False,False,14.059,,,,"LINESTRING (6.5465748 9.617223, 6.5466982 9.6172574)",,
583399423,unclassified,False,False,94.488,,,,"LINESTRING (6.5465748 9.617223, 6.5457389 9.617016)",,
1057985618,primary,True,False,98.76,2,F126,Federal Road F.126 Zungeru - Izom,"LINESTRING (6.5465748 9.617223, 6.5467801 9.6163582)",,
311725810,unclassified,False,True,15.366,,,,"LINESTRING (6.5458607 9.6215515, 6.5457232 9.6215247)",,
313527144,unclassified,False,False,73.18,,,Stadium Road,"LINESTRING (6.5458607 9.6215515, 6.5465161 9.6216763)",,
311725816,unclassified,False,True,14.059,,,,"LINESTRING (6.5466982 9.6172574, 6.5465748 9.617223)",,
313527156,unclassified,False,True,76.641,,,,"LINESTRING (6.5466982 9.6172574, 6.5473802 9.6174088)",,
1057985620,primary,True,False,183.14400000000003,2,F126,Federal Road F.126 Zungeru - Izom,"LINESTRING (6.5466982 9.6172574, 6.5463965 9.6186272, 6.5463857 9.6186867, 6.5463777 9.6187502, 6.5463555 9.6188691)",,
311725827,primary,True,False,76.967,2,F126,Federal Road F.126 Zungeru - Izom,"LINESTRING (6.5469599 9.6155233, 6.5470909 9.6150261, 6.5471396 9.6148542)",,
583424342,residential,False,False,109.53699999999998,,,,"LINESTRING (6.5469599 9.6155233, 6.5463468 9.6153943, 6.5463187 9.6153881, 6.5462945 9.6153719, 6.5461493 9.6151967, 6.5461429 9.6151801, 6.5461417 9.6151583, 6.5461385 9.6151145)",,
311725810,unclassified,False,False,15.366,,,,"LINESTRING (6.5457232 9.6215247, 6.5458607 9.6215515)",,
583451259,residential,False,True,93.975,,,,"LINESTRING (6.5457232 9.6215247, 6.5448821 9.6213617)",,
1057988975,primary,True,False,91.718,2,F126,Federal Road F.126 Zungeru - Izom,"LINESTRING (6.5457232 9.6215247, 6.5458758 9.6207137)",,
329692824,primary,True,False,5.916,,F126,,"LINESTRING (6.546369 9.6190817, 6.546325 9.6191125)",roundabout,
329692824,primary,True,False,10.73,,F126,,"LINESTRING (6.5461698 9.6190924, 6.5461422 9.6190623, 6.5461201 9.6190108)",roundabout,
329692824,primary,True,False,18.044,,F126,,"LINESTRING (6.546325 9.6191125, 6.5462856 9.6191242, 6.5462444 9.6191246, 6.5462048 9.6191137, 6.5461698 9.6190924)",roundabout,
579191993,primary,True,False,161.44,2,F126,Federal Road F.126 Zungeru - Izom,"LINESTRING (6.546325 9.6191125, 6.5463039 9.6191866, 6.5462892 9.6192315, 6.5462221 9.6195079, 6.5460486 9.6205373)",,
311727686,primary,True,False,9.669,2,F126,,"LINESTRING (6.5475553 9.6143212, 6.5475407 9.6143622, 6.5475145 9.6143972)",roundabout,
311727686,primary,True,False,14.045,2,F126,,"LINESTRING (6.5472671 9.6143374, 6.5472615 9.6142745, 6.5472833 9.6142151)",roundabout,
311727686,primary,True,False,5.385,2,F126,,"LINESTRING (6.5475145 9.6143972, 6.5474745 9.6144253)",roundabout,
313128448,secondary,False,True,328.07599999999996,,,,"LINESTRING (6.5475145 9.6143972, 6.5482858 9.6153006, 6.5485917 9.6156755, 6.5486828 9.6157872, 6.5490905 9.6163161, 6.5493926 9.6166935)",,
311727682,primary,True,False,327.56399999999996,2,F126,Federal Road F.126 Zungeru - Izom,"LINESTRING (6.5474745 9.6144253, 6.5474231 9.6145083, 6.5473671 9.6146055, 6.5472088 9.6150172, 6.5470674 9.6155495, 6.5466982 9.6172574)",,
311727686,primary,True,False,27.952,2,F126,,"LINESTRING (6.5474745 9.6144253, 6.5474255 9.6144393, 6.5473746 9.6144362, 6.5473278 9.6144164, 6.5472905 9.6143821, 6.5472671 9.6143374)",roundabout,
313527156,unclassified,False,False,87.415,,,,"LINESTRING (6.5493926 9.6166935, 6.548667 9.6170194)",,
560630668,unclassified,False,False,66.126,,,,"LINESTRING (6.5493926 9.6166935, 6.5497903 9.6162464)",,
313128448,secondary,False,False,328.076,,,,"LINESTRING (6.5493926 9.6166935, 6.5490905 9.6163161, 6.5486828 9.6157872, 6.5485917 9.6156755, 6.5482858 9.6153006, 6.5475145 9.6143972)",,
