osmid,oneway,highway,reversed,length,lanes,name,maxspeed,geometry,ref,tunnel
25223852,True,residential,False,20.874,,,,"LINESTRING (28.5090909 54.2198644, 28.5087911 54.2199316)",,
"[296931178, 319012397]",True,secondary,False,449.17,2,вуліца Чапаева,40,"LINESTRING (28.5090909 54.2198644, 28.5091377 54.2199323, 28.5099258 54.2210763, 28.5108517 54.2224203, 28.5110617 54.2227312, 28.511401 54.2232331, 28.511556 54.2234624, 28.5116588 54.2236145)",,
319012395,True,secondary,False,27.137,2,вуліца Чапаева,40,"LINESTRING (28.5087911 54.2199316, 28.5086262 54.2197074)",,
25263588,False,residential,True,229.84499999999997,,Стаханаўская вуліца,,"LINESTRING (28.5072271 54.2255486, 28.5070451 54.2254797, 28.5061997 54.2251595, 28.5060227 54.2250918, 28.5054383 54.2248768, 28.5049107 54.2246826, 28.5042601 54.2244246)",,
167483060,False,primary,True,206.137,4,праспект Рэвалюцыі,,"LINESTRING (28.5072271 54.2255486, 28.506807 54.2258616, 28.5061169 54.2263758, 28.5052445 54.2269953)",Р67,
970116763,False,primary,True,168.07299999999998,4,праспект Рэвалюцыі,60,"LINESTRING (28.5072271 54.2255486, 28.507453 54.2254461, 28.5078444 54.2253552, 28.50959 54.2249496)",Р67,
970116763,False,primary,True,43.768,4,праспект Рэвалюцыі,60,"LINESTRING (28.50959 54.2249496, 28.5102134 54.2248009)",Р67,
"[25263633, 419476182]",False,residential,True,493.80999999999995,,Шкляная вуліца,,"LINESTRING (28.50959 54.2249496, 28.5095369 54.2248547, 28.5094093 54.2246267, 28.5094123 54.2245424, 28.5094045 54.2244423, 28.5093676 54.2242892, 28.5092878 54.2240232, 28.5092026 54.223823, 28.5091062 54.2237292, 28.5080983 54.2228394, 28.5076349 54.2222666, 28.5065561 54.2209328)",,
970116763,False,primary,False,168.073,4,праспект Рэвалюцыі,60,"LINESTRING (28.50959 54.2249496, 28.5078444 54.2253552, 28.507453 54.2254461, 28.5072271 54.2255486)",Р67,
25263696,True,secondary,False,111.404,2,вуліца Чапаева,40,"LINESTRING (28.5113146 54.2245403, 28.5112524 54.2244631, 28.5109713 54.2240597, 28.5109442 54.2239327, 28.5110282 54.22381, 28.5111864 54.2237229, 28.5113369 54.2236905)",,
167187745,False,primary,False,77.227,4,праспект Рэвалюцыі,60,"LINESTRING (28.5113146 54.2245403, 28.5110262 54.2246069, 28.5102134 54.2248009)",Р67,
319012394,False,primary,False,93.88699999999999,4,праспект Рэвалюцыі,60,"LINESTRING (28.5113146 54.2245403, 28.5114823 54.2245034, 28.5125828 54.2242502, 28.512659 54.2242318)",Р67,
319012393,False,primary,False,160.483,4,праспект Рэвалюцыі,,"LINESTRING (28.5146832 54.2237567, 28.5169756 54.2232211)",Р67,
25263564,False,residential,False,278.56600000000003,,вуліца 1-га Ліпеня,,"LINESTRING (28.5146832 54.2237567, 28.5147322 54.2238308, 28.5148871 54.2240651, 28.515798 54.2254427, 28.5158791 54.2256866, 28.5156676 54.2261184)",,
319012393,False,primary,True,141.799,4,праспект Рэвалюцыі,,"LINESTRING (28.5146832 54.2237567, 28.5142305 54.2238621, 28.5130113 54.2241459, 28.512659 54.2242318)",Р67,
319012393,False,primary,False,138.199,4,праспект Рэвалюцыі,,"LINESTRING (28.5169756 54.2232211, 28.5189393 54.222745)",Р67,
319012393,False,primary,True,160.483,4,праспект Рэвалюцыі,,"LINESTRING (28.5169756 54.2232211, 28.5146832 54.2237567)",Р67,
319012393,False,primary,True,138.199,4,праспект Рэвалюцыі,,"LINESTRING (28.5189393 54.222745, 28.5169756 54.2232211)",Р67,
25263560,False,residential,False,19.607,,вуліца Герцэна,,"LINESTRING (28.5079708 54.2274867, 28.5078705 54.227653)",,
167481454,True,secondary,False,213.754,2,вуліца Арджанікідзэ,,"LINESTRING (28.5079708 54.2274867, 28.5110879 54.2280992)",,
"[25263560, 512145163, 25263636, 512145164]",False,residential,"[False, True]",449.119,,"['Стаханаўская вуліца', 'вуліца Герцэна']",,"LINESTRING (28.5079708 54.2274867, 28.5086387 54.2263145, 28.508518 54.2261043, 28.5086357 54.2260776, 28.5087022 54.2260625, 28.5088982 54.226018, 28.5093998 54.2259042, 28.510641 54.2256225, 28.5124393 54.2262996)",,yes
25263560,False,residential,True,19.607,,вуліца Герцэна,,"LINESTRING (28.5078705 54.227653, 28.5079708 54.2274867)",,
25263567,True,secondary,False,190.592,2,вуліца Арджанікідзэ,,"LINESTRING (28.5078705 54.227653, 28.5053524 54.2271538, 28.5050922 54.2271052)",,
25263567,True,secondary,False,209.901,2,вуліца Арджанікідзэ,,"LINESTRING (28.5109526 54.2282163, 28.5078705 54.227653)",,
858563411,False,residential,False,15.713,,вуліца Працоўны Хімік,,"LINESTRING (28.5109526 54.2282163, 28.5110879 54.2280992)",,
167481454,True,secondary,False,9.978,2,вуліца Арджанікідзэ,,"LINESTRING (28.5110879 54.2280992, 28.5112338 54.2281271)",,
858563411,False,residential,True,15.713,,вуліца Працоўны Хімік,,"LINESTRING (28.5110879 54.2280992, 28.5109526 54.2282163)",,
512145163,False,residential,False,196.741,,Стаханаўская вуліца,,"LINESTRING (28.5124393 54.2262996, 28.5150322 54.2272123)",,
