osmid,oneway,lanes,name,highway,width,reversed,length,geometry,ref,maxspeed,junction
265784906,True,2,вуліца 17 Верасня,tertiary,8,False,245.543,"LINESTRING (24.0941778 53.03612, 24.0940676 53.0360289, 24.0938371 53.0358679, 24.0937368 53.0358159, 24.0933145 53.0355969, 24.0924427 53.0351436, 24.0914404 53.0346562)",,,
265784909,False,2,вуліца Каліноўскага,tertiary,12,True,164.60700000000003,"LINESTRING (24.0941778 53.03612, 24.0943115 53.036197, 24.0960746 53.0370632)",,,
"[536985064, 646718573]",False,3,вуліца Леніна,secondary,,True,108.987,"LINESTRING (24.0941778 53.03612, 24.0940171 53.0362629, 24.0936721 53.0365184, 24.0933421 53.0367853, 24.0931859 53.036897)",Р134,60,
646718575,True,1,вуліца Леніна,secondary,,False,43.29,"LINESTRING (24.0941778 53.03612, 24.0942458 53.0359885, 24.094457 53.0357713)",Р134,,
80256907,True,2,вуліца Леніна,secondary,,False,185.50799999999998,"LINESTRING (24.094457 53.0357713, 24.0946238 53.0356553, 24.0951853 53.0353197, 24.0955388 53.0351085, 24.0964108 53.0345874)",Р134,,
646718581,True,1,,tertiary,,False,21.228,"LINESTRING (24.094457 53.0357713, 24.0944794 53.0358014, 24.0944955 53.0358539, 24.0944901 53.035895, 24.0944536 53.0359544)",,,
106442670,False,2,вуліца Кірава,residential,9,False,14.589,"LINESTRING (24.0964108 53.0345874, 24.0965763 53.0346729)",,,
80256907,True,2,вуліца Леніна,secondary,,False,346.01500000000004,"LINESTRING (24.0964108 53.0345874, 24.0965897 53.034492, 24.0966689 53.0344491, 24.0973886 53.0340392, 24.0981445 53.033602, 24.0982292 53.0335523, 24.0988927 53.0331663, 24.0997927 53.0326536, 24.0999915 53.0325403, 24.100155 53.0324398)",Р134,,
55385828,False,2,Камсамольская вуліца,secondary,,False,138.20700000000002,"LINESTRING (24.0892285 53.0396798, 24.0904864 53.0387891, 24.0905664 53.0387323)",Р134,60,
106442568,False,2,вуліца Горкага,residential,8,False,115.348,"LINESTRING (24.0871546 53.0371864, 24.0880315 53.037627, 24.0884896 53.0378433)",,,
106442663,False,2,Новая вуліца,residential,8,True,173.236,"LINESTRING (24.0871546 53.0371864, 24.0883065 53.036303, 24.0887147 53.0359434)",,,
106442663,False,2,Новая вуліца,residential,8,False,173.236,"LINESTRING (24.0887147 53.0359434, 24.0883065 53.036303, 24.0871546 53.0371864)",,,
266291293,False,2,Савецкая вуліца,residential,9,False,203.426,"LINESTRING (24.0902093 53.0354524, 24.0925686 53.0366075)",,,
106442553,False,2,Штабны завулак,residential,8,True,120.88900000000001,"LINESTRING (24.0902093 53.0354524, 24.0902985 53.0353947, 24.0910856 53.0348857, 24.0914404 53.0346562)",,,
266291293,False,2,Савецкая вуліца,residential,9,True,203.426,"LINESTRING (24.0925686 53.0366075, 24.0902093 53.0354524)",,,
106442574,False,2,вуліца Мельнова,residential,8,True,274.931,"LINESTRING (24.0925686 53.0366075, 24.092484 53.0366596, 24.0923945 53.0367147, 24.0920679 53.0369159, 24.0915483 53.0371947, 24.0909183 53.0375328, 24.0908448 53.0375733, 24.0905659 53.0377294, 24.0902889 53.0379013, 24.0898491 53.0381828, 24.0896349 53.0383363)",,,
829435231,False,3,Савецкая вуліца,residential,9,False,52.354,"LINESTRING (24.0925686 53.0366075, 24.092977 53.0368047, 24.0930569 53.03684, 24.0931859 53.036897)",,,
106442645,False,2,Першамайская вуліца,tertiary,12,True,27.681,"LINESTRING (24.0979432 53.0392177, 24.0976187 53.0390631)",,,
106442654,False,2,вуліца Свярдлова,tertiary,10,True,93.909,"LINESTRING (24.0979432 53.0392177, 24.0969882 53.039837)",,,
265784920,False,2,вуліца Янкі Купалы,residential,8,True,106.145,"LINESTRING (24.1001186 53.0375526, 24.0989726 53.036892)",,,
265789484,False,2,Чырвонаармейская вуліца,tertiary,8,True,127.18599999999999,"LINESTRING (24.1001186 53.0375526, 24.0988221 53.0382884, 24.0987352 53.0383377)",,,
106442667,False,2,завулак Горкага,residential,7,True,142.968,"LINESTRING (24.0871649 53.0388526, 24.0884896 53.0378433)",,,
106442667,False,2,завулак Горкага,residential,7,False,142.968,"LINESTRING (24.0884896 53.0378433, 24.0871649 53.0388526)",,,
