osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width
199431956,Савецкая вуліца,residential,60,False,False,39.326,"LINESTRING (30.2092317 54.8425228, 30.2095872 54.8422344)",,
199431956,Савецкая вуліца,residential,60,False,True,52.411,"LINESTRING (30.2092317 54.8425228, 30.2091095 54.84268, 30.209075 54.8427818, 30.209103 54.842902, 30.2091382 54.8429733)",,
200392987,Чыгуначная вуліца,residential,,False,False,53.852000000000004,"LINESTRING (30.2092317 54.8425228, 30.209266 54.8422371, 30.2092539 54.8420393)",,
1095852195,вуліца Гараўца,tertiary,60,False,False,103.91,"LINESTRING (30.2184545 54.8412624, 30.2184211 54.8413641, 30.2181529 54.8421806)",Н3506,
"[1102865998, 311859023]",Паркавая вуліца,primary,40,False,False,188.351,"LINESTRING (30.2184545 54.8412624, 30.2158694 54.8410542, 30.2155413 54.8410278)",Р86,
1102865999,Паркавая вуліца,primary,,False,True,16.588,"LINESTRING (30.2184545 54.8412624, 30.2185491 54.8412695, 30.2187114 54.8412816)",Р86,
30382339,вуліца Дзяржынскага,residential,,False,False,28.328,"LINESTRING (30.204469 54.8445796, 30.2044515 54.8446373, 30.2044601 54.8447132, 30.2044259 54.8448317)",,
200392988,Шасэйная вуліца,primary,40,False,True,118.62100000000001,"LINESTRING (30.204469 54.8445796, 30.2045779 54.8445371, 30.2047013 54.8444721, 30.2049322 54.8443453, 30.2051438 54.8441888, 30.2052356 54.8441064, 30.2053964 54.8439289, 30.2054471 54.8438656, 30.2055397 54.8437309)",Р86,
1095869353,Шасэйная вуліца,primary,40,False,False,31.558,"LINESTRING (30.204469 54.8445796, 30.2042788 54.8446398, 30.2040323 54.8447111)",Р86,
588241973,,unclassified,,False,False,28.546,"LINESTRING (30.2040323 54.8447111, 30.2044259 54.8448317)",,
1095869353,Шасэйная вуліца,primary,40,False,True,31.558,"LINESTRING (30.2040323 54.8447111, 30.2042788 54.8446398, 30.204469 54.8445796)",Р86,
25246744,Паркавая вуліца,primary,,False,False,71.33699999999999,"LINESTRING (30.2091891 54.8395525, 30.2088739 54.8395487, 30.2087787 54.8395533, 30.2086909 54.8395517, 30.2086169 54.8395483, 30.2085158 54.8395581, 30.2084269 54.8395698, 30.2082594 54.8395987, 30.2081474 54.8396171, 30.2080934 54.8396259)",Р86,
"[25246744, 1102866003]",Паркавая вуліца,primary,40,False,True,37.696,"LINESTRING (30.2091891 54.8395525, 30.2094233 54.8395745, 30.2097264 54.8396234, 30.2097596 54.8396323)",Р86,
200392987,Чыгуначная вуліца,residential,,False,True,282.09799999999996,"LINESTRING (30.2091891 54.8395525, 30.209175 54.8396461, 30.2091557 54.8397744, 30.2091134 54.8400342, 30.208886 54.8407991, 30.2088805 54.8408476, 30.2088565 54.8410593, 30.2088994 54.8413435, 30.209162 54.8417152, 30.2092437 54.8419058, 30.2092539 54.8420393)",,
30386091,вуліца Луначарскага,residential,,False,False,98.411,"LINESTRING (30.205996 54.8429191, 30.2057471 54.8429143, 30.2044652 54.8429861)",,
200392988,Шасэйная вуліца,primary,40,False,False,94.87899999999999,"LINESTRING (30.205996 54.8429191, 30.2059478 54.8430048, 30.2057739 54.8433142, 30.2055397 54.8437309)",Р86,
200392988,Шасэйная вуліца,primary,40,False,True,167.771,"LINESTRING (30.205996 54.8429191, 30.2066201 54.841839, 30.2066693 54.8417515, 30.2068181 54.8414865)",Р86,
