osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,lanes,bridge,width
25286683,True,Р85,Першамайская вуліца,primary,60,False,182.472,"LINESTRING (25.3185583 53.0956229, 25.3185651 53.0956034, 25.3187764 53.0947843, 25.3189026 53.0944593, 25.3190493 53.09408, 25.3190754 53.0940127)",,,,
78313636,True,Р85,плошча Леніна,primary,60,False,78.61099999999999,"LINESTRING (25.3193973 53.0931126, 25.3193607 53.0930983, 25.3184997 53.0926555)",roundabout,,,
96150727,True,Р85,Чырвонаармейская вуліца,primary,60,False,48.211,"LINESTRING (25.3184997 53.0926555, 25.318766 53.0922525)",roundabout,,,
25287210,False,Р85,Ружанская вуліца,primary,60,False,9.033999999999999,"LINESTRING (25.3184997 53.0926555, 25.3184252 53.0926348, 25.3183769 53.0926214)",,2,,
38102446,True,,Савецкая вуліца,secondary,60,False,128.4,"LINESTRING (25.3200522 53.0941568, 25.3210345 53.0942265, 25.3217663 53.0942844, 25.3219593 53.0943038)",,,,
96150735,True,Р85,Савецкая вуліца,primary,60,False,19.28,"LINESTRING (25.3200522 53.0941568, 25.3198804 53.0941375, 25.3197683 53.0941252)",,,,
39236355,False,,Кастрычніцкая вуліца,residential,,True,81.028,"LINESTRING (25.3137745 53.0895086, 25.3146529 53.0890059)",,,,
25287210,False,Р85,Ружанская вуліца,primary,60,False,57.482,"LINESTRING (25.3137745 53.0895086, 25.3134298 53.0893546, 25.3130583 53.0892232)",,2,,
25287210,False,Р85,Ружанская вуліца,primary,60,True,176.599,"LINESTRING (25.3137745 53.0895086, 25.3139801 53.0896357, 25.3141751 53.089782, 25.3153752 53.0907708)",,2,,
38102444,False,,Камуністычная вуліца,tertiary,60,False,74.177,"LINESTRING (25.3132616 53.093865, 25.3136186 53.0944967)",,2,,
39333419,True,,вуліца Сінічкіна,tertiary,40,False,40.792,"LINESTRING (25.3132616 53.093865, 25.3127654 53.094079)",,2,,
126363228,False,,Зялёная вуліца,tertiary,40,True,120.03800000000001,"LINESTRING (25.3132616 53.093865, 25.3131893 53.0937865, 25.3130725 53.0937119, 25.3121056 53.0930408)",,,,
121517102,False,,Савецкая вуліца,secondary,60,True,27.13,"LINESTRING (25.3245731 53.0943725, 25.3241669 53.094378)",,,,
"[121517104, 96151979, 121517102]",False,,Савецкая вуліца,secondary,60,False,147.692,"LINESTRING (25.3219593 53.0943038, 25.322148 53.094313, 25.3231424 53.0943616, 25.3240798 53.0943769, 25.3241669 53.094378)",,,yes,
953124774,False,,Оперная вуліца,residential,,True,134.46699999999998,"LINESTRING (25.3219593 53.0943038, 25.321962 53.0942379, 25.3221135 53.0936577, 25.3222443 53.0931072)",,,,
38102436,False,,Аптэчны завулак,residential,30,False,117.03999999999999,"LINESTRING (25.3173917 53.0914624, 25.3174539 53.0914834, 25.3179884 53.091663, 25.3185618 53.0918557, 25.318845 53.0919185, 25.3189481 53.0919414)",,,,
96940877,False,,вуліца Карла Маркса,tertiary,40,False,54.134,"LINESTRING (25.3173917 53.0914624, 25.3170832 53.0917379, 25.3170134 53.0917927, 25.3169266 53.0918609)",,,,
96940877,False,,вуліца Карла Маркса,tertiary,40,True,28.427999999999997,"LINESTRING (25.3173917 53.0914624, 25.3175575 53.0912999, 25.3176141 53.0912444)",,,,
25287210,False,Р85,Ружанская вуліца,primary,60,False,88.077,"LINESTRING (25.3169266 53.0918609, 25.3164321 53.0915661, 25.3160335 53.0912792)",,2,,
25287210,False,Р85,Ружанская вуліца,primary,60,True,128.659,"LINESTRING (25.3169266 53.0918609, 25.3170064 53.0919057, 25.3176899 53.0922885, 25.3177745 53.0923298, 25.3183042 53.0925895, 25.3183769 53.0926214)",,2,,
38102442,True,,вуліца Сінічкіна,tertiary,50,False,99.891,"LINESTRING (25.3169266 53.0918609, 25.3168768 53.0919033, 25.3160646 53.0925951)",,2,,
96940877,False,,вуліца Карла Маркса,tertiary,40,True,54.134,"LINESTRING (25.3169266 53.0918609, 25.3170134 53.0917927, 25.3170832 53.0917379, 25.3173917 53.0914624)",,,,
39236362,True,,Чырвонаармейская вуліца,secondary,,False,36.668,"LINESTRING (25.318766 53.0922525, 25.3189481 53.0919414)",,,,
39236361,True,Р85,плошча Леніна,primary,60,False,32.716,"LINESTRING (25.318766 53.0922525, 25.3188421 53.0922031, 25.3189138 53.0921888, 25.3190399 53.0921953, 25.3192035 53.0922339)",roundabout,,,
38102440,False,,вуліца Гнідаша,residential,30,False,99.777,"LINESTRING (25.3143805 53.0933851, 25.3148593 53.0942351)",,,,
