osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,ref
"[29458273, 62169125, 30641321, 282332784, 34964851, 28255000, 559457630]","['вуліца Талстога', 'вуліца Пушкіна', 'вуліца Суворава']",residential,20,False,"[False, True]",719.015,yes,"LINESTRING (30.2046599 55.1971083, 30.2046662 55.1970698, 30.204682 55.1970367, 30.2048429 55.1967147, 30.2049338 55.1965327, 30.2051355 55.1961622, 30.2052092 55.1960107, 30.2052767 55.1959077, 30.2053847 55.1957399, 30.2054501 55.1956236, 30.2055413 55.1955064, 30.2056802 55.1953349, 30.2060156 55.1949084, 30.2060784 55.1948643, 30.2060809 55.1947963, 30.2060536 55.1947439, 30.2059817 55.1947185, 30.2057596 55.1947611, 30.2056253 55.1947869, 30.2055124 55.1948142, 30.2047818 55.1949731, 30.2047344 55.1949834, 30.2045194 55.195033, 30.2041908 55.1951119, 30.2041006 55.1951342, 30.2039006 55.1951838, 30.2036566 55.1952059, 30.2034057 55.1951836, 30.2031479 55.1951339, 30.2030166 55.1950995, 30.2029463 55.1950677, 30.202908 55.195002, 30.2027351 55.1945076, 30.2027124 55.194462, 30.2026521 55.1942845, 30.2025229 55.1939061, 30.2024007 55.1935484, 30.2023077 55.1932932, 30.2022664 55.1931684, 30.2022023 55.1930644)",,
"[72256880, 28255121]","['вуліца Янкі Купалы', 'Політэхнічная вуліца']",residential,,False,False,183.88,,"LINESTRING (30.2046599 55.1971083, 30.2042277 55.1971131, 30.2039273 55.197116, 30.2039241 55.1970785, 30.203919 55.1970173, 30.2039142 55.1969611, 30.2038841 55.1966053, 30.2038393 55.1962339, 30.2037934 55.195883)",,
72256880,вуліца Янкі Купалы,residential,,False,True,140.118,,"LINESTRING (30.2046599 55.1971083, 30.2051759 55.1971159, 30.2060263 55.1971284, 30.2067227 55.1971196, 30.2068665 55.1971123)",,
103767593,вуліца Камісара Крылова,residential,,False,False,25.416,,"LINESTRING (30.2037934 55.195883, 30.2041937 55.1958895)",,
"[72256880, 28255121]","['Політэхнічная вуліца', 'вуліца Янкі Купалы']",residential,,False,True,183.88000000000002,,"LINESTRING (30.2037934 55.195883, 30.2038393 55.1962339, 30.2038841 55.1966053, 30.2039142 55.1969611, 30.203919 55.1970173, 30.2039241 55.1970785, 30.2039273 55.197116, 30.2042277 55.1971131, 30.2046599 55.1971083)",,
"[243276859, 372751189]",вуліца Камісара Крылова,residential,,False,True,91.77700000000002,,"LINESTRING (30.2037934 55.195883, 30.2034341 55.1958439, 30.2033185 55.1958313, 30.2032272 55.1958214, 30.2024393 55.195713, 30.2023822 55.1957041)",,
72519094,вуліца Багдана Хмяльніцкага,residential,,True,False,103.245,,"LINESTRING (30.2080136 55.1894847, 30.2079957 55.1895044, 30.2077005 55.1903949)",,
"[165492242, 165492244]",вуліца Праўды,secondary,50,True,False,38.620999999999995,,"LINESTRING (30.2080136 55.1894847, 30.2077387 55.1894548, 30.2074207 55.1894076)",2,
"[1269077456, 28255185]",вуліца Багдана Хмяльніцкага,"['unclassified', 'residential']",,False,False,46.26499999999999,,"LINESTRING (30.2077005 55.1903949, 30.2073928 55.1903887, 30.2071125 55.190336, 30.2071329 55.1902651)",,
"[67557896, 165492244]",вуліца Праўды,secondary,50,True,False,112.38,,"LINESTRING (30.2074207 55.1894076, 30.2068468 55.1893223, 30.2063712 55.189255, 30.2058486 55.1891909, 30.2056962 55.1891974)",2,
28255420,1-я вуліца Даватара,tertiary,,False,True,9.578,,"LINESTRING (30.2137995 55.1927871, 30.2138163 55.1927015)",,
