osmid,lanes,ref,highway,oneway,reversed,length,name,maxspeed,geometry,access
884073360,2,Р69,primary,False,False,33.545,,,"LINESTRING (27.8639856 53.5951127, 27.8635092 53.5952179)",
127708143,2,Р69,primary,False,True,128.66500000000002,Чыгуначная вуліца,60,"LINESTRING (27.8639856 53.5951127, 27.8641146 53.5950807, 27.8645852 53.5949477, 27.8656582 53.5945242)",
25268042,,Р69,primary,False,False,74.445,Ленінская вуліца,60,"LINESTRING (27.8630547 53.5948959, 27.8630209 53.5948719, 27.8628302 53.5947362, 27.8623321 53.5943818)",
884073359,,Р69,primary,True,False,27.458000000000002,,,"LINESTRING (27.8630547 53.5948959, 27.8632539 53.5949856, 27.863388 53.5950437)",
25268042,,Р69,primary,False,True,139.579,Ленінская вуліца,60,"LINESTRING (27.8597448 53.5924865, 27.8599084 53.592586, 27.8600005 53.5926536, 27.8610789 53.5934597)",
134931919,,Н9362,tertiary,False,True,168.344,,,"LINESTRING (27.8597448 53.5924865, 27.859924 53.5923755, 27.8600229 53.5923217, 27.8607358 53.5919342, 27.861648 53.5914798)",permissive
1172697323,2,,residential,False,True,136.264,,,"LINESTRING (27.8597448 53.5924865, 27.8596574 53.5925448, 27.8589362 53.5928339, 27.8587706 53.5929003, 27.8580339 53.5931672)",
25268045,2,,residential,False,True,196.44,Савецкая вуліца,,"LINESTRING (27.861648 53.5914798, 27.8622526 53.5919378, 27.8630733 53.5924855, 27.8631629 53.5925453, 27.8633229 53.5927141, 27.8633012 53.5927937, 27.8632064 53.5928733)",
134931919,,Н9362,tertiary,False,False,168.344,,,"LINESTRING (27.861648 53.5914798, 27.8607358 53.5919342, 27.8600229 53.5923217, 27.859924 53.5923755, 27.8597448 53.5924865)",permissive
25268045,2,,residential,False,False,196.44,Савецкая вуліца,,"LINESTRING (27.8632064 53.5928733, 27.8633012 53.5927937, 27.8633229 53.5927141, 27.8631629 53.5925453, 27.8630733 53.5924855, 27.8622526 53.5919378, 27.861648 53.5914798)",
25268045,2,,residential,False,True,114.539,Савецкая вуліца,,"LINESTRING (27.8632064 53.5928733, 27.8634103 53.5928594, 27.8636061 53.5928938, 27.8643903 53.5935285)",
104455119,,,residential,False,False,154.80900000000003,вуліца Карла Маркса,,"LINESTRING (27.8632064 53.5928733, 27.8629655 53.5929396, 27.8612522 53.5934113, 27.8610789 53.5934597)",
25268045,2,,residential,False,False,138.779,Савецкая вуліца,,"LINESTRING (27.8656582 53.5945242, 27.8643903 53.5935285)",
127708143,2,Р69,primary,False,False,128.66500000000002,Чыгуначная вуліца,60,"LINESTRING (27.8656582 53.5945242, 27.8645852 53.5949477, 27.8641146 53.5950807, 27.8639856 53.5951127)",
127708143,2,Р69,primary,False,True,80.365,Чыгуначная вуліца,60,"LINESTRING (27.8656582 53.5945242, 27.8657722 53.594472, 27.8666226 53.5940829)",
25268042,,Р69,primary,False,False,139.579,Ленінская вуліца,60,"LINESTRING (27.8610789 53.5934597, 27.8600005 53.5926536, 27.8599084 53.592586, 27.8597448 53.5924865)",
25268042,,Р69,primary,False,True,131.731,Ленінская вуліца,60,"LINESTRING (27.8610789 53.5934597, 27.8622081 53.5942905, 27.8623321 53.5943818)",
104455119,,,residential,False,False,160.74099999999999,вуліца Карла Маркса,,"LINESTRING (27.8610789 53.5934597, 27.8609858 53.5934873, 27.8588999 53.5941056)",
104455119,,,residential,False,True,154.809,вуліца Карла Маркса,,"LINESTRING (27.8610789 53.5934597, 27.8612522 53.5934113, 27.8629655 53.5929396, 27.8632064 53.5928733)",
25268044,,,residential,False,False,19.616,вуліца Пакроўскага,,"LINESTRING (27.8680599 53.5937642, 27.867904 53.593614)",
134412150,,Р69,primary,False,False,20.901,,60,"LINESTRING (27.8680599 53.5937642, 27.8679205 53.5937188, 27.867773 53.5936857)",
174602947,,,residential,False,False,108.673,завулак Карла Маркса,,"LINESTRING (27.8583393 53.596621, 27.8574894 53.5957839)",
708434478,2,,tertiary,False,False,162.891,Чыгуначная вуліца,20,"LINESTRING (27.8583393 53.596621, 27.8598584 53.5961924, 27.8599743 53.5961614, 27.8600671 53.5961366, 27.8605787 53.5960052)",
"[127708142, 708434478]",2,,tertiary,False,True,201.669,Чыгуначная вуліца,"['20', '40']","LINESTRING (27.8583393 53.596621, 27.857966 53.5967304, 27.8572941 53.5969016, 27.8571171 53.5969445, 27.8569433 53.5969827, 27.8566705 53.5970353, 27.856349 53.5970814, 27.8554464 53.5971683)",
174602947,,,residential,False,True,111.2,завулак Карла Маркса,,"LINESTRING (27.8545793 53.5928997, 27.8554202 53.5937663)",
25268042,,Р69,primary,False,False,131.731,Ленінская вуліца,60,"LINESTRING (27.8623321 53.5943818, 27.8622081 53.5942905, 27.8610789 53.5934597)",
25268042,,Р69,primary,False,True,74.445,Ленінская вуліца,60,"LINESTRING (27.8623321 53.5943818, 27.8628302 53.5947362, 27.8630209 53.5948719, 27.8630547 53.5948959)",
174602949,,,residential,False,True,183.962,Першамайская вуліца,,"LINESTRING (27.8623321 53.5943818, 27.8622525 53.5944047, 27.8598418 53.5951252)",
174602963,2,,residential,False,False,109.269,,,"LINESTRING (27.8605787 53.5960052, 27.8605267 53.5959431, 27.8598418 53.5951252)",
"[708434477, 708434478]",2,,tertiary,False,False,176.542,Чыгуначная вуліца,"['20', '60']","LINESTRING (27.8605787 53.5960052, 27.8611479 53.5958522, 27.8630157 53.5953503)",
708434478,2,,tertiary,False,True,162.891,Чыгуначная вуліца,20,"LINESTRING (27.8605787 53.5960052, 27.8600671 53.5961366, 27.8599743 53.5961614, 27.8598584 53.5961924, 27.8583393 53.596621)",
104455119,,,residential,False,False,178.433,вуліца Карла Маркса,,"LINESTRING (27.8588999 53.5941056, 27.8564908 53.5948341)",
174602963,2,,residential,False,False,118.972,,,"LINESTRING (27.8588999 53.5941056, 27.8580339 53.5931672)",
174602963,2,,residential,False,True,129.296,,,"LINESTRING (27.8588999 53.5941056, 27.8598418 53.5951252)",
104455119,,,residential,False,True,160.74099999999999,вуліца Карла Маркса,,"LINESTRING (27.8588999 53.5941056, 27.8609858 53.5934873, 27.8610789 53.5934597)",
174602949,,,residential,False,False,179.475,Першамайская вуліца,,"LINESTRING (27.8550165 53.5964557, 27.8574894 53.5957839)",
174602958,,,residential,False,False,84.163,Чыгуначная вуліца,,"LINESTRING (27.8550165 53.5964557, 27.8554464 53.5971683)",
104455119,,,residential,False,True,178.433,вуліца Карла Маркса,,"LINESTRING (27.8564908 53.5948341, 27.8588999 53.5941056)",
174602947,,,residential,False,False,102.097,завулак Карла Маркса,,"LINESTRING (27.8564908 53.5948341, 27.8557162 53.5940393)",
174602947,,,residential,False,True,124.487,завулак Карла Маркса,,"LINESTRING (27.8564908 53.5948341, 27.8574894 53.5957839)",
174602947,,,residential,False,False,36.098,завулак Карла Маркса,,"LINESTRING (27.8557162 53.5940393, 27.8554202 53.5937663)",
174602947,,,residential,False,True,102.097,завулак Карла Маркса,,"LINESTRING (27.8557162 53.5940393, 27.8564908 53.5948341)",
174602966,,,residential,False,False,151.433,Інтэрнацыянальная вуліца,,"LINESTRING (27.8557162 53.5940393, 27.8576639 53.5933193)",
174602963,2,,residential,False,True,118.972,,,"LINESTRING (27.8580339 53.5931672, 27.8588999 53.5941056)",
174602966,,,residential,False,True,29.704,Інтэрнацыянальная вуліца,,"LINESTRING (27.8580339 53.5931672, 27.8576639 53.5933193)",
1172697323,2,,residential,False,False,136.264,,,"LINESTRING (27.8580339 53.5931672, 27.8587706 53.5929003, 27.8589362 53.5928339, 27.8596574 53.5925448, 27.8597448 53.5924865)",
174602947,,,residential,False,False,124.487,завулак Карла Маркса,,"LINESTRING (27.8574894 53.5957839, 27.8564908 53.5948341)",
174602947,,,residential,False,True,108.673,завулак Карла Маркса,,"LINESTRING (27.8574894 53.5957839, 27.8583393 53.596621)",
174602949,,,residential,False,False,171.652,Першамайская вуліца,,"LINESTRING (27.8574894 53.5957839, 27.8598418 53.5951252)",
174602949,,,residential,False,True,179.475,Першамайская вуліца,,"LINESTRING (27.8574894 53.5957839, 27.8550165 53.5964557)",
174602949,,,residential,False,True,171.652,Першамайская вуліца,,"LINESTRING (27.8598418 53.5951252, 27.8574894 53.5957839)",
174602963,2,,residential,False,False,129.296,,,"LINESTRING (27.8598418 53.5951252, 27.8588999 53.5941056)",
174602949,,,residential,False,False,183.962,Першамайская вуліца,,"LINESTRING (27.8598418 53.5951252, 27.8622525 53.5944047, 27.8623321 53.5943818)",
174602963,2,,residential,False,True,109.269,,,"LINESTRING (27.8598418 53.5951252, 27.8605267 53.5959431, 27.8605787 53.5960052)",
174602958,,,residential,False,True,84.163,Чыгуначная вуліца,,"LINESTRING (27.8554464 53.5971683, 27.8550165 53.5964557)",
"[708434478, 127708142]",2,,tertiary,False,False,201.66899999999998,Чыгуначная вуліца,"['20', '40']","LINESTRING (27.8554464 53.5971683, 27.856349 53.5970814, 27.8566705 53.5970353, 27.8569433 53.5969827, 27.8571171 53.5969445, 27.8572941 53.5969016, 27.857966 53.5967304, 27.8583393 53.596621)",
174613766,,,residential,False,False,129.628,вуліца 8-га Сакавіца,,"LINESTRING (27.8666226 53.5940829, 27.8654868 53.5931318)",
127708143,2,Р69,primary,False,False,80.365,Чыгуначная вуліца,60,"LINESTRING (27.8666226 53.5940829, 27.8657722 53.594472, 27.8656582 53.5945242)",
"[134412150, 127708143]",2,Р69,primary,False,True,89.02100000000002,Чыгуначная вуліца,60,"LINESTRING (27.8666226 53.5940829, 27.8671067 53.5938664, 27.8675222 53.5937187, 27.8676427 53.5936943, 27.867773 53.5936857)",
174613766,,,residential,False,False,67.845,вуліца 8-га Сакавіца,,"LINESTRING (27.8654868 53.5931318, 27.8648926 53.5926339)",
174613766,,,residential,False,True,129.628,вуліца 8-га Сакавіца,,"LINESTRING (27.8654868 53.5931318, 27.8666226 53.5940829)",
451675716,,,residential,False,False,84.749,вуліца 8-га Сакавіца,,"LINESTRING (27.8654868 53.5931318, 27.8643903 53.5935285)",
174602966,,,residential,False,False,29.704,Інтэрнацыянальная вуліца,,"LINESTRING (27.8576639 53.5933193, 27.8580339 53.5931672)",
174602966,,,residential,False,True,151.433,Інтэрнацыянальная вуліца,,"LINESTRING (27.8576639 53.5933193, 27.8557162 53.5940393)",
25268045,2,,residential,False,True,138.779,Савецкая вуліца,,"LINESTRING (27.8643903 53.5935285, 27.8656582 53.5945242)",
451675716,,,residential,False,True,84.749,вуліца 8-га Сакавіца,,"LINESTRING (27.8643903 53.5935285, 27.8654868 53.5931318)",
25268045,2,,residential,False,False,114.539,Савецкая вуліца,,"LINESTRING (27.8643903 53.5935285, 27.8636061 53.5928938, 27.8634103 53.5928594, 27.8632064 53.5928733)",
25268041,1,Р69,primary,True,False,6.189,,,"LINESTRING (27.8632203 53.5951708, 27.8632151 53.5951432, 27.8632205 53.5951155)",
25268044,,,residential,False,True,19.616,вуліца Пакроўскага,,"LINESTRING (27.867904 53.593614, 27.8680599 53.5937642)",
434726225,,,unclassified,False,True,11.76,,,"LINESTRING (27.867904 53.593614, 27.867773 53.5936857)",
434726225,,,unclassified,False,False,11.76,,,"LINESTRING (27.867773 53.5936857, 27.867904 53.593614)",
"[134412150, 127708143]",2,Р69,primary,False,False,89.021,Чыгуначная вуліца,60,"LINESTRING (27.867773 53.5936857, 27.8676427 53.5936943, 27.8675222 53.5937187, 27.8671067 53.5938664, 27.8666226 53.5940829)",
134412150,,Р69,primary,False,True,20.901,,60,"LINESTRING (27.867773 53.5936857, 27.8679205 53.5937188, 27.8680599 53.5937642)",
884073358,1,Р69,primary,True,False,8.302,,,"LINESTRING (27.863388 53.5950437, 27.8634474 53.5950566, 27.8635031 53.5950735)",
180773885,1,Р69,primary,True,False,32.277,,,"LINESTRING (27.8635031 53.5950735, 27.8636689 53.5950995, 27.8638685 53.5951104, 27.8639856 53.5951127)",
609914133,1,Р69,primary,True,False,17.282,,,"LINESTRING (27.8635031 53.5950735, 27.8635372 53.5951053, 27.8635499 53.5951422, 27.8635387 53.5951792, 27.8635092 53.5952179)",
884073360,2,Р69,primary,False,True,33.545,,,"LINESTRING (27.8635092 53.5952179, 27.8639856 53.5951127)",
25268039,2,Р69,primary,False,False,7.968,,,"LINESTRING (27.8635092 53.5952179, 27.8634566 53.5952327, 27.8633989 53.595247)",
25268039,2,Р69,primary,False,True,7.968,,,"LINESTRING (27.8633989 53.595247, 27.8634566 53.5952327, 27.8635092 53.5952179)",
180773888,2,,tertiary,False,False,27.775,Чыгуначная вуліца,,"LINESTRING (27.8633989 53.595247, 27.8631419 53.5953167, 27.8630157 53.5953503)",
609914131,1,Р69,primary,True,False,15.442,,,"LINESTRING (27.8633989 53.595247, 27.8633403 53.59524, 27.8632874 53.5952258, 27.8632457 53.5952018, 27.8632203 53.5951708)",
180773888,2,,tertiary,False,True,27.775,Чыгуначная вуліца,,"LINESTRING (27.8630157 53.5953503, 27.8631419 53.5953167, 27.8633989 53.595247)",
180773889,1,,tertiary,True,False,24.741,Чыгуначная вуліца,,"LINESTRING (27.8630157 53.5953503, 27.8630906 53.5953166, 27.8631265 53.5952927, 27.8631612 53.5952597, 27.8631987 53.5952123, 27.8632203 53.5951708)",
"[708434477, 708434478]",2,,tertiary,False,True,176.542,Чыгуначная вуліца,"['20', '60']","LINESTRING (27.8630157 53.5953503, 27.8611479 53.5958522, 27.8605787 53.5960052)",
174602947,,,residential,False,False,111.2,завулак Карла Маркса,,"LINESTRING (27.8554202 53.5937663, 27.8545793 53.5928997)",
174602947,,,residential,False,True,36.098,завулак Карла Маркса,,"LINESTRING (27.8554202 53.5937663, 27.8557162 53.5940393)",
174613766,,,residential,False,True,67.845,вуліца 8-га Сакавіца,,"LINESTRING (27.8648926 53.5926339, 27.8654868 53.5931318)",
609914132,1,Р69,primary,True,False,14.621,,,"LINESTRING (27.8632205 53.5951155, 27.8632445 53.5950859, 27.8632834 53.5950625, 27.8633331 53.5950479, 27.863388 53.5950437)",
884073361,,Р69,primary,True,False,26.764000000000003,,,"LINESTRING (27.8632205 53.5951155, 27.8631763 53.5950512, 27.8630547 53.5948959)",
