osmid,highway,oneway,reversed,length,name,junction,geometry,lanes
238996414,residential,False,True,64.687,,,"LINESTRING (38.3502358 36.8902922, 38.3507034 36.8898466)",
496328511,primary,True,False,5.196,دوار آذادي,roundabout,"LINESTRING (38.3502358 36.8902922, 38.3502255 36.8903382)",
238996421,residential,False,False,107.417,,,"LINESTRING (38.3501566 36.8904065, 38.351111 36.8907374, 38.3512484 36.8908142)",
496328511,primary,True,False,14.122,دوار آذادي,roundabout,"LINESTRING (38.3501566 36.8904065, 38.3501079 36.8904232, 38.3500552 36.8904272, 38.3500036 36.890418)",
496328511,primary,True,False,20.913000000000004,دوار آذادي,roundabout,"LINESTRING (38.3499075 36.890242, 38.349938 36.8902019, 38.3499838 36.8901724, 38.3500395 36.8901572, 38.3500983 36.890158)",
496588377,tertiary,False,True,61.82,,,"LINESTRING (38.3499075 36.890242, 38.3497125 36.890152, 38.3493221 36.8899427)",
238996416,residential,True,False,186.26999999999998,,,"LINESTRING (38.3500983 36.890158, 38.3498533 36.8899732, 38.3485003 36.8890758)",
496328511,primary,True,False,20.817999999999998,دوار آذادي,roundabout,"LINESTRING (38.3500983 36.890158, 38.3501529 36.8901747, 38.3501973 36.8902053, 38.350226 36.890246, 38.3502358 36.8902922)",
238996413,primary,False,False,77.684,,,"LINESTRING (38.3510971 36.8902919, 38.3502255 36.8903382)",
238996413,primary,False,True,54.565,,,"LINESTRING (38.3510971 36.8902919, 38.351709 36.8902559)",
239002738,residential,False,False,52.821,,,"LINESTRING (38.3510971 36.8902919, 38.3510153 36.8898214)",
238996413,primary,False,True,77.684,,,"LINESTRING (38.3502255 36.8903382, 38.3510971 36.8902919)",
496328511,primary,True,False,9.89,دوار آذادي,roundabout,"LINESTRING (38.3502255 36.8903382, 38.3501981 36.8903769, 38.3501566 36.8904065)",
238996414,residential,False,False,64.687,,,"LINESTRING (38.3507034 36.8898466, 38.3502358 36.8902922)",
239002729,residential,False,True,27.879,,,"LINESTRING (38.3507034 36.8898466, 38.3510153 36.8898214)",
239002728,residential,False,True,133.541,,,"LINESTRING (38.3507034 36.8898466, 38.3497446 36.8892118, 38.3495467 36.8890808)",
239177346,residential,False,True,27.174,,,"LINESTRING (38.3485003 36.8890758, 38.3483069 36.889265)",
239177346,residential,False,False,58.665000000000006,,,"LINESTRING (38.3485003 36.8890758, 38.3485436 36.8890334, 38.3489317 36.8886767)",
239177346,residential,False,False,27.174,,,"LINESTRING (38.3483069 36.889265, 38.3485003 36.8890758)",
496588377,tertiary,False,False,117.601,,,"LINESTRING (38.3483069 36.889265, 38.3493221 36.8899427)",
238996419,primary,False,True,20.739,,,"LINESTRING (38.3488711 36.890323, 38.3486407 36.8903518)",
238996420,residential,True,False,22.715,,,"LINESTRING (38.3488711 36.890323, 38.3490469 36.8901748)",
