osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,junction,bridge,maxspeed
770583861,True,1,NH93,primary,False,13.124,"LINESTRING (70.5739361 37.1179599, 70.5738236 37.1178832)",,,,
736292537,False,,NH93,primary,False,142.11399999999998,"LINESTRING (70.5739361 37.1179599, 70.5740159 37.1180933, 70.5742188 37.1182918, 70.5745837 37.1186173, 70.574952 37.1189417)",,,,
338630944,False,,,residential,True,36.409,"LINESTRING (70.5760356 37.1209464, 70.5759551 37.1209058, 70.5758559 37.1207668, 70.5758242 37.1206788)",,,,
736292538,True,,NH93,primary,False,9.137,"LINESTRING (70.5749226 37.1190194, 70.5749296 37.1189787, 70.574952 37.1189417)",چهارراهی استقلال,roundabout,,
"[736292533, 338630942, 338630943]",False,,,tertiary,"[False, True]",234.61299999999997,"LINESTRING (70.5740927 37.1174737, 70.5742707 37.1172528, 70.5742948 37.1171737, 70.5742774 37.1171245, 70.5736551 37.1160037, 70.5735978 37.1159342, 70.5735066 37.1158957, 70.5733456 37.1158637, 70.5731098 37.1158283)",,,yes,
338638329,False,,D150101,tertiary,True,47.51800000000001,"LINESTRING (70.5740927 37.1174737, 70.57404 37.1175308, 70.5739032 37.1178046, 70.5738751 37.1178621)",,,,
338630948,True,2,NH93,primary,False,35.202,"LINESTRING (70.5808662 37.1156059, 70.580616 37.1158517)",Fayzabab-Qala i Panjeh road,,,
346023465,False,,,residential,False,5.912,"LINESTRING (70.5808662 37.1156059, 70.5808159 37.115571)",,,,
346023465,False,,,residential,True,38.708,"LINESTRING (70.5796174 37.1145877, 70.5797898 37.1147251, 70.5799228 37.1148364)",,,,
346023558,False,,,residential,False,10.602,"LINESTRING (70.5799228 37.1148364, 70.5798225 37.1148883)",,,,
346023465,False,,,residential,False,38.708,"LINESTRING (70.5799228 37.1148364, 70.5797898 37.1147251, 70.5796174 37.1145877)",,,,
346023465,False,,,residential,True,114.613,"LINESTRING (70.5799228 37.1148364, 70.5802508 37.1151715, 70.580408 37.1153184, 70.580614 37.1154308, 70.5808159 37.115571)",,,,
346023558,False,,,residential,True,10.602,"LINESTRING (70.5798225 37.1148883, 70.5799228 37.1148364)",,,,
346023558,False,,,residential,False,149.288,"LINESTRING (70.5798225 37.1148883, 70.5793238 37.1149877, 70.5787546 37.1150785, 70.5786028 37.1150785, 70.5781907 37.1149618)",,,,
346023591,False,,,residential,False,129.679,"LINESTRING (70.5798225 37.1148883, 70.5796318 37.1152527, 70.5792957 37.1151814, 70.5791168 37.1154321, 70.5790626 37.1156331)",,,,
346023558,False,,,residential,True,149.288,"LINESTRING (70.5781907 37.1149618, 70.5786028 37.1150785, 70.5787546 37.1150785, 70.5793238 37.1149877, 70.5798225 37.1148883)",,,,
346023556,False,,,residential,True,103.239,"LINESTRING (70.5827246 37.115042, 70.5826406 37.1149836, 70.5825105 37.1151133, 70.582402 37.1150701, 70.5821283 37.115604)",,,,
346023569,False,,,residential,False,78.05900000000001,"LINESTRING (70.5827246 37.115042, 70.58289 37.1153013, 70.5830282 37.1154397, 70.5831366 37.1155348, 70.5832437 37.115597)",,,,
338630948,True,2,NH93,primary,False,68.242,"LINESTRING (70.5812981 37.115099, 70.5810986 37.1153624, 70.5808662 37.1156059)",Fayzabab-Qala i Panjeh road,,,
"[628204363, 346023515]",False,,,residential,"[False, True]",63.849000000000004,"LINESTRING (70.5812981 37.115099, 70.5814642 37.1151738, 70.5818446 37.1153703, 70.5818117 37.115425)",,,,
346023513,False,,,residential,False,34.413,"LINESTRING (70.5818117 37.115425, 70.5821283 37.115604)",,,,
