osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed
784243467,True,2,primary,False,17.123,"LINESTRING (69.1782224 34.5302237, 69.1783319 34.5303485)",,,
200228169,False,,unclassified,False,344.711,"LINESTRING (69.1782224 34.5302237, 69.1783801 34.5301713, 69.1794489 34.5296786, 69.1806345 34.5291195, 69.181415 34.5287394, 69.1814993 34.5287026)",,,
200364411,False,,secondary,True,798.5810000000001,"LINESTRING (69.1782224 34.5302237, 69.1778537 34.52972, 69.1769378 34.5284232, 69.1766548 34.5280274, 69.1764443 34.5277213, 69.1761279 34.5272612, 69.175996 34.5270694, 69.1758421 34.5268363, 69.1753649 34.5261524, 69.1753271 34.5260982, 69.1749247 34.5255502, 69.174855 34.5254198, 69.174788 34.5252674, 69.1745358 34.5246729, 69.1744929 34.5245801, 69.1744669 34.5244598, 69.1743837 34.5238438)",جاده غازیان,,
751809150,True,,secondary,False,32.641,"LINESTRING (69.174069 34.5228524, 69.1741455 34.5225657)",,NH0104,
425671097,True,2,secondary,False,39.274,"LINESTRING (69.174069 34.5228524, 69.173926 34.5228988, 69.1737821 34.5229421, 69.1736669 34.5229747)",جاده شهید محمد موسی شفیق,,50
200228169,False,,unclassified,True,79.227,"LINESTRING (69.1822572 34.5283594, 69.1815602 34.5286739, 69.1814993 34.5287026)",,,
200364411,False,,secondary,False,798.5809999999999,"LINESTRING (69.1743837 34.5238438, 69.1744669 34.5244598, 69.1744929 34.5245801, 69.1745358 34.5246729, 69.174788 34.5252674, 69.174855 34.5254198, 69.1749247 34.5255502, 69.1753271 34.5260982, 69.1753649 34.5261524, 69.1758421 34.5268363, 69.175996 34.5270694, 69.1761279 34.5272612, 69.1764443 34.5277213, 69.1766548 34.5280274, 69.1769378 34.5284232, 69.1778537 34.52972, 69.1782224 34.5302237)",جاده غازیان,,
425671096,True,,secondary,False,102.681,"LINESTRING (69.1743837 34.5238438, 69.1743448 34.5237333, 69.1742684 34.5232704, 69.1741853 34.5231484, 69.1741053 34.5230473, 69.1740783 34.5229698)",جاده غازیان,,
200228169,False,,unclassified,False,79.227,"LINESTRING (69.1814993 34.5287026, 69.1815602 34.5286739, 69.1822572 34.5283594)",,,
200228169,False,,unclassified,True,344.711,"LINESTRING (69.1814993 34.5287026, 69.181415 34.5287394, 69.1806345 34.5291195, 69.1794489 34.5296786, 69.1783801 34.5301713, 69.1782224 34.5302237)",,,
198683665,False,,secondary,False,139.387,"LINESTRING (69.1755195 34.5221717, 69.1752395 34.5222423, 69.1748283 34.5224284, 69.1745 34.5225769, 69.1743717 34.5226223, 69.1742489 34.5226198, 69.1741455 34.5225657)",جاده بوستان سرای,NH0104,
198683678,True,,secondary,False,95.822,"LINESTRING (69.1755195 34.5221717, 69.1752113 34.5223601, 69.1746357 34.5226298)",جاده بوستان سرای,NH0104,
784243468,True,,primary,False,16.174,"LINESTRING (69.1780704 34.5302977, 69.1782224 34.5302237)",,,
741162355,True,,primary,False,24.627,"LINESTRING (69.1780704 34.5302977, 69.1781571 34.5303111, 69.1782309 34.5303257, 69.1783319 34.5303485)",,,
198683665,False,,secondary,True,139.387,"LINESTRING (69.1741455 34.5225657, 69.1742489 34.5226198, 69.1743717 34.5226223, 69.1745 34.5225769, 69.1748283 34.5224284, 69.1752395 34.5222423, 69.1755195 34.5221717)",جاده بوستان سرای,NH0104,
198683678,True,,secondary,False,57.574,"LINESTRING (69.1746357 34.5226298, 69.1744849 34.5227005, 69.174069 34.5228524)",جاده بوستان سرای,NH0104,
425671098,True,,secondary,False,47.155,"LINESTRING (69.1746357 34.5226298, 69.1745607 34.522729, 69.1744516 34.5228191, 69.1742616 34.5229078)",,,
741170895,True,,secondary,False,37.694,"LINESTRING (69.1740783 34.5229698, 69.1736669 34.5229747)",,,
864567613,True,,secondary,False,13.088,"LINESTRING (69.1740783 34.5229698, 69.1740728 34.5229279, 69.174069 34.5228524)",,,
741170895,True,,secondary,False,18.200000000000003,"LINESTRING (69.1742616 34.5229078, 69.1741587 34.5229489, 69.1740783 34.5229698)",,,
753184268,True,,secondary,False,104.867,"LINESTRING (69.1742616 34.5229078, 69.1742777 34.5229708, 69.1743898 34.5237303, 69.1743837 34.5238438)",جاده غازیان,,
