osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,junction
90271385,tertiary,False,True,118.60700000000001,"LINESTRING (-5.2743312 6.8163009, -5.2742321 6.8164683, -5.2741359 6.8166255, -5.2739632 6.8168452, -5.2737909 6.8170406, -5.2737346 6.8171011, -5.2736836 6.8171461)",,,,
246734038,trunk,False,False,248.61399999999998,"LINESTRING (-5.2743312 6.8163009, -5.2745487 6.8164394, -5.2748799 6.8166493, -5.2750871 6.8167949, -5.2752915 6.8169383, -5.2755055 6.8170932, -5.2757228 6.8172667, -5.2759484 6.8174652, -5.2761305 6.8176371)",4,A3,Avenue Houphouët-Boigny,
72065938,tertiary,False,True,235.0,"LINESTRING (-5.2761305 6.8176371, -5.2763516 6.8174593, -5.2773551 6.8166969, -5.2776544 6.8165269, -5.2778364 6.8163784)",2,,,
246734038,trunk,False,True,248.614,"LINESTRING (-5.2761305 6.8176371, -5.2759484 6.8174652, -5.2757228 6.8172667, -5.2755055 6.8170932, -5.2752915 6.8169383, -5.2750871 6.8167949, -5.2748799 6.8166493, -5.2745487 6.8164394, -5.2743312 6.8163009)",4,A3,Avenue Houphouët-Boigny,
246734041,trunk,False,False,67.883,"LINESTRING (-5.2761305 6.8176371, -5.2762896 6.8177969, -5.2765627 6.8180713)",4,A3,Avenue Houphouët-Boigny,
399601201,tertiary,False,False,115.503,"LINESTRING (-5.2761305 6.8176371, -5.2759784 6.8177613, -5.2753126 6.8182847)",2,,Rue des Maquis,
72065938,tertiary,False,False,49.691,"LINESTRING (-5.2805614 6.8217392, -5.2806312 6.8215847, -5.2807573 6.821337)",2,,,
246734040,trunk,False,True,99.84099999999998,"LINESTRING (-5.2805614 6.8217392, -5.2803381 6.8216762, -5.2801755 6.8216, -5.2798853 6.8213981, -5.2797815 6.8213078)",4,A3,Avenue Houphouët-Boigny,
399601201,tertiary,False,True,58.878,"LINESTRING (-5.2805614 6.8217392, -5.2804859 6.8218787, -5.2804515 6.8219496, -5.2803215 6.822212)",2,,Rue des Maquis,
90271385,tertiary,False,False,118.60699999999999,"LINESTRING (-5.2736836 6.8171461, -5.2737346 6.8171011, -5.2737909 6.8170406, -5.2739632 6.8168452, -5.2741359 6.8166255, -5.2742321 6.8164683, -5.2743312 6.8163009)",,,,
72065993,residential,False,True,58.685,"LINESTRING (-5.2805414 6.8190841, -5.280863 6.8195043)",2,,,
72066110,residential,False,False,155.48399999999998,"LINESTRING (-5.2805414 6.8190841, -5.2804998 6.8191475, -5.2802398 6.8193602, -5.2799099 6.8196256, -5.2794725 6.8199894)",2,,,
72066110,residential,False,True,201.02800000000002,"LINESTRING (-5.2805414 6.8190841, -5.2810379 6.8187137, -5.2812897 6.8185207, -5.281397 6.8184048, -5.281523 6.818241, -5.2816021 6.8180879, -5.2816853 6.8179054, -5.2817349 6.8177749)",2,,,
72065894,residential,False,False,82.687,"LINESTRING (-5.273907 6.8231783, -5.2744916 6.8227135)",2,,,
72065894,residential,False,True,65.976,"LINESTRING (-5.273907 6.8231783, -5.273431 6.823537)",2,,,
399614123,residential,False,False,105.723,"LINESTRING (-5.273907 6.8231783, -5.274509 6.8239177)",2,,,
"[399614123, 72066012]",residential,False,True,113.375,"LINESTRING (-5.273907 6.8231783, -5.2737641 6.8230188, -5.2737475 6.823001, -5.2737393 6.8229856, -5.2737391 6.8229598, -5.2737543 6.8229373, -5.2743166 6.8224962)",2,,,
246734043,tertiary,True,False,21.527,"LINESTRING (-5.278256 6.8201937, -5.2783915 6.8203329)",2,,,
72065883,residential,False,False,229.406,"LINESTRING (-5.278256 6.8201937, -5.2773272 6.8209129, -5.2766259 6.8214729)",2,,,
246734043,tertiary,True,False,63.407,"LINESTRING (-5.27703 6.8188496, -5.277413 6.8192745)",2,,,
72066069,tertiary,False,False,113.856,"LINESTRING (-5.27703 6.8188496, -5.2762797 6.8194522, -5.2762282 6.8194935)",2,,,
72065951,residential,False,False,126.464,"LINESTRING (-5.2751243 6.8203814, -5.2758317 6.8212759)",2,,,
