osmid,highway,oneway,reversed,length,lanes,name,geometry,ref,maxspeed,junction
184204232,residential,False,False,119.242,,,"LINESTRING (-57.7112258 -19.0233044, -57.7101025 -19.0231553)",,,
184204232,residential,False,True,11.047,,,"LINESTRING (-57.7112258 -19.0233044, -57.7113293 -19.0233216)",,,
788640413,primary,True,False,107.827,2,Avenida Luis Salazar de la Vega,"LINESTRING (-57.7112258 -19.0233044, -57.7113622 -19.0223433)",,,
788640413,primary,True,False,132.025,2,Avenida Luis Salazar de la Vega,"LINESTRING (-57.7115381 -19.0212062, -57.7117285 -19.0200326)",,,
788640371,residential,False,False,115.098,,,"LINESTRING (-57.7115381 -19.0212062, -57.711382 -19.0211831, -57.7104564 -19.0210461)",,,
184204237,residential,False,False,113.135,,,"LINESTRING (-57.7119264 -19.0189111, -57.7108694 -19.0187198)",,,
184204237,residential,False,True,13.97,,,"LINESTRING (-57.7119264 -19.0189111, -57.7120555 -19.0189409)",,,
788640413,primary,True,False,66.324,2,Avenida Luis Salazar de la Vega,"LINESTRING (-57.71082 -19.0260468, -57.7108996 -19.0254551)",,,
353975990,residential,True,False,167.72199999999998,,Calle 12 de Octubre,"LINESTRING (-57.71082 -19.0260468, -57.709769 -19.0261074, -57.7092285 -19.0261521)",,,
147973071,trunk,True,False,7.763,2,Rotonda Fábrica Cemento,"LINESTRING (-57.7141858 -19.0263047, -57.7142041 -19.0262744, -57.7142284 -19.0262481)",F4,80,roundabout
147973071,trunk,True,False,15.017,2,Rotonda Fábrica Cemento,"LINESTRING (-57.7143322 -19.0265476, -57.714286 -19.0265366, -57.7142444 -19.0265147, -57.7142101 -19.0264835)",F4,80,roundabout
147973091,residential,False,True,7.353,,,"LINESTRING (-57.7135474 -19.0266994, -57.7135315 -19.026635)",,,
444023417,trunk,True,False,86.538,2,RN4: Arroyo Concepción-Corumbá (Brasil),"LINESTRING (-57.7135474 -19.0266994, -57.7127797 -19.0269804)",F4,80,
147973087,residential,False,True,7.724,,,"LINESTRING (-57.7127797 -19.0269804, -57.7127527 -19.0269158)",,,
444023417,trunk,True,False,121.188,2,RN4: Arroyo Concepción-Corumbá (Brasil),"LINESTRING (-57.7127797 -19.0269804, -57.7117056 -19.0273763)",F4,80,
147973081,residential,False,True,8.623,,,"LINESTRING (-57.7117056 -19.0273763, -57.7116741 -19.0273047)",,,
184204237,residential,False,True,125.247,,,"LINESTRING (-57.7097009 -19.0185, -57.7108694 -19.0187198)",,,
184204286,residential,False,True,141.665,,,"LINESTRING (-57.7097009 -19.0185, -57.7094892 -19.0197582)",,,
"[184204282, 184204237]",residential,False,False,236.23399999999998,,,"LINESTRING (-57.7097009 -19.0185, -57.708433 -19.0182694, -57.7084153 -19.0184497, -57.7084583 -19.0191713)",,,
184204237,residential,False,False,125.247,,,"LINESTRING (-57.7108694 -19.0187198, -57.7097009 -19.0185)",,,
184204237,residential,False,True,113.135,,,"LINESTRING (-57.7108694 -19.0187198, -57.7119264 -19.0189111)",,,
184204283,residential,False,False,133.704,,,"LINESTRING (-57.7108694 -19.0187198, -57.7106217 -19.0198992)",,,
184204237,residential,False,False,114.86,,,"LINESTRING (-57.7131331 -19.0191115, -57.7120555 -19.0189409)",,,
184204237,residential,False,True,74.176,,,"LINESTRING (-57.7131331 -19.0191115, -57.713829 -19.0192217)",,,
184204288,residential,False,True,121.476,,,"LINESTRING (-57.7131331 -19.0191115, -57.7129321 -19.0201873)",,,
184204237,residential,False,False,74.176,,,"LINESTRING (-57.713829 -19.0192217, -57.7131331 -19.0191115)",,,
184204247,residential,False,False,120.063,,,"LINESTRING (-57.713829 -19.0192217, -57.7138183 -19.0197752, -57.7137565 -19.0202981)",,,
184204271,residential,False,False,106.546,,,"LINESTRING (-57.7084854 -19.0196258, -57.7094892 -19.0197582)",,,
184204282,residential,False,False,47.397,,,"LINESTRING (-57.7084854 -19.0196258, -57.7084129 -19.0200465)",,,
184204282,residential,False,True,50.618,,,"LINESTRING (-57.7084854 -19.0196258, -57.7084583 -19.0191713)",,,
184204271,residential,False,False,120.081,,,"LINESTRING (-57.7094892 -19.0197582, -57.7106217 -19.0198992)",,,
184204271,residential,False,True,106.546,,,"LINESTRING (-57.7094892 -19.0197582, -57.7084854 -19.0196258)",,,
184204286,residential,False,False,141.665,,,"LINESTRING (-57.7094892 -19.0197582, -57.7097009 -19.0185)",,,
184204286,residential,False,True,50.466,,,"LINESTRING (-57.7094892 -19.0197582, -57.7094199 -19.0202073)",,,
184204253,residential,False,False,110.026,,,"LINESTRING (-57.7062172 -19.0195154, -57.7060749 -19.0204957)",,,
884880732,residential,False,False,51.617,,,"LINESTRING (-57.7062172 -19.0195154, -57.7066968 -19.0194159)",,,
884880732,residential,False,True,58.787,,,"LINESTRING (-57.7062172 -19.0195154, -57.705671 -19.0196288)",,,
788640364,residential,False,True,88.958,,,"LINESTRING (-57.705671 -19.0196288, -57.7055745 -19.0204236)",,,
884880732,residential,False,False,58.787,,,"LINESTRING (-57.705671 -19.0196288, -57.7062172 -19.0195154)",,,
"[788640371, 884880732]",residential,False,True,227.337,,,"LINESTRING (-57.705671 -19.0196288, -57.7050541 -19.0198266, -57.7044582 -19.0200564, -57.704405 -19.0201372, -57.7044556 -19.0202041, -57.7049773 -19.0203486, -57.7051119 -19.0203687)",,,
184204254,residential,False,False,126.811,,,"LINESTRING (-57.7066968 -19.0194159, -57.7065503 -19.0205479)",,,
884880732,residential,False,True,51.617,,,"LINESTRING (-57.7066968 -19.0194159, -57.7062172 -19.0195154)",,,
884880732,residential,False,False,64.804,,,"LINESTRING (-57.7066968 -19.0194159, -57.7067707 -19.0194006, -57.7073047 -19.0193198)",,,
184204271,residential,False,False,117.293,,,"LINESTRING (-57.7106217 -19.0198992, -57.7117285 -19.0200326)",,,
184204271,residential,False,True,120.081,,,"LINESTRING (-57.7106217 -19.0198992, -57.7094892 -19.0197582)",,,
184204283,residential,False,False,128.708,,,"LINESTRING (-57.7106217 -19.0198992, -57.7104564 -19.0210461)",,,
184204283,residential,False,True,133.704,,,"LINESTRING (-57.7106217 -19.0198992, -57.7108694 -19.0187198)",,,
