osmid,highway,oneway,reversed,length,lanes,name,geometry,maxspeed
196971717,residential,False,False,133.921,,,"LINESTRING (-64.0522933 -13.2640463, -64.0525144 -13.2628613)",
524343310,residential,False,False,146.07,2,Magdalena-Orobayaya-Bella Vista,"LINESTRING (-64.0522933 -13.2640463, -64.0536115 -13.2643282)",
524343310,residential,False,True,138.615,2,Magdalena-Orobayaya-Bella Vista,"LINESTRING (-64.0522933 -13.2640463, -64.0510437 -13.263773)",
196971717,residential,False,True,228.428,,,"LINESTRING (-64.0522933 -13.2640463, -64.0519789 -13.2655992, -64.0519189 -13.2660671)",
196971706,residential,False,False,137.744,,,"LINESTRING (-64.0567565 -13.265028, -64.057083 -13.2638307)",
1214389824,secondary,False,True,112.203,,,"LINESTRING (-64.0567565 -13.265028, -64.0565503 -13.2660169)",
1214389826,residential,False,False,125.311,2,Camino San Ramon-Magdalena,"LINESTRING (-64.0567565 -13.265028, -64.0578812 -13.2652957)",
1214389827,secondary,False,True,120.6,2,Camino San Ramon-Magdalena,"LINESTRING (-64.0567565 -13.265028, -64.0556696 -13.2647889)",
196971717,residential,False,False,157.499,,,"LINESTRING (-64.052697 -13.261911, -64.0529347 -13.2605136)",
196971717,residential,False,True,107.501,,,"LINESTRING (-64.052697 -13.261911, -64.0525144 -13.2628613)",
196971722,residential,False,False,147.007,,,"LINESTRING (-64.052697 -13.261911, -64.0513622 -13.2616662)",
196971722,residential,False,True,148.245,,,"LINESTRING (-64.052697 -13.261911, -64.0540435 -13.2621555)",
409406948,residential,False,False,132.163,,,"LINESTRING (-64.0536115 -13.2643282, -64.0538575 -13.263164)",
524343310,residential,False,True,146.07,2,Magdalena-Orobayaya-Bella Vista,"LINESTRING (-64.0536115 -13.2643282, -64.0522933 -13.2640463)",
1214389827,secondary,False,False,118.625,2,Camino San Ramon-Magdalena,"LINESTRING (-64.0536115 -13.2643282, -64.0546788 -13.264571)",
196971713,secondary,False,True,241.088,,,"LINESTRING (-64.0536115 -13.2643282, -64.0533641 -13.2652544, -64.05316 -13.2661944, -64.0531301 -13.2664431)",
196971717,residential,False,True,157.499,,,"LINESTRING (-64.0529347 -13.2605136, -64.052697 -13.261911)",
196971719,residential,False,False,151.204,,Calle Federico Zampieri,"LINESTRING (-64.0529347 -13.2605136, -64.054306 -13.2607735)",30
196971719,residential,False,True,151.531,,Calle Federico Zampieri,"LINESTRING (-64.0529347 -13.2605136, -64.05156 -13.2602553)",30
196971710,residential,False,False,159.258,,Calle Nataniel García,"LINESTRING (-64.0551661 -13.2623632, -64.0555204 -13.2609731)",
196971710,residential,False,True,117.108,,Calle Nataniel García,"LINESTRING (-64.0551661 -13.2623632, -64.0549291 -13.2633908)",
196971722,residential,False,False,123.674,,,"LINESTRING (-64.0551661 -13.2623632, -64.0540435 -13.2621555)",
196971722,residential,False,True,110.094,,,"LINESTRING (-64.0551661 -13.2623632, -64.0561644 -13.2625533)",
196971710,residential,False,False,117.108,,Calle Nataniel García,"LINESTRING (-64.0549291 -13.2633908, -64.0551661 -13.2623632)",
196971710,residential,False,True,133.999,,Calle Nataniel García,"LINESTRING (-64.0549291 -13.2633908, -64.0546788 -13.264571)",
196971718,residential,False,False,118.689,,,"LINESTRING (-64.0549291 -13.2633908, -64.0538575 -13.263164)",
196971718,residential,False,True,111.835,,,"LINESTRING (-64.0549291 -13.2633908, -64.0559404 -13.2635973)",
196971720,residential,False,False,160.33,1,Calle Saúl Clementelly,"LINESTRING (-64.0561644 -13.2625533, -64.0565074 -13.2611506)",30
196971720,residential,False,True,118.592,1,Calle Saúl Clementelly,"LINESTRING (-64.0561644 -13.2625533, -64.0559404 -13.2635973)",30
196971722,residential,False,False,110.094,,,"LINESTRING (-64.0561644 -13.2625533, -64.0551661 -13.2623632)",
196971722,residential,False,True,131.294,,,"LINESTRING (-64.0561644 -13.2625533, -64.057355 -13.2627797)",
196971722,residential,False,False,148.245,,,"LINESTRING (-64.0540435 -13.2621555, -64.052697 -13.261911)",
