osmid,lanes,highway,oneway,reversed,length,bridge,geometry,ref,name,maxspeed,access
"[1110601157, 530023357, 1110601158]",2,residential,False,False,134.115,yes,"LINESTRING (-66.5652104 -18.4642578, -66.5653368 -18.464278, -66.5654105 -18.4643126, -66.5654978 -18.4643603, -66.5656002 -18.4644213, -66.5657024 -18.4645044, -66.5657671 -18.4646525, -66.5658221 -18.4648785, -66.565829 -18.4649658, -66.5658227 -18.4650502, -66.5657261 -18.4650998)",,,,
1077519857,2,trunk,False,False,23.986,,"LINESTRING (-66.5652104 -18.4642578, -66.5652853 -18.4643265, -66.5653518 -18.4644249)",F6,RN6: Llallagua-Uncia,80,
1077519857,2,trunk,False,True,131.041,,"LINESTRING (-66.5652104 -18.4642578, -66.5644527 -18.4638052, -66.5642687 -18.4636558, -66.5642009 -18.46358)",F6,RN6: Llallagua-Uncia,80,
682494033,,residential,False,False,138.432,,"LINESTRING (-66.5657261 -18.4650998, -66.5670339 -18.4652053)",,,,
530023356,2,trunk,False,False,48.828,,"LINESTRING (-66.5657261 -18.4650998, -66.5657444 -18.4652546, -66.5657495 -18.4654174, -66.5657311 -18.4655366)",F6,RN6: Pocoata-Llallagua,80,
"[1077519857, 530023354, 530023356]",2,trunk,False,True,84.93,yes,"LINESTRING (-66.5657261 -18.4650998, -66.5656952 -18.4650164, -66.5656463 -18.4649221, -66.5655092 -18.4646931, -66.5653518 -18.4644249)",F6,"['RN6: Llallagua-Uncia', 'Puente Uncía', 'RN6: Pocoata-Llallagua']",80,
"[1110601157, 1110601158, 530023357]",2,residential,False,True,134.115,yes,"LINESTRING (-66.5657261 -18.4650998, -66.5658227 -18.4650502, -66.565829 -18.4649658, -66.5658221 -18.4648785, -66.5657671 -18.4646525, -66.5657024 -18.4645044, -66.5656002 -18.4644213, -66.5654978 -18.4643603, -66.5654105 -18.4643126, -66.5653368 -18.464278, -66.5652104 -18.4642578)",,,,
479982433,2,trunk,False,True,25.096,,"LINESTRING (-66.5656143 -18.4659022, -66.565687 -18.4656873)",F6,RN6: Pocoata-Llallagua,80,
147184691,,residential,False,False,217.571,,"LINESTRING (-66.5656143 -18.4659022, -66.5655106 -18.4659608, -66.565131 -18.4663269, -66.5641562 -18.4672811)",,Calle Manuel Benavente,,
479982433,2,trunk,False,False,24.083,,"LINESTRING (-66.5656143 -18.4659022, -66.5655829 -18.4659836, -66.565535 -18.4661053)",F6,RN6: Pocoata-Llallagua,80,
147184651,,residential,False,False,39.615,,"LINESTRING (-66.565535 -18.4661053, -66.5656192 -18.4664525)",,Calle Argentina,,
479982433,2,trunk,False,False,217.98000000000002,,"LINESTRING (-66.565535 -18.4661053, -66.5654261 -18.4664116, -66.5653524 -18.4666472, -66.5652565 -18.4669876, -66.5651726 -18.4671491, -66.565112 -18.4672412, -66.5649856 -18.4673877, -66.5648325 -18.4675395, -66.5645374 -18.4677513)",F6,RN6: Pocoata-Llallagua,80,
479982433,2,trunk,False,True,24.083,,"LINESTRING (-66.565535 -18.4661053, -66.5655829 -18.4659836, -66.5656143 -18.4659022)",F6,RN6: Pocoata-Llallagua,80,
479982433,2,trunk,False,False,73.192,,"LINESTRING (-66.5643548 -18.4678683, -66.5637923 -18.4682538)",F6,RN6: Pocoata-Llallagua,80,
479982433,2,trunk,False,True,23.241,,"LINESTRING (-66.5643548 -18.4678683, -66.5645374 -18.4677513)",F6,RN6: Pocoata-Llallagua,80,
530023146,,residential,False,True,177.43,,"LINESTRING (-66.5643548 -18.4678683, -66.5645068 -18.4682613, -66.5645784 -18.4685904, -66.5647715 -18.4693808, -66.5647799 -18.4694094)",,,,
