osmid,highway,oneway,reversed,length,geometry,bridge,name,lanes
432300812,residential,False,False,385.591,"LINESTRING (-66.8316661 -18.2844774, -66.8316722 -18.2845499, -66.8316523 -18.284641, -66.8315265 -18.2848996, -66.8314705 -18.2851206, -66.8314688 -18.2852746, -66.8314991 -18.285338, -66.8315709 -18.2853691, -66.8321035 -18.2854821, -66.8321449 -18.2855262, -66.8321519 -18.2855799, -66.8321286 -18.2859158, -66.8324185 -18.2859064, -66.8324489 -18.2859054, -66.8327828 -18.2858788, -66.8333148 -18.2855966, -66.8334281 -18.2855503, -66.8335285 -18.2855185, -66.8336386 -18.2855185)",,,
264038144,residential,False,False,50.502,"LINESTRING (-66.8387641 -18.2851095, -66.8383112 -18.2852556)",,,
273481795,residential,False,True,39.019,"LINESTRING (-66.8387641 -18.2851095, -66.8386593 -18.284773)",,,
264038144,residential,False,True,70.015,"LINESTRING (-66.8387641 -18.2851095, -66.8390321 -18.2850352, -66.8392891 -18.2849627, -66.8393956 -18.2849194)",,,
140357858,residential,False,False,102.216,"LINESTRING (-66.8336386 -18.2855185, -66.8342707 -18.2855391, -66.8345148 -18.285612, -66.8345909 -18.2856347)",,,
432300812,residential,False,False,99.94800000000001,"LINESTRING (-66.8336386 -18.2855185, -66.8344422 -18.2857501, -66.8345444 -18.2857797)",,,
432300812,residential,False,True,385.59099999999995,"LINESTRING (-66.8336386 -18.2855185, -66.8335285 -18.2855185, -66.8334281 -18.2855503, -66.8333148 -18.2855966, -66.8327828 -18.2858788, -66.8324489 -18.2859054, -66.8324185 -18.2859064, -66.8321286 -18.2859158, -66.8321519 -18.2855799, -66.8321449 -18.2855262, -66.8321035 -18.2854821, -66.8315709 -18.2853691, -66.8314991 -18.285338, -66.8314688 -18.2852746, -66.8314705 -18.2851206, -66.8315265 -18.2848996, -66.8316523 -18.284641, -66.8316722 -18.2845499, -66.8316661 -18.2844774)",,,
140357857,residential,False,False,16.854,"LINESTRING (-66.8345909 -18.2856347, -66.8345444 -18.2857797)",,,
140357858,residential,False,False,118.061,"LINESTRING (-66.8345909 -18.2856347, -66.8351761 -18.2858114, -66.8349974 -18.286259)",,,
140357858,residential,False,True,102.21600000000001,"LINESTRING (-66.8345909 -18.2856347, -66.8345148 -18.285612, -66.8342707 -18.2855391, -66.8336386 -18.2855185)",,,
