osmid,name,highway,width,oneway,reversed,length,lanes,geometry,ref,maxspeed,bridge
67551803,Calle Orguila,residential,4,False,False,38.757,,"LINESTRING (-65.9366482 -17.5934382, -65.9366319 -17.5937864)",,,
67551788,Calle 6 de Agosto,primary,,False,False,63.548,2,"LINESTRING (-65.9366482 -17.5934382, -65.9363711 -17.593392, -65.9360669 -17.5933029)",,,
67551788,Calle 6 de Agosto,primary,,False,True,81.37899999999999,2,"LINESTRING (-65.9366482 -17.5934382, -65.9369831 -17.5934802, -65.9374115 -17.5935154)",,,
67551803,Calle Orguila,residential,4,False,True,111.314,,"LINESTRING (-65.9366482 -17.5934382, -65.936597 -17.5931804, -65.9364019 -17.5924655)",,,
150586243,,primary,,False,False,12.774,2,"LINESTRING (-65.9360669 -17.5933029, -65.9360585 -17.5931883)",,,
747982895,,secondary,,False,True,32.997,2,"LINESTRING (-65.9360669 -17.5933029, -65.936089 -17.5935989)",,,
67551788,Calle 6 de Agosto,primary,,False,True,63.548,2,"LINESTRING (-65.9360669 -17.5933029, -65.9363711 -17.593392, -65.9366482 -17.5934382)",,,
150586243,,primary,,False,True,68.477,2,"LINESTRING (-65.9359264 -17.5915428, -65.9359837 -17.5921562)",,,
42651075,Avenida Santa Cruz,residential,,False,False,155.524,2,"LINESTRING (-65.9359264 -17.5915428, -65.9356898 -17.591524, -65.9355447 -17.5915234, -65.934747 -17.5916209, -65.9344673 -17.5916415)",,,
67551757,Calle Aroma,residential,,False,True,94.62299999999999,,"LINESTRING (-65.9359264 -17.5915428, -65.9364435 -17.5916147, -65.936813 -17.5916355)",,,
150586243,,primary,,False,False,48.134,2,"LINESTRING (-65.9359264 -17.5915428, -65.9358893 -17.5912782, -65.9358602 -17.5911777, -65.9358338 -17.5911214)",,,
67551758,Calle Belzu,residential,,False,False,116.779,2,"LINESTRING (-65.9351868 -17.5900181, -65.935052 -17.5904696, -65.93486 -17.5910208)",,,
