osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,junction,bridge,access,ref
152095547,2,Hekelingseweg,tertiary,50,False,True,81.874,"LINESTRING (4.3275264 51.8435442, 4.327274 51.8435516, 4.3271126 51.8435754, 4.3269678 51.8436126, 4.3267868 51.8436671, 4.3265999 51.8437542, 4.3264791 51.8438374)",,,,,
232325311,3,Hekelingseweg,tertiary,50,True,False,212.536,"LINESTRING (4.3275264 51.8435442, 4.3277492 51.8435077, 4.3289966 51.8435245, 4.3291988 51.8435235, 4.329484 51.8435274, 4.3297586 51.8435083, 4.3302027 51.8434855, 4.3303553 51.8434834, 4.3306087 51.8434791)",,,,,
130992237,,Schrijnwerker,residential,30,False,False,229.65499999999997,"LINESTRING (4.333487 51.8435299, 4.3328084 51.843833, 4.3323453 51.8440253, 4.3331 51.8447, 4.3334554 51.845014)",,,,,
7556819,,Hoefsmid,residential,30,False,False,103.798,"LINESTRING (4.3330244 51.8440626, 4.3331925 51.8442305, 4.3334059 51.8444367, 4.333607 51.844631, 4.3338344 51.8448506)",,,,,
7556839,,C. van Boshuizenstraat,residential,30,False,False,49.815,"LINESTRING (4.3284485 51.8442759, 4.3291721 51.8443052)",,,,,
"[270177920, 270177922, 7556781]",,Joost Sasboutstraat,residential,30,False,False,188.449,"LINESTRING (4.3284485 51.8442759, 4.3282734 51.8442085, 4.3282556 51.8442002, 4.3281385 51.8441451, 4.3281441 51.843984, 4.3274837 51.843942, 4.3269803 51.8441067, 4.3268896 51.8442654, 4.326857 51.8443224, 4.3267162 51.8446206)",,,,,
7556784,,Breeweg,residential,30,False,False,83.28299999999999,"LINESTRING (4.3284485 51.8442759, 4.3284237 51.8445669, 4.328407 51.8446973, 4.3283758 51.8449101, 4.3282957 51.8450118)",,,,,
7556839,,C. van Boshuizenstraat,residential,30,False,True,49.815,"LINESTRING (4.3291721 51.8443052, 4.3284485 51.8442759)",,,,,
"[270177921, 7556787, 270177924]",,Joost Sasboutstraat,residential,30,False,False,189.224,"LINESTRING (4.3291721 51.8443052, 4.329308 51.8442581, 4.3293274 51.8442514, 4.3294671 51.844203, 4.3294828 51.8440371, 4.3300349 51.8439973, 4.3306931 51.8440274, 4.3306322 51.8446016)",,,,,
"[7556786, 7556839]",,"['C. van Boshuizenstraat', 'Anthonis van der Nootstraat']",residential,30,False,False,37.605,"LINESTRING (4.3291721 51.8443052, 4.3291832 51.8444108, 4.3293766 51.8445437, 4.3294632 51.8445477)",,,,,
846683661,2,Hekelingseweg,tertiary,50,False,True,156.482,"LINESTRING (4.3258256 51.8443292, 4.3246516 51.8452154, 4.324393 51.8454232)",,,,,
846683662,1,Hekelingseweg,tertiary,50,True,False,71.733,"LINESTRING (4.3258256 51.8443292, 4.3259132 51.8442267, 4.3260163 51.8441361, 4.3263254 51.8438957, 4.3264791 51.8438374)",,,,,
"[7556529, 1103003935]",,Randweg,residential,30,False,False,69.65700000000001,"LINESTRING (4.3258256 51.8443292, 4.3260343 51.8444058, 4.3261584 51.8444667, 4.3262688 51.8445104, 4.3267162 51.8446206)",,,,,
7556825,,Schoutstraat,unclassified,50,True,False,7.119,"LINESTRING (4.3324112 51.8444671, 4.3324925 51.8444274)",,,,,
722438269,2,Ruwaard van Puttenweg,tertiary,50,True,False,164.44600000000003,"LINESTRING (4.3324112 51.8444671, 4.3320813 51.8441468, 4.3319894 51.8440294, 4.3318944 51.8439316, 4.3318184 51.8438826, 4.3317265 51.8438357, 4.3315159 51.8437725, 4.3313262 51.8437208, 4.3311299 51.8436785, 4.330988 51.8436551, 4.330874 51.8436363, 4.3306342 51.8436268)",,,,,
"[1103003939, 7556788]",,Schoutstraat,residential,30,False,True,59.015,"LINESTRING (4.3324112 51.8444671, 4.3320776 51.8446094, 4.331785 51.8447244, 4.3316813 51.8447404)",,,,,
7556827,,Barbier,residential,30,False,False,52.425,"LINESTRING (4.3346886 51.8444878, 4.3340603 51.8447554)",,,,,
238946554,,Wagenmaker,residential,30,False,False,8.061,"LINESTRING (4.3346886 51.8444878, 4.3347592 51.8445457)",,,,,
"[238946554, 7556836]",,"['Wagenmaker', 'Schoenmaker']",residential,30,False,"[False, True]",111.828,"LINESTRING (4.3346886 51.8444878, 4.3346426 51.8444364, 4.3351995 51.844217, 4.3353161 51.8443261, 4.3347592 51.8445457)",,,,,
7556529,,Randweg,residential,30,False,False,116.905,"LINESTRING (4.3267162 51.8446206, 4.3273362 51.844769, 4.3274452 51.8447959, 4.3275418 51.8448196, 4.3282957 51.8450118)",,,,,
"[7556529, 1103003935]",,Randweg,residential,30,False,True,69.657,"LINESTRING (4.3267162 51.8446206, 4.3262688 51.8445104, 4.3261584 51.8444667, 4.3260343 51.8444058, 4.3258256 51.8443292)",,,,,
"[270177920, 270177922, 7556781]",,Joost Sasboutstraat,residential,30,False,True,188.449,"LINESTRING (4.3267162 51.8446206, 4.326857 51.8443224, 4.3268896 51.8442654, 4.3269803 51.8441067, 4.3274837 51.843942, 4.3281441 51.843984, 4.3281385 51.8441451, 4.3282556 51.8442002, 4.3282734 51.8442085, 4.3284485 51.8442759)",,,,,
238946554,,Wagenmaker,residential,30,False,True,8.061,"LINESTRING (4.3347592 51.8445457, 4.3346886 51.8444878)",,,,,
