osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction
"[1080130242, 430502851, 743685364, 1080130340]","['1', '2']",Dorpsstraat,residential,"['50', '30']",False,False,168.13,"LINESTRING (5.9687389 52.2857923, 5.96873 52.2858691, 5.9687085 52.2859579, 5.9686892 52.2860496, 5.9686807 52.2861053, 5.9686629 52.2861577, 5.9686299 52.286262, 5.9685511 52.2865926, 5.9685132 52.2868458, 5.9684894 52.287141, 5.9684802 52.2872941)",,
"[1080731467, 6843271]",,Stationsstraat,residential,"['50', '30']",False,False,67.244,"LINESTRING (5.9687389 52.2857923, 5.9688182 52.2857867, 5.9689954 52.2857874, 5.9691339 52.2857921, 5.9695466 52.2858281, 5.9697207 52.2858437)",,
6843999,,Industrieweg,residential,30,False,False,20.615,"LINESTRING (5.9619359 52.2865825, 5.9620319 52.2865983, 5.9622245 52.2866388)",,
6843999,,Industrieweg,residential,30,False,False,157.749,"LINESTRING (5.9622245 52.2866388, 5.962488 52.2867028, 5.9637594 52.2870361, 5.9641933 52.2871393, 5.964367 52.2871815)",,
6843999,,Industrieweg,residential,30,False,True,20.615,"LINESTRING (5.9622245 52.2866388, 5.9620319 52.2865983, 5.9619359 52.2865825)",,
6844219,,Dokter Windemullerweg,residential,,False,False,106.66,"LINESTRING (5.9622245 52.2866388, 5.962171 52.2867405, 5.96214 52.28688, 5.96241 52.28738, 5.96248 52.28756)",,
1080731474,,Laan van Fasna,secondary,50,False,True,96.941,"LINESTRING (5.9737625 52.2868174, 5.9735258 52.2859577)",,
1080731473,,Laan van Fasna,secondary,50,True,False,50.673,"LINESTRING (5.9737625 52.2868174, 5.9738947 52.2870443, 5.9739652 52.2871838, 5.9739845 52.2872516)",,
6843271,,Stationsstraat,residential,30,False,True,16.673,"LINESTRING (5.9712271 52.2871502, 5.9711638 52.2870906, 5.9710999 52.2870221)",,
6843465,1,Kosterstraat,residential,30,False,True,53.65,"LINESTRING (5.9712271 52.2871502, 5.9711506 52.287191, 5.9711171 52.2872077, 5.9710738 52.2872192, 5.9706403 52.287262, 5.9704833 52.2872713)",,
425609723,,Stationsstraat,residential,30,False,False,62.409,"LINESTRING (5.9712271 52.2871502, 5.9713438 52.2871942, 5.971774 52.2873373, 5.9719051 52.2873753, 5.9720434 52.2874033)",,
6843262,1,Marijkeweg,residential,30,False,False,69.2,"LINESTRING (5.964367 52.2871815, 5.9646842 52.2872262, 5.9648965 52.287251, 5.9650526 52.287264, 5.9652064 52.287271, 5.9653703 52.2872735)",,
6843999,,Industrieweg,residential,30,False,True,157.749,"LINESTRING (5.964367 52.2871815, 5.9641933 52.2871393, 5.9637594 52.2870361, 5.962488 52.2867028, 5.9622245 52.2866388)",,
6844159,,Beatrixweg,residential,,False,False,21.609,"LINESTRING (5.964367 52.2871815, 5.9643301 52.2872703, 5.9643034 52.2873717)",,
1035317037,,Stationsstraat,residential,50,False,True,8.409,"LINESTRING (5.9739845 52.2872516, 5.9738655 52.2872721)",,
1080731473,,Laan van Fasna,secondary,50,True,False,41.102000000000004,"LINESTRING (5.9739845 52.2872516, 5.9740218 52.2874221, 5.9740451 52.2876192)",,
6843311,1,Houtzagersstraat,residential,30,False,False,36.738,"LINESTRING (5.9704833 52.2872713, 5.9705026 52.2873742, 5.9704975 52.287601)",5.4,
6843465,1,Kosterstraat,residential,30,False,False,53.64999999999999,"LINESTRING (5.9704833 52.2872713, 5.9706403 52.287262, 5.9710738 52.2872192, 5.9711171 52.2872077, 5.9711506 52.287191, 5.9712271 52.2871502)",,
6843262,1,Marijkeweg,residential,30,False,True,49.622,"LINESTRING (5.9684802 52.2872941, 5.9682718 52.287298, 5.9677508 52.2872943)",,
6843367,1,Kosterstraat,residential,30,True,False,136.598,"LINESTRING (5.9684802 52.2872941, 5.9687029 52.2872899, 5.9690553 52.2872876, 5.9691198 52.2872853, 5.9693994 52.2872573, 5.9694994 52.2872513, 5.969582 52.2872501, 5.9698301 52.2872546, 5.9702587 52.2872666, 5.9704833 52.2872713)",5.3,
