osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width,tunnel
6561247,Jan Dirksstraat,residential,30,False,False,54.027,"LINESTRING (5.5337211 53.18414, 5.5345317 53.1841511)",,,
6561369,Jitze Pieter van Dijkstraat,residential,30,False,False,31.332,"LINESTRING (5.5337211 53.18414, 5.5337124 53.1843585, 5.5337147 53.1844217)",,,
6561202,Jan Dirksstraat,residential,30,False,False,73.621,"LINESTRING (5.5345317 53.1841511, 5.5356365 53.1841589)",,,
6561247,Jan Dirksstraat,residential,30,False,True,54.027,"LINESTRING (5.5345317 53.1841511, 5.5337211 53.18414)",,,
6561053,Jan Dirksstraat,residential,30,False,False,32.115,"LINESTRING (5.5345317 53.1841511, 5.5345044 53.1843751, 5.5344978 53.1844392)",,,
6560994,Kamstrastraat,residential,30,False,False,39.752,"LINESTRING (5.5356365 53.1841589, 5.5358269 53.1844977)",,,
6561202,Jan Dirksstraat,residential,30,False,True,73.621,"LINESTRING (5.5356365 53.1841589, 5.5345317 53.1841511)",,,
6560766,Tuinen,residential,30,False,False,229.106,"LINESTRING (5.5433843 53.1843093, 5.5432905 53.1843838, 5.5417053 53.1844291, 5.5408787 53.1844542, 5.5400136 53.1844963)",,,
6561300,Harlingerweg,tertiary,50,False,False,52.216,"LINESTRING (5.5337147 53.1844217, 5.5344978 53.1844392)",,,
914065864,,residential,50,False,True,8.073,"LINESTRING (5.5337147 53.1844217, 5.5337151 53.1844943)",,,
6561369,Jitze Pieter van Dijkstraat,residential,30,False,True,31.332,"LINESTRING (5.5337147 53.1844217, 5.5337124 53.1843585, 5.5337211 53.18414)",,,
6561300,Harlingerweg,tertiary,50,False,True,52.216,"LINESTRING (5.5344978 53.1844392, 5.5337147 53.1844217)",,,
6561053,Jan Dirksstraat,residential,30,False,True,32.115,"LINESTRING (5.5344978 53.1844392, 5.5345044 53.1843751, 5.5345317 53.1841511)",,,
6561300,Harlingerweg,tertiary,50,False,False,86.822,"LINESTRING (5.5344978 53.1844392, 5.5349369 53.1844713, 5.5353865 53.1845346, 5.5357638 53.184612)",,,
6560766,Tuinen,residential,30,False,True,229.106,"LINESTRING (5.5400136 53.1844963, 5.5408787 53.1844542, 5.5417053 53.1844291, 5.5432905 53.1843838, 5.5433843 53.1843093)",,,
"[319012189, 319012188, 733822765]","['Tuinen', 'Brouwersbrug']",unclassified,30,False,False,34.319,"LINESTRING (5.5400136 53.1844963, 5.5400222 53.1845376, 5.5400611 53.1847401, 5.5400726 53.1848029)",yes,,
6560994,Kamstrastraat,residential,30,False,True,39.752,"LINESTRING (5.5358269 53.1844977, 5.5356365 53.1841589)",,,
"[184955298, 6561051]",Kamstrastraat,residential,"['30', '50']",False,False,13.388000000000002,"LINESTRING (5.5358269 53.1844977, 5.5358056 53.1845382, 5.5357638 53.184612)",,,
6560744,Hofstraat,residential,30,False,False,46.513999999999996,"LINESTRING (5.5433894 53.1847125, 5.5434113 53.1847813, 5.5435167 53.1851238)",,,
861111099,Zuiderkade,tertiary,30,False,True,161.738,"LINESTRING (5.5433894 53.1847125, 5.5439788 53.1847105, 5.5443846 53.1847075, 5.5449548 53.1846974, 5.5452534 53.1847001, 5.5458157 53.1847169)",,,
"[688027121, 861111101]",Zuiderkade,tertiary,30,False,False,221.248,"LINESTRING (5.5433894 53.1847125, 5.5426825 53.184729, 5.5416684 53.1847539, 5.5415376 53.1847571, 5.540255 53.1847929, 5.5400726 53.1848029)",,,
