osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,tunnel,bridge
7245019,Vrouwemadestraat,residential,50,False,False,5.947,"LINESTRING (4.4561958 51.5286678, 4.456275 51.5286886)",,,,
774754664,Laan van Brabant,unclassified,,False,True,11.125,"LINESTRING (4.4533283 51.5286919, 4.4534885 51.5287007)",,,,
"[774754664, 7247115]",Laan van Brabant,unclassified,,False,False,69.292,"LINESTRING (4.4533283 51.5286919, 4.4532372 51.5286867, 4.4527 51.5286558, 4.4524205 51.5288073)",,,,
7245019,Vrouwemadestraat,residential,50,False,True,5.947,"LINESTRING (4.456275 51.5286886, 4.4561958 51.5286678)",,,,
7244901,Vrouwemadestraat,unclassified,30,True,False,204.21699999999998,"LINESTRING (4.456275 51.5286886, 4.4563317 51.5287025, 4.4570747 51.5288588, 4.4574365 51.5289459, 4.4577906 51.5290395, 4.4590107 51.5293753)",,,,
7245017,Laan van België,secondary,50,True,False,95.13999999999999,"LINESTRING (4.456275 51.5286886, 4.4560192 51.5291086, 4.4558922 51.5293354, 4.4558102 51.5294503, 4.4557731 51.5294837)",RING,,,
"[774754664, 7247115]",Laan van Brabant,unclassified,,False,True,69.292,"LINESTRING (4.4524205 51.5288073, 4.4527 51.5286558, 4.4532372 51.5286867, 4.4533283 51.5286919)",,,,
7244781,Nispensestraat,unclassified,,False,False,6.319,"LINESTRING (4.4590415 51.5293218, 4.4590107 51.5293753)",,,,
7244907,Fortuinstraat,unclassified,30,True,False,47.699,"LINESTRING (4.4597274 51.5293105, 4.4591995 51.5293371, 4.4590415 51.5293218)",,,,
7247293,Laan van Limburg,secondary,50,True,False,12.881,"LINESTRING (4.4532157 51.5294091, 4.4533934 51.5293745)",RING,,,
7247311,Laan van Brabant,tertiary,50,True,False,80.129,"LINESTRING (4.4532157 51.5294091, 4.4532406 51.5292436, 4.4533283 51.5286919)",,,,
"[7247017, 774754663]",Laan van Europa,unclassified,30,False,True,52.824,"LINESTRING (4.4532157 51.5294091, 4.4531375 51.5294054, 4.4530718 51.529401, 4.4524547 51.5293699)",,,,
7244781,Nispensestraat,unclassified,,False,True,6.319,"LINESTRING (4.4590107 51.5293753, 4.4590415 51.5293218)",,,,
7244792,Nispensestraat,unclassified,,False,False,48.891999999999996,"LINESTRING (4.4590107 51.5293753, 4.4589356 51.5295134, 4.4589 51.5295874, 4.4588762 51.5296767, 4.4588742 51.529756, 4.4588539 51.5298011)",,,,
"[7247017, 774754663]",Laan van Europa,unclassified,30,False,False,52.824,"LINESTRING (4.4524547 51.5293699, 4.4530718 51.529401, 4.4531375 51.5294054, 4.4532157 51.5294091)",,,,
