osmid,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,lanes,junction,access
"[7528809, 7528810, 553274964]",Rodenrijseweg,residential,30,False,False,59.023,yes,"LINESTRING (4.4701 51.987, 4.4707387 51.9869212, 4.4708973 51.9869045, 4.470946 51.9868986)",,,
7528841,Rodenrijseweg,residential,30,False,False,85.459,,"LINESTRING (4.4701 51.987, 4.4702 51.9871, 4.4703733 51.9877423)",,,
139789733,Rodenrijseweg,residential,30,False,False,45.339,,"LINESTRING (4.470946 51.9868986, 4.4710728 51.9872988)",,,
"[7528809, 7528810, 553274964]",Rodenrijseweg,residential,30,False,True,59.023,yes,"LINESTRING (4.470946 51.9868986, 4.4708973 51.9869045, 4.4707387 51.9869212, 4.4701 51.987)",,,
7528841,Rodenrijseweg,residential,30,False,True,85.459,,"LINESTRING (4.4703733 51.9877423, 4.4702 51.9871, 4.4701 51.987)",,,
7528831,Zilverschoonsingel,residential,30,False,False,66.908,,"LINESTRING (4.4706708 51.9880294, 4.4697484 51.9882279)",,,
7528831,Zilverschoonsingel,residential,30,False,False,86.924,,"LINESTRING (4.4697484 51.9882279, 4.4685503 51.9884862)",,,
7528831,Zilverschoonsingel,residential,30,False,True,66.908,,"LINESTRING (4.4697484 51.9882279, 4.4706708 51.9880294)",,,
7529004,Sleutelbloemstraat,residential,30,False,False,106.703,,"LINESTRING (4.4697484 51.9882279, 4.4702605 51.9891342)",,,
7528882,Pijlkruidpad,residential,30,False,False,55.342,,"LINESTRING (4.4705622 51.9885519, 4.4708176 51.9890241)",,,
7528831,Zilverschoonsingel,residential,30,False,False,61.841,,"LINESTRING (4.4685503 51.9884862, 4.4676976 51.9886694)",,,
7528831,Zilverschoonsingel,residential,30,False,True,86.924,,"LINESTRING (4.4685503 51.9884862, 4.4697484 51.9882279)",,,
7528906,Pinksterbloemlaan,residential,30,False,False,109.003,,"LINESTRING (4.4685503 51.9884862, 4.4690051 51.9890806, 4.4690419 51.9891304, 4.4691051 51.989216, 4.4692048 51.9893793)",,,
218651154,Sportlaan,unclassified,30,False,True,49.937,,"LINESTRING (4.4714795 51.9885823, 4.4721923 51.9884874)",,,
139789733,Rodenrijseweg,residential,30,False,False,57.188,,"LINESTRING (4.4714795 51.9885823, 4.4715639 51.9888557, 4.4716254 51.9890233, 4.4716511 51.9890855)",,,
139789733,Rodenrijseweg,residential,30,False,True,145.411,,"LINESTRING (4.4714795 51.9885823, 4.4713113 51.9880515, 4.4710728 51.9872988)",,,
