osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,bridge,tunnel
7409222,Havenstraat,residential,30,False,False,17.198,"LINESTRING (4.6221419 52.3483716, 4.6218966 52.3484099)",,,,
7409234,Jacob van Campenstraat,residential,30,False,False,78.032,"LINESTRING (4.6221419 52.3483716, 4.6224532 52.3490471)",,,,
7409222,Havenstraat,residential,30,False,True,17.198,"LINESTRING (4.6218966 52.3484099, 4.6221419 52.3483716)",,,,
7409264,Havenstraat,residential,30,False,False,74.625,"LINESTRING (4.6218966 52.3484099, 4.6208455 52.3486052)",,,,
7409588,Utrechtlaan,residential,30,False,False,116.251,"LINESTRING (4.61846 52.3484, 4.6186619 52.3487744, 4.6186923 52.348832, 4.6187103 52.348866, 4.6188673 52.3491628, 4.6189899 52.3493941)",,,,
7409622,Overijssellaan,residential,30,False,False,63.67099999999999,"LINESTRING (4.61846 52.3484, 4.6179819 52.348489, 4.6178163 52.3485198, 4.6176779 52.3485469, 4.6175651 52.3485703)",,,,
7409558,W. Denijslaan,unclassified,50,False,False,73.566,"LINESTRING (4.61624 52.34856, 4.6152054 52.3487557)",,,,
7409573,Provinciënlaan,tertiary,50,False,False,28.005,"LINESTRING (4.61624 52.34856, 4.61629 52.34881)",,,,
7409264,Havenstraat,residential,30,False,True,74.625,"LINESTRING (4.6208455 52.3486052, 4.6218966 52.3484099)",,,,
7409468,Raadhuisstraat,tertiary,30,False,False,132.40200000000002,"LINESTRING (4.6208455 52.3486052, 4.6210416 52.3490817, 4.6211658 52.349402, 4.6211801 52.3494395, 4.6211876 52.3494715, 4.6212533 52.3497682)",,,,
7409562,Overijssellaan,residential,30,False,False,48.072,"LINESTRING (4.6169677 52.3486854, 4.61629 52.34881)",,,,
7409622,Overijssellaan,residential,30,False,True,42.552,"LINESTRING (4.6169677 52.3486854, 4.6171204 52.3486536, 4.6175651 52.3485703)",,,,
7409657,Frieslandlaan,residential,30,False,False,120.30300000000001,"LINESTRING (4.6169677 52.3486854, 4.6172251 52.3491915, 4.6173482 52.349449, 4.6174892 52.3497193)",,,,
