osmid,oneway,ref,highway,maxspeed,junction,reversed,length,geometry,name,bridge,lanes
28334877,True,N208,primary,50,roundabout,False,8.217,"LINESTRING (4.5455796 52.2502562, 4.5456023 52.2502766, 4.5456188 52.250299, 4.5456286 52.2503229)",,,
57395530,True,,residential,,,False,60.862,"LINESTRING (4.5455796 52.2502562, 4.5456913 52.2502287, 4.5457768 52.2502114, 4.5460116 52.2501637, 4.5464433 52.2501254)",Vennestraat,,
"[7417048, 7417044, 7417020]",False,N208,primary,50,,False,194.09099999999998,"LINESTRING (4.5469702 52.2523366, 4.5470427 52.2524261, 4.5478 52.2534, 4.54793 52.25368, 4.5479451 52.2537686, 4.547955 52.2538268, 4.5479548 52.2539551)",Heereweg,yes,
388064527,True,N208,primary,50,,False,231.252,"LINESTRING (4.5469702 52.2523366, 4.5465748 52.2518713, 4.5464061 52.2516834, 4.5458383 52.2509763, 4.5455323 52.2505952, 4.5454278 52.2504841)",Heereweg,,
"[58926585, 327961147]",False,,residential,,,True,46.739000000000004,"LINESTRING (4.5481381 52.2536112, 4.5483656 52.2538141, 4.5484115 52.2538847, 4.5484065 52.2539221, 4.5483782 52.2539803)",Heereweg,,
"[7417048, 7417020, 7417044]",False,N208,primary,50,,True,194.091,"LINESTRING (4.5479548 52.2539551, 4.547955 52.2538268, 4.5479451 52.2537686, 4.54793 52.25368, 4.5478 52.2534, 4.5470427 52.2524261, 4.5469702 52.2523366)",Heereweg,yes,
7417054,False,N208,primary,60,,False,151.98999999999998,"LINESTRING (4.5479548 52.2539551, 4.5479372 52.2540792, 4.5478949 52.254163, 4.5476524 52.2545264, 4.547425 52.2548107, 4.5471093 52.2552121)",Westelijke Randweg,,
50900800,False,,secondary,50,,False,28.957,"LINESTRING (4.5479548 52.2539551, 4.548173 52.2539681, 4.5483782 52.2539803)",Heereweg,,
50900800,False,,secondary,50,,True,28.957,"LINESTRING (4.5483782 52.2539803, 4.548173 52.2539681, 4.5479548 52.2539551)",Heereweg,,
"[58926585, 327961147]",False,,residential,,,False,46.739000000000004,"LINESTRING (4.5483782 52.2539803, 4.5484065 52.2539221, 4.5484115 52.2538847, 4.5483656 52.2538141, 4.5481381 52.2536112)",Heereweg,,
7417054,False,N208,primary,60,,True,151.99,"LINESTRING (4.5471093 52.2552121, 4.547425 52.2548107, 4.5476524 52.2545264, 4.5478949 52.254163, 4.5479372 52.2540792, 4.5479548 52.2539551)",Westelijke Randweg,,
"[1257221232, 1257221231]",True,N208,primary,60,,False,178.792,"LINESTRING (4.5471093 52.2552121, 4.5469857 52.2553828, 4.546737 52.2556941, 4.5464947 52.2560106, 4.5463649 52.2562424, 4.5462914 52.2564887, 4.546264 52.2567178)",Westelijke Randweg,,"['1', '2']"
166293225,False,,residential,60,,False,58.495000000000005,"LINESTRING (4.5458306 52.2567794, 4.5455717 52.256883, 4.5452972 52.2570743, 4.545241 52.2570923, 4.5451713 52.2570996)",Spekkelaan,,1
166293227,True,N208,primary,60,,False,180.111,"LINESTRING (4.5461171 52.2566848, 4.5461169 52.2566151, 4.5461457 52.2564634, 4.5462231 52.2562265, 4.5463669 52.2559895, 4.5464598 52.2558514, 4.5466434 52.2556578, 4.5469641 52.2553301, 4.5471093 52.2552121)",Westelijke Randweg,,1
1108022355,True,,residential,60,,False,23.006,"LINESTRING (4.5461171 52.2566848, 4.5459339 52.2567139, 4.5458306 52.2567794)",Spekkelaan,,1
