osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,name,bridge,tunnel,lanes
6929274,secondary,50,roundabout,True,False,17.772,"LINESTRING (5.430871 51.8830224, 5.430917 51.8830352, 5.4309541 51.8830564, 5.4309793 51.8830849, 5.430988 51.883117, 5.4309791 51.883149)",,,,
6929274,secondary,50,roundabout,True,False,16.698999999999998,"LINESTRING (5.4306778 51.8830884, 5.4306977 51.8830625, 5.4307289 51.8830412, 5.4307722 51.8830256, 5.4308212 51.8830191, 5.430871 51.8830224)",,,,
6929267,secondary,50,,False,False,229.97,"LINESTRING (5.4309791 51.883149, 5.431079 51.8831694, 5.43137 51.88323, 5.43172 51.88329, 5.4335713 51.883556, 5.4342279 51.8836504)",Nieuwe Tielseweg,,,
701941268,secondary,50,roundabout,True,False,15.561,"LINESTRING (5.4309791 51.883149, 5.4309512 51.8831794, 5.4309077 51.8832019, 5.4308542 51.8832134, 5.4307975 51.8832126)",,,,
"[374463520, 52529707, 6929251]",residential,"['50', '30']",,False,False,84.113,"LINESTRING (5.4307975 51.8832126, 5.4307922 51.8832268, 5.4307767 51.8832683, 5.4307152 51.8834327, 5.4307084 51.8834701, 5.43062 51.88396)",Brugstraat,,,
701941268,secondary,50,roundabout,True,False,17.948,"LINESTRING (5.4307975 51.8832126, 5.4307376 51.8831965, 5.4306933 51.8831668, 5.4306722 51.8831286, 5.4306778 51.8830884)",,,,
6929114,residential,30,,False,False,55.784,"LINESTRING (5.4314336 51.8835555, 5.4314146 51.8837808, 5.4315079 51.8840508)",Adamsweg,,,
6928938,residential,30,,False,False,10.929,"LINESTRING (5.4342279 51.8836504, 5.4341639 51.8837404)",Sterrebos,,,
6929267,secondary,50,,False,True,229.97,"LINESTRING (5.4342279 51.8836504, 5.4335713 51.883556, 5.43172 51.88329, 5.43137 51.88323, 5.431079 51.8831694, 5.4309791 51.883149)",Nieuwe Tielseweg,,,
145044962,secondary,50,,False,True,148.142,"LINESTRING (5.4342279 51.8836504, 5.4344977 51.8836902, 5.4362361 51.8839527, 5.4362681 51.8839575, 5.4363248 51.8839661)",Nieuwe Tielseweg,,,
6929292,residential,30,,False,False,104.5,"LINESTRING (5.43062 51.88396, 5.4306593 51.8841724, 5.4307617 51.884366, 5.43108 51.88485)",Brugstraat,,,
"[374463520, 52529707, 6929251]",residential,"['30', '50']",,False,True,84.11300000000001,"LINESTRING (5.43062 51.88396, 5.4307084 51.8834701, 5.4307152 51.8834327, 5.4307767 51.8832683, 5.4307922 51.8832268, 5.4307975 51.8832126)",Brugstraat,,,
6929173,residential,30,,False,True,84.567,"LINESTRING (5.4315079 51.8840508, 5.4327397 51.8840338)",Sterrebos,,,
