osmid,oneway,lanes,name,highway,maxspeed,reversed,length,tunnel,geometry,width,bridge,junction
532064929,True,1,Industriestraat,secondary,50,False,7.641,,"LINESTRING (6.7920789 52.2614787, 6.7921451 52.2615342)",,,
230163944,True,,Industrieplein,secondary,50,False,7.07,,"LINESTRING (6.7921451 52.2615342, 6.7920477 52.2615563)",,,
"[6671225, 6671250, 190592700]",True,2,Spoorstraat,secondary,50,False,97.23899999999999,yes,"LINESTRING (6.7921451 52.2615342, 6.7921674 52.2615551, 6.7921784 52.261568, 6.7921877 52.2615818, 6.7921958 52.2615981, 6.7922027 52.2616159, 6.7923971 52.2621694, 6.792405 52.2621931, 6.7924163 52.2622378, 6.7924209 52.2622696, 6.7924209 52.2622858, 6.7924189 52.2623021, 6.7924158 52.2623148, 6.7924108 52.2623307, 6.7923985 52.2623593, 6.7923835 52.2623837)",,,
"[6670848, 6670817, 47638146, 6670640, 6671165, 6671198]",False,"['1', '2']",Emmaweg,unclassified,30,False,200.01999999999998,,"LINESTRING (6.7870456 52.261573, 6.7870621 52.2616407, 6.7871352 52.2619615, 6.7871611 52.2620749, 6.7872037 52.2622834, 6.7872367 52.2623757, 6.7872506 52.2624148, 6.7873019 52.2625844, 6.7873447 52.2627075, 6.7873699 52.26282, 6.7874271 52.2632717, 6.7874661 52.2633091, 6.7875176 52.2633304)",5,,
789856874,False,,Prins Bernhardplantsoen,residential,50,True,8.664,,"LINESTRING (6.7956766 52.2621541, 6.7957803 52.2621089)",,,
"[6670641, 6671196, 175500065]",False,,"['Beursstraat', 'Prins Bernhardplantsoen']",unclassified,50,False,148.732,,"LINESTRING (6.7956766 52.2621541, 6.795429 52.2622629, 6.7954146 52.262271, 6.795404 52.2622781, 6.7953874 52.2622908, 6.7953707 52.2623076, 6.795358 52.2623235, 6.7953483 52.262345, 6.7953424 52.262367, 6.7953415 52.2623887, 6.7953462 52.2624102, 6.7953528 52.2624267, 6.7953634 52.2624447, 6.7953765 52.2624612, 6.7953965 52.2624812, 6.7957032 52.2627379, 6.7958575 52.262867, 6.7962751 52.2632152)",,,
175500069,True,,Stationsplein,busway,30,False,9.801,,"LINESTRING (6.7956766 52.2621541, 6.7956382 52.2621219, 6.7955671 52.262101)",,,
230163957,False,,Stationsplein,busway,50,False,8.675,,"LINESTRING (6.7923835 52.2623837, 6.7922657 52.2623539)",,,
"[864420897, 6670851, 6670852, 6670853]",False,2,Stationsplein,busway,"['50', '30']","[False, True]",137.674,,"LINESTRING (6.7923835 52.2623837, 6.7925064 52.2624159, 6.7925749 52.262434, 6.792645 52.2624527, 6.7927155 52.262466, 6.7927898 52.2624761, 6.7928666 52.2624837, 6.7929349 52.2624878, 6.7930051 52.2624884, 6.79306 52.2624858, 6.7931067 52.2624816, 6.7931677 52.2624737, 6.7940153 52.2623657, 6.7940612 52.2623598, 6.7942824 52.2623295, 6.7942988 52.2623267, 6.7943147 52.2623231, 6.7943296 52.2623188, 6.7943444 52.2623134)",,,
"[6670954, 6670996, 6670981]",True,,"['Marskant', 'Spoorstraat']",secondary,50,False,288.863,,"LINESTRING (6.7923835 52.2623837, 6.7923482 52.262417, 6.7922921 52.2624569, 6.7922327 52.2624895, 6.7921733 52.2625139, 6.7921211 52.2625288, 6.7920944 52.2625345, 6.79146 52.2626322, 6.7914056 52.2626433, 6.7913591 52.2626573, 6.7913241 52.2626751, 6.7912994 52.2626925, 6.7912856 52.2627098, 6.7912739 52.2627295, 6.791262 52.262755, 6.7912551 52.2627749, 6.7912518 52.2627914, 6.7912517 52.2628107, 6.7913427 52.2632893, 6.7913491 52.2633459, 6.7913482 52.2633788, 6.7913359 52.2634099, 6.7913202 52.2634392, 6.7912972 52.2634665, 6.7912635 52.263489, 6.7912353 52.2635063, 6.7911843 52.2635279, 6.7908079 52.2636503, 6.7901405 52.2638668, 6.790076 52.2638923, 6.7900236 52.2639191, 6.7899663 52.2639516, 6.7898518 52.264025)",,,
