osmid,name,highway,maxspeed,oneway,reversed,length,geometry,access
"[6915995, 6916382]",Ruffelsdijk,residential,30,False,False,157.616,"LINESTRING (5.6916234 51.8180233, 5.6919546 51.8179417, 5.6923301 51.8178657, 5.6925339 51.817836, 5.6927136 51.8178212, 5.69287 51.8178337, 5.6929905 51.8178699, 5.693047 51.8179002, 5.6930865 51.8179503, 5.6931976 51.818125, 5.6933355 51.8181931, 5.69345 51.8183048)",
721167872,Groenestraat,unclassified,60,False,False,148.116,"LINESTRING (5.6910166 51.8182812, 5.6906893 51.8189372, 5.6906399 51.8190034, 5.6905775 51.8190519, 5.6905073 51.8190919, 5.6904363 51.8191211, 5.6902802 51.8191667, 5.6902005 51.8191956, 5.6901331 51.8192355, 5.6900703 51.8193049, 5.690014 51.8193964)",
6916395,Leurseweg,unclassified,30,False,False,8.747,"LINESTRING (5.69345 51.8183048, 5.6933781 51.8183697)",
1000749837,Leurseweg,unclassified,30,False,True,14.599,"LINESTRING (5.69345 51.8183048, 5.6935667 51.8181951)",
"[6915995, 6916382]",Ruffelsdijk,residential,30,False,True,157.616,"LINESTRING (5.69345 51.8183048, 5.6933355 51.8181931, 5.6931976 51.818125, 5.6930865 51.8179503, 5.693047 51.8179002, 5.6929905 51.8178699, 5.69287 51.8178337, 5.6927136 51.8178212, 5.6925339 51.817836, 5.6923301 51.8178657, 5.6919546 51.8179417, 5.6916234 51.8180233)",
6916396,Hernenseweg,unclassified,60,False,False,37.363,"LINESTRING (5.690014 51.8193964, 5.6902671 51.8194613, 5.6905149 51.8195269)",
721167872,Groenestraat,unclassified,60,False,True,148.11599999999999,"LINESTRING (5.690014 51.8193964, 5.6900703 51.8193049, 5.6901331 51.8192355, 5.6902005 51.8191956, 5.6902802 51.8191667, 5.6904363 51.8191211, 5.6905073 51.8190919, 5.6905775 51.8190519, 5.6906399 51.8190034, 5.6906893 51.8189372, 5.6910166 51.8182812)",
6916406,Leurseweg,unclassified,60,False,False,56.779,"LINESTRING (5.6905149 51.8195269, 5.6912622 51.8197445)",
6916396,Hernenseweg,unclassified,60,False,True,37.363,"LINESTRING (5.6905149 51.8195269, 5.6902671 51.8194613, 5.690014 51.8193964)",
6916406,Leurseweg,unclassified,60,False,True,56.779,"LINESTRING (5.6912622 51.8197445, 5.6905149 51.8195269)",
"[437470145, 6916395, 6916405]",Leurseweg,unclassified,"['60', '30']",False,True,231.037,"LINESTRING (5.6912622 51.8197445, 5.6914921 51.819783, 5.6916395 51.8197862, 5.6917971 51.8197575, 5.6919529 51.8197037, 5.6921793 51.819559, 5.6924415 51.8193253, 5.6925711 51.8191546, 5.6926693 51.8189542, 5.6928083 51.8187463, 5.6929427 51.8186275, 5.6930807 51.818535, 5.6933046 51.8184229, 5.6933781 51.8183697)",
"[81126448, 437464334]",Leurseweg,unclassified,"['60', '30']",False,False,220.71400000000003,"LINESTRING (5.6965193 51.817525, 5.6955456 51.8176668, 5.6947 51.81779, 5.69414 51.81791, 5.6937834 51.8180372, 5.6936489 51.8181158, 5.6935667 51.8181951)",
437464335,,unclassified,,False,True,144.98399999999998,"LINESTRING (5.6965193 51.817525, 5.6967678 51.8181685, 5.6969083 51.8185279, 5.6969579 51.8186625, 5.6969709 51.8186821, 5.6970406 51.8187869)",permissive
437464335,,unclassified,,False,False,144.98399999999998,"LINESTRING (5.6970406 51.8187869, 5.6969709 51.8186821, 5.6969579 51.8186625, 5.6969083 51.8185279, 5.6967678 51.8181685, 5.6965193 51.817525)",permissive
6916381,Van Balverenlaan,unclassified,30,False,True,23.079,"LINESTRING (5.6936748 51.8183916, 5.6935667 51.8181951)",
437470137,Van Balverenlaan,unclassified,30,False,True,20.539,"LINESTRING (5.6936748 51.8183916, 5.6933781 51.8183697)",
6916395,Leurseweg,unclassified,30,False,True,8.747,"LINESTRING (5.6933781 51.8183697, 5.69345 51.8183048)",
437470137,Van Balverenlaan,unclassified,30,False,False,20.539,"LINESTRING (5.6933781 51.8183697, 5.6936748 51.8183916)",
"[437470145, 6916395, 6916405]",Leurseweg,unclassified,"['60', '30']",False,False,231.03700000000003,"LINESTRING (5.6933781 51.8183697, 5.6933046 51.8184229, 5.6930807 51.818535, 5.6929427 51.8186275, 5.6928083 51.8187463, 5.6926693 51.8189542, 5.6925711 51.8191546, 5.6924415 51.8193253, 5.6921793 51.819559, 5.6919529 51.8197037, 5.6917971 51.8197575, 5.6916395 51.8197862, 5.6914921 51.819783, 5.6912622 51.8197445)",
6916381,Van Balverenlaan,unclassified,30,False,False,23.079,"LINESTRING (5.6935667 51.8181951, 5.6936748 51.8183916)",
1000749837,Leurseweg,unclassified,30,False,False,14.599,"LINESTRING (5.6935667 51.8181951, 5.69345 51.8183048)",
"[81126448, 437464334]",Leurseweg,unclassified,"['60', '30']",False,True,220.714,"LINESTRING (5.6935667 51.8181951, 5.6936489 51.8181158, 5.6937834 51.8180372, 5.69414 51.81791, 5.6947 51.81779, 5.6955456 51.8176668, 5.6965193 51.817525)",
