osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,lanes,width
7449564,Wielmakersteeg,residential,False,True,5.212,"LINESTRING (4.4968719 52.1552822, 4.4968505 52.1552372)",,,,
7449531,Wielmakersteeg,residential,False,False,51.961999999999996,"LINESTRING (4.4968719 52.1552822, 4.4969229 52.1553973, 4.4970946 52.155729)",,,,
7449560,Spilsteeg,residential,False,False,78.267,"LINESTRING (4.4968719 52.1552822, 4.4970066 52.1552536, 4.4971344 52.155282, 4.498003 52.1552708)",30,,,
7449561,Kraaierstraat,residential,True,False,3.494,"LINESTRING (4.498003 52.1552708, 4.4980011 52.1552394)",30,,,
7449560,Spilsteeg,residential,False,True,78.26700000000001,"LINESTRING (4.498003 52.1552708, 4.4971344 52.155282, 4.4970066 52.1552536, 4.4968719 52.1552822)",30,,,
7451218,5e Binnenvestgracht,residential,False,False,81.306,"LINESTRING (4.4848458 52.155443, 4.4846072 52.1561594)",,,,
7451150,Zegersteeg,residential,False,False,51.46,"LINESTRING (4.4848458 52.155443, 4.4851133 52.1554707, 4.4851882 52.1554785, 4.4855932 52.1555036)",,,,
7451218,5e Binnenvestgracht,residential,False,True,47.20099999999999,"LINESTRING (4.4848458 52.155443, 4.4849697 52.1551104, 4.4850578 52.155047)",,,,
7451150,Zegersteeg,residential,False,True,51.46000000000001,"LINESTRING (4.4855932 52.1555036, 4.4851882 52.1554785, 4.4851133 52.1554707, 4.4848458 52.155443)",,,,
"[518357879, 30886343]",Cananefatenpoort,residential,False,False,82.011,"LINESTRING (4.4956908 52.1554312, 4.495717 52.1554266, 4.4959485 52.1553857, 4.4962503 52.1553324, 4.4968505 52.1552372)",,,,
460400557,Kaardesteeg,residential,False,False,8.032,"LINESTRING (4.4946967 52.1554825, 4.4948141 52.155488)",,,,
868412873,Levendaal,residential,True,False,10.486,"LINESTRING (4.493679 52.1550971, 4.4935405 52.155138)",30,,,
387701637,Korevaarstraat,residential,True,False,53.5,"LINESTRING (4.493679 52.1550971, 4.4935994 52.1553299, 4.4935181 52.155568)",30,,,
"[410929446, 410929448, 7451134]",Doezastraat,residential,False,False,27.927,"LINESTRING (4.4891512 52.1556593, 4.4891485 52.1557086, 4.4891438 52.1558581, 4.4891386 52.1559103)","['15', '30']",yes,,
7449499,Barbarasteeg,residential,False,False,71.439,"LINESTRING (4.4936642 52.1555775, 4.4937578 52.1558508, 4.4938256 52.1560269, 4.4939063 52.1562023)",,,,
7449537,Kaardesteeg,residential,True,False,71.326,"LINESTRING (4.4936642 52.1555775, 4.4940129 52.1555448, 4.4945576 52.1554861, 4.4946502 52.1554803, 4.4946967 52.1554825)",30,,,
7449534,Hogewoerd,residential,True,False,63.353,"LINESTRING (4.4980071 52.1556232, 4.4970946 52.155729)",30,,,
7449535,Kraaierstraat,residential,True,False,39.186,"LINESTRING (4.4980071 52.1556232, 4.498003 52.1552708)",30,,,
