osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,width,bridge,junction
129481650,True,Valkenboskade,residential,30,False,51.554,"LINESTRING (4.274017 52.0704628, 4.2736176 52.0708561)",,,,,
7491164,True,Rhododendronstraat,residential,30,False,53.142,"LINESTRING (4.2712151 52.0705652, 4.2719054 52.0707851)",,,,,
370228186,True,Meidoornstraat,residential,30,False,59.308,"LINESTRING (4.2719054 52.0707851, 4.2715613 52.0711987, 4.2715193 52.0712625)",,,,,
129481650,True,Valkenboskade,residential,30,False,52.172,"LINESTRING (4.2736176 52.0708561, 4.2732289 52.0712599)",,,,,
"[1104945400, 7494361]",True,Halleystraat,residential,,False,136.136,"LINESTRING (4.2736176 52.0708561, 4.2753318 52.0713924, 4.2753999 52.0713956)",,,,,
7494389,False,Cartesiusstraat,residential,,False,11.769,"LINESTRING (4.275435 52.0709045, 4.2755846 52.0709569)",,,,,
7494362,True,Cartesiusstraat,residential,,False,108.657,"LINESTRING (4.275435 52.0709045, 4.2753612 52.0708798, 4.274017 52.0704628)",,,,,
7496347,False,Vlierboomstraat,residential,30,False,49.411,"LINESTRING (4.2626355 52.0710346, 4.2628471 52.0711169, 4.2632464 52.0712722)",,,,,
7496667,True,Boksdoornstraat,residential,30,False,51.989000000000004,"LINESTRING (4.2697441 52.0710616, 4.2695262 52.0712871, 4.2693557 52.0714636)",,,,,
129510037,True,Mient,residential,30,False,179.115,"LINESTRING (4.2697441 52.0710616, 4.2719807 52.0717633, 4.2720778 52.0717944)",,,,,
7496347,False,Vlierboomstraat,residential,30,True,6.828,"LINESTRING (4.2633332 52.0713026, 4.2632464 52.0712722)",,,,,
7496383,False,Vlierboomstraat,residential,,False,63.11,"LINESTRING (4.2633332 52.0713026, 4.2641317 52.0715876)",,,,,
129481557,True,Laan van Eik en Duinen,residential,50,False,153.969,"LINESTRING (4.2633332 52.0713026, 4.2632997 52.0713615, 4.2625514 52.0726012)",,,,,
7496345,True,Weigeliaplein,living_street,15,False,47.222,"LINESTRING (4.2659 52.0713, 4.2662285 52.0709264)",,,,,
7496417,False,Weigeliaplein,living_street,15,False,83.384,"LINESTRING (4.2659 52.0713, 4.2653 52.0711, 4.2650277 52.0713848)",,,,,
7496426,False,Weigeliaplein,living_street,15,False,164.659,"LINESTRING (4.2659 52.0713, 4.266974 52.0716886, 4.2669571 52.0717071, 4.2667273 52.0719593, 4.2667092 52.0719792, 4.266173 52.0717867)",1,,,,
