osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,ref,tunnel
"[6879465, 554042431]",False,1,Beekstraat,residential,30,False,101.491,"LINESTRING (5.9123046 51.9798407, 5.9122888 51.9798698, 5.9122557 51.9799248, 5.9119736 51.9803895, 5.9119613 51.9804133, 5.9119468 51.9804405, 5.9117778 51.9806936)",,,
6878542,False,,Rietgrachtstraat,residential,30,False,50.584,"LINESTRING (5.9180383 51.9797883, 5.9180321 51.9802432)",,,
6878518,False,,Rietgrachtstraat,residential,30,False,49.257999999999996,"LINESTRING (5.9180383 51.9797883, 5.9179507 51.9798112, 5.9178907 51.9798656, 5.9178879 51.9801842)",,,
6878519,False,,Dijkstraat,residential,30,False,11.857,"LINESTRING (5.9178879 51.9801842, 5.9180321 51.9802432)",,,
6878518,False,,Rietgrachtstraat,residential,30,True,49.258,"LINESTRING (5.9178879 51.9801842, 5.9178907 51.9798656, 5.9179507 51.9798112, 5.9180383 51.9797883)",,,
6878519,False,,Dijkstraat,residential,30,True,11.857,"LINESTRING (5.9180321 51.9802432, 5.9178879 51.9801842)",,,
6878542,False,,Rietgrachtstraat,residential,30,True,50.584,"LINESTRING (5.9180321 51.9802432, 5.9180383 51.9797883)",,,
6878454,False,,Koningsplein,residential,30,False,35.248,"LINESTRING (5.9135061 51.9802718, 5.913609 51.9802904, 5.9138208 51.9803343, 5.9139957 51.9803694)",,,
6879599,False,,Koningsplein,residential,30,False,118.05600000000001,"LINESTRING (5.9135061 51.9802718, 5.9133898 51.980247, 5.91331 51.98023, 5.9132526 51.9802306, 5.9132058 51.9802509, 5.9130645 51.9805384, 5.9128584 51.980762, 5.9126133 51.9810279)",,,
184171904,False,,Eusebiusbuitensingel,residential,30,False,16.705,"LINESTRING (5.9156296 51.9802759, 5.9158712 51.9802965)",,,
"[6878443, 45063317]",True,2,Eusebiusbuitensingel,primary,50,False,195.588,"LINESTRING (5.9156296 51.9802759, 5.9155943 51.9805984, 5.9155901 51.9806709, 5.9155877 51.9807136, 5.9155049 51.980999, 5.9154713 51.981122, 5.9153925 51.981279, 5.9150962 51.9818743, 5.91507 51.9819288, 5.9150349 51.9819869)",,,
6878454,False,,Koningsplein,residential,30,True,35.248,"LINESTRING (5.9139957 51.9803694, 5.9138208 51.9803343, 5.913609 51.9802904, 5.9135061 51.9802718)",,,
144114364,False,,Koningsplein,residential,50,False,13.433,"LINESTRING (5.9139957 51.9803694, 5.9140848 51.9803845, 5.9141859 51.9803988)",,,
6879609,False,,Kromme Elleboogsteeg,residential,30,False,41.224000000000004,"LINESTRING (5.9112347 51.9805429, 5.9117 51.98065, 5.9117778 51.9806936)",,,
6879602,False,,St. Catharinaplaats,residential,30,False,69.257,"LINESTRING (5.9117778 51.9806936, 5.9118241 51.9807484, 5.9118837 51.9807742, 5.911924 51.9807916, 5.9121197 51.9808587, 5.9122533 51.9809045, 5.9124425 51.9809693, 5.9126133 51.9810279)",,,
6879609,False,,Kromme Elleboogsteeg,residential,30,True,41.224000000000004,"LINESTRING (5.9117778 51.9806936, 5.9117 51.98065, 5.9112347 51.9805429)",,,
"[6879465, 554042431]",False,1,Beekstraat,residential,30,True,101.49100000000001,"LINESTRING (5.9117778 51.9806936, 5.9119468 51.9804405, 5.9119613 51.9804133, 5.9119736 51.9803895, 5.9122557 51.9799248, 5.9122888 51.9798698, 5.9123046 51.9798407)",,,
6878274,False,,Parkstraat,residential,30,False,48.443,"LINESTRING (5.9160447 51.9807307, 5.916723 51.9808542)",,,
"[6878274, 6878554]",False,,"['Eusebiusbuitensingel', 'Parkstraat']",residential,30,True,63.635000000000005,"LINESTRING (5.9160447 51.9807307, 5.9159299 51.9807073, 5.9157613 51.9806786, 5.9157526 51.9806498, 5.9158712 51.9802965)",,,
6878555,True,,Singelstraat,residential,30,False,143.297,"LINESTRING (5.9160447 51.9807307, 5.9160798 51.9806657, 5.9161615 51.9806252, 5.9163809 51.980582, 5.9175055 51.9802653, 5.917665 51.9802204, 5.9177707 51.9801906, 5.9178879 51.9801842)",,,
144114364,False,,Koningsplein,residential,50,True,13.433,"LINESTRING (5.9141859 51.9803988, 5.9140848 51.9803845, 5.9139957 51.9803694)",,,
6878274,False,,Parkstraat,residential,30,False,52.28,"LINESTRING (5.916723 51.9808542, 5.9174564 51.9809846)",,,
6878274,False,,Parkstraat,residential,30,True,48.443,"LINESTRING (5.916723 51.9808542, 5.9160447 51.9807307)",,,
6878269,False,,Blekerstraat,residential,30,False,71.15,"LINESTRING (5.916723 51.9808542, 5.9166451 51.9809933, 5.9165709 51.9810237, 5.9164944 51.9811756, 5.9164427 51.9812131, 5.9163959 51.981266, 5.9163091 51.9814267)",,,
6878274,False,,Parkstraat,residential,30,True,52.28,"LINESTRING (5.9174564 51.9809846, 5.916723 51.9808542)",,,
6880015,False,,Koningsplein,residential,30,False,17.378,"LINESTRING (5.9126133 51.9810279, 5.9128298 51.9811094)",,,
