osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,lanes,tunnel
7469041,Houtwerf,residential,30,False,False,88.092,"LINESTRING (4.3995516 52.0817099, 4.4002664 52.0823692)",,,
7468921,Maalderijstraat,residential,30,False,False,30.07,"LINESTRING (4.3995516 52.0817099, 4.3992616 52.0817849, 4.3991465 52.0818155)",,,
7468921,Maalderijstraat,residential,30,False,False,67.459,"LINESTRING (4.3991465 52.0818155, 4.3985902 52.0819771, 4.3982537 52.0820744)",,,
7468921,Maalderijstraat,residential,30,False,True,30.07,"LINESTRING (4.3991465 52.0818155, 4.3992616 52.0817849, 4.3995516 52.0817099)",,,
139610101,Zaagmolenstraat,residential,30,False,False,16.959,"LINESTRING (4.3980903 52.0819596, 4.3982537 52.0820744)",,,
139610101,Zaagmolenstraat,residential,30,False,True,14.536,"LINESTRING (4.3980903 52.0819596, 4.3979486 52.0818621)",,,
139610095,Rijnlandstraat,residential,30,True,False,151.25400000000002,"LINESTRING (4.3980903 52.0819596, 4.3979658 52.0820304, 4.3970426 52.082555, 4.3966663 52.0827693, 4.3964657 52.0828835)",,,
7470260,Gerrit Jan van der Veenstraat,living_street,15,False,False,144.00500000000002,"LINESTRING (4.3889473 52.0820907, 4.3899505 52.08254, 4.389526 52.0829184, 4.389502 52.0829895)",,,
7470260,Gerrit Jan van der Veenstraat,living_street,15,False,True,79.598,"LINESTRING (4.3889473 52.0820907, 4.3886927 52.0823211, 4.3884211 52.0825631, 4.3886138 52.0826439)",,,
361806724,Gerrit Jan van der Veenstraat,living_street,15,False,False,48.153999999999996,"LINESTRING (4.3889473 52.0820907, 4.3889278 52.0820331, 4.3890646 52.0819046, 4.3887668 52.0817813)",,,
139610101,Zaagmolenstraat,residential,30,False,True,16.959,"LINESTRING (4.3982537 52.0820744, 4.3980903 52.0819596)",,,
7468921,Maalderijstraat,residential,30,False,True,67.459,"LINESTRING (4.3982537 52.0820744, 4.3985902 52.0819771, 4.3991465 52.0818155)",,,
"[776526246, 7468942, 776526247]",Zaagmolenstraat,residential,30,False,False,101.083,"LINESTRING (4.3982537 52.0820744, 4.3986126 52.0824297, 4.3989101 52.0827241, 4.3990197 52.0828315, 4.3990389 52.0828445)",yes,,
86952062,Zijdestraat,residential,30,True,False,15.274,"LINESTRING (4.3938517 52.0824396, 4.3938334 52.0825765)",,,
7468913,Plaspoelstraat,residential,30,True,False,87.465,"LINESTRING (4.3938517 52.0824396, 4.3942124 52.0822251, 4.3943199 52.0821623, 4.3945116 52.0820503, 4.3947069 52.0819362, 4.3947382 52.0818806)",,,
"[7468940, 86947877]",Zijdestraat,residential,30,True,False,53.479000000000006,"LINESTRING (4.3938517 52.0824396, 4.3939174 52.0824993, 4.394229 52.0827276, 4.3941853 52.0828352)",,,
7469041,Houtwerf,residential,30,False,True,88.092,"LINESTRING (4.4002664 52.0823692, 4.3995516 52.0817099)",,,
488852883,Schoorlaan,residential,30,False,True,25.299,"LINESTRING (4.4002664 52.0823692, 4.4005788 52.0822471)",,,
7468932,Schoorlaan,residential,30,True,False,99.35,"LINESTRING (4.4002664 52.0823692, 4.3999609 52.0824938, 4.3998055 52.0825543, 4.3997474 52.082572, 4.3997158 52.0825768, 4.3996353 52.0826001, 4.3994022 52.0826986, 4.3991334 52.0828045, 4.3990389 52.0828445)",,,
