osmid,oneway,highway,reversed,length,geometry,lanes
453104953,True,primary,False,9.477,"LINESTRING (43.1222747 36.4945833, 43.1222272 36.4946595)",
11177337,True,secondary,False,26.166,"LINESTRING (43.1228465 36.4882134, 43.1231188 36.4882997)",
223429824,True,secondary,False,23.17,"LINESTRING (43.1228465 36.4882134, 43.1229081 36.4881499, 43.1229522 36.4880975, 43.122989 36.4880401)",
223429695,True,primary,False,34.843,"LINESTRING (43.116892 36.490024, 43.1168545 36.4903359)",
453103809,False,residential,True,101.482,"LINESTRING (43.116892 36.490024, 43.1179818 36.4902795)",
11177337,True,secondary,False,113.023,"LINESTRING (43.1239201 36.4917581, 43.1233831 36.4926783)",
520133346,False,residential,True,75.045,"LINESTRING (43.1239201 36.4917581, 43.1247029 36.4920019)",
11177337,True,secondary,False,95.408,"LINESTRING (43.1173457 36.4872492, 43.1183787 36.4874647)",
223429695,True,primary,False,14.142,"LINESTRING (43.1173457 36.4872492, 43.1173242 36.4873752)",
223429695,True,primary,False,26.947,"LINESTRING (43.116752 36.4914608, 43.1167988 36.4917002)",
"[453103836, 520133333]",False,residential,True,105.424,"LINESTRING (43.116752 36.4914608, 43.1177887 36.4913383, 43.1177887 36.4912326)",
453103817,False,primary_link,False,9.671,"LINESTRING (43.116724 36.4919041, 43.1168301 36.4918871)",
223429697,True,primary,False,69.74,"LINESTRING (43.116724 36.4919041, 43.1166579 36.4915078, 43.1166528 36.4912805)",
453103817,False,primary_link,True,9.671,"LINESTRING (43.1168301 36.4918871, 43.116724 36.4919041)",
223429695,True,primary,False,190.903,"LINESTRING (43.1168301 36.4918871, 43.1169149 36.4922775, 43.1169847 36.4924349, 43.117262 36.4928521, 43.1174098 36.4930279, 43.1175815 36.4931918, 43.1176485 36.4932382, 43.1178322 36.493346)",
520133354,False,residential,True,95.848,"LINESTRING (43.1168506 36.4923832, 43.1158027 36.4925657)",
223429697,True,primary,False,54.589,"LINESTRING (43.1168506 36.4923832, 43.1167808 36.4921977, 43.116724 36.4919041)",
453110174,False,residential,True,114.675,"LINESTRING (43.1175466 36.4932899, 43.1170189 36.4942299)",
223429697,True,primary,False,37.574,"LINESTRING (43.1175466 36.4932899, 43.1174098 36.4931581, 43.1172884 36.4930235)",
223429697,True,primary,False,9.428,"LINESTRING (43.1222272 36.4946595, 43.1221259 36.4946359)",
453104512,False,residential,True,45.054,"LINESTRING (43.1178322 36.493346, 43.1180918 36.4929987)",
223429695,True,primary,False,59.604,"LINESTRING (43.1178322 36.493346, 43.1180254 36.4934258, 43.1184398 36.4935659)",
223429695,True,primary,False,44.639,"LINESTRING (43.1167445 36.4910594, 43.116752 36.4914608)",
453103825,False,residential,True,110.84800000000001,"LINESTRING (43.1167445 36.4910594, 43.1173998 36.4910342, 43.1175929 36.4909868, 43.1176626 36.4909264, 43.1177109 36.490838, 43.1178665 36.490866)",
11177337,True,secondary,False,32.159,"LINESTRING (43.1242042 36.4894931, 43.1243208 36.4897667)",
453040028,False,residential,True,9.952,"LINESTRING (43.1242042 36.4894931, 43.1240933 36.4895009)",
11177337,True,secondary,False,3.584,"LINESTRING (43.1222927 36.4945545, 43.1222747 36.4945833)",
302395122,False,residential,False,138.106,"LINESTRING (43.124621 36.493955, 43.1260212 36.4944799)",
302395122,False,residential,True,49.626,"LINESTRING (43.124621 36.493955, 43.1241182 36.4937658)",
307090306,False,residential,False,51.847,"LINESTRING (43.124621 36.493955, 43.1248734 36.4935352)",
302395307,False,residential,True,54.275000000000006,"LINESTRING (43.124621 36.493955, 43.1243831 36.4943447, 43.1243509 36.4943921)",
302395122,False,residential,True,138.106,"LINESTRING (43.1260212 36.4944799, 43.124621 36.493955)",
302395303,False,residential,True,49.062,"LINESTRING (43.1243509 36.4943921, 43.1241244 36.494794)",
302395307,False,residential,False,54.275000000000006,"LINESTRING (43.1243509 36.4943921, 43.1243831 36.4943447, 43.124621 36.493955)",
11177337,True,secondary,False,73.034,"LINESTRING (43.1229939 36.4933451, 43.1226487 36.4939404)",
302395122,False,residential,False,32.539,"LINESTRING (43.1229939 36.4933451, 43.1231037 36.4933851, 43.1233243 36.4934679)",
302395178,False,residential,False,68.489,"LINESTRING (43.1218167 36.4916285, 43.1225816 36.4915934)",
453102538,False,residential,True,27.852,"LINESTRING (43.1218167 36.4916285, 43.1217829 36.4913795)",
453102538,False,residential,False,32.666,"LINESTRING (43.1218167 36.4916285, 43.1218386 36.4918711, 43.1218431 36.4919215)",
