osmid,name,highway,maxspeed,oneway,reversed,length,access,geometry,lanes,junction,bridge
62333642,Ohoka Road,secondary,50,False,False,222.927,,"LINESTRING (172.6462291 -43.386708, 172.6488495 -43.3873348)",,,
650941934,Otaki Street,residential,50,False,False,162.11599999999999,yes,"LINESTRING (172.6462291 -43.386708, 172.646269 -43.3866218, 172.6467006 -43.3856556, 172.6468498 -43.3853216)",,,
650941934,Otaki Street,residential,50,False,True,63.874,yes,"LINESTRING (172.6462291 -43.386708, 172.6461883 -43.3867899, 172.6461772 -43.3868122, 172.6459864 -43.3872546)",,,
62333642,Ohoka Road,secondary,50,False,True,222.927,,"LINESTRING (172.6488495 -43.3873348, 172.6462291 -43.386708)",,,
4752815,Akaroa Street,residential,50,False,False,163.066,,"LINESTRING (172.6488495 -43.3873348, 172.6488833 -43.3872603, 172.6492058 -43.3865496, 172.6494474 -43.3860173, 172.6494815 -43.3859421)",2,,
4728590,Williams Street,secondary,50,False,False,124.399,,"LINESTRING (172.6554029 -43.3863955, 172.6555889 -43.3859897, 172.6556801 -43.3858008, 172.6557093 -43.3857383, 172.6558926 -43.3853349)",2,,
4752810,Carew Street,residential,50,False,True,132.185,,"LINESTRING (172.6554029 -43.3863955, 172.6548192 -43.3862547, 172.6542115 -43.3861069, 172.6540555 -43.3860735, 172.6539652 -43.3860591, 172.6538411 -43.3860493)",2,,
4728590,Williams Street,secondary,50,False,False,110.602,,"LINESTRING (172.6558926 -43.3853349, 172.6560982 -43.3848904, 172.6562947 -43.3844608, 172.6563263 -43.3843915)",2,,
4728590,Williams Street,secondary,50,False,True,124.399,,"LINESTRING (172.6558926 -43.3853349, 172.6557093 -43.3857383, 172.6556801 -43.3858008, 172.6555889 -43.3859897, 172.6554029 -43.3863955)",2,,
"[4747812, 892901678]",Fuller Street,residential,50,False,False,297.749,,"LINESTRING (172.6558926 -43.3853349, 172.6558033 -43.3852931, 172.6557302 -43.385258, 172.6556866 -43.3852327, 172.6556504 -43.385203, 172.6550962 -43.3846711, 172.654803 -43.3843925, 172.6544975 -43.3840974, 172.6541815 -43.3837982, 172.6536066 -43.3832463)",2,,
279493633,Hilton Street,residential,50,False,False,266.301,,"LINESTRING (172.6563891 -43.3840858, 172.6563132 -43.3840141, 172.6562746 -43.3839776, 172.6553151 -43.3830714, 172.6548576 -43.3826394, 172.6545586 -43.3823569, 172.6544863 -43.3822886, 172.6543795 -43.3821878)",2,,
626349643,,secondary,50,True,False,8.071,,"LINESTRING (172.6563891 -43.3840858, 172.6564086 -43.3840745, 172.6564319 -43.3840678, 172.6564567 -43.3840664, 172.6564811 -43.3840704)",1,roundabout,
"[626349644, 4728606, 4728607]",Williams Street,secondary,50,False,False,138.887,,"LINESTRING (172.6570787 -43.3828462, 172.6571209 -43.382803, 172.6571837 -43.3827488, 172.6572166 -43.3827255, 172.6577434 -43.382337, 172.6577581 -43.3823264, 172.6578671 -43.3822577, 172.6580765 -43.3821339, 172.6582334 -43.3820463, 172.6583299 -43.3819957)",2,,yes
626349644,Williams Street,secondary,50,False,True,144.493,,"LINESTRING (172.6570787 -43.3828462, 172.6570538 -43.3828846, 172.6570263 -43.3829314, 172.6569904 -43.3829924, 172.6565786 -43.3838648, 172.6564811 -43.3840704)",2,,
"[818015304, 891758774]",Raven Quay,residential,50,False,False,218.49800000000002,,"LINESTRING (172.6570787 -43.3828462, 172.6569552 -43.382774, 172.6568118 -43.3826758, 172.6566854 -43.3825742, 172.6563697 -43.3822803, 172.6563348 -43.3822479, 172.6562555 -43.382174, 172.6554626 -43.381416, 172.6553663 -43.3813315)",2,,
889969544,Raven Quay,living_street,50,True,False,84.29899999999999,,"LINESTRING (172.6570787 -43.3828462, 172.6571445 -43.3828804, 172.6571975 -43.3829127, 172.6572536 -43.3829559, 172.6577254 -43.3833913, 172.6577333 -43.3834066, 172.6577361 -43.3834256)",1,,
4747812,Fuller Street,residential,50,False,False,259.918,,"LINESTRING (172.6536066 -43.3832463, 172.6534969 -43.3831371, 172.6531083 -43.3827694, 172.6526469 -43.3823276, 172.6524036 -43.3820947, 172.6516611 -43.381385)",2,,
"[4747812, 892901678]",Fuller Street,residential,50,False,True,297.74899999999997,,"LINESTRING (172.6536066 -43.3832463, 172.6541815 -43.3837982, 172.6544975 -43.3840974, 172.654803 -43.3843925, 172.6550962 -43.3846711, 172.6556504 -43.385203, 172.6556866 -43.3852327, 172.6557302 -43.385258, 172.6558033 -43.3852931, 172.6558926 -43.3853349)",2,,
