osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,name,bridge,junction
28582694,residential,50,False,False,69.011,"LINESTRING (175.3965591 -39.4164688, 175.3965312 -39.4165069, 175.3965137 -39.4165472, 175.3965006 -39.4166303, 175.3965073 -39.4169207, 175.3965079 -39.4169977, 175.3965003 -39.4170419, 175.3964833 -39.4170782)",,,,,
821530907,primary,50,False,False,52.693999999999996,"LINESTRING (175.3965591 -39.4164688, 175.3964835 -39.4164138, 175.3964321 -39.4163639, 175.3963904 -39.4163118, 175.3963507 -39.4162505, 175.3963191 -39.4161827, 175.3963012 -39.4161079, 175.3962933 -39.4160563)",2,SH 49,Clyde Street,,
821530908,primary,50,False,True,67.35499999999999,"LINESTRING (175.3965591 -39.4164688, 175.396711 -39.416564, 175.396955 -39.41671, 175.397179 -39.4168396)",2,SH 49,Clyde Street,,
"[435907889, 191364521, 435907887]",primary,50,False,False,155.973,"LINESTRING (175.3969247 -39.4153229, 175.3969587 -39.4152784, 175.3969779 -39.4152459, 175.3969938 -39.4152125, 175.397011 -39.415157, 175.3970242 -39.4151042, 175.3970821 -39.4148608, 175.3971273 -39.4146354, 175.3971559 -39.4144637, 175.3971638 -39.4143289, 175.3971557 -39.4142127, 175.3971305 -39.4140506, 175.397109 -39.4139463)",2,SH 49,Old Station Road,yes,
814492977,residential,50,False,False,125.46,"LINESTRING (175.3969247 -39.4153229, 175.3969734 -39.4153507, 175.3970369 -39.415387, 175.398074 -39.416019)",,,Ayr Street,,
821530907,primary,50,False,True,101.665,"LINESTRING (175.3969247 -39.4153229, 175.3968738 -39.4153732, 175.3968208 -39.4154171, 175.3965614 -39.4155907, 175.3964844 -39.4156554, 175.3964244 -39.415716, 175.3963724 -39.4157798, 175.3963385 -39.4158427, 175.396312 -39.4159121, 175.3962974 -39.4159786, 175.3962933 -39.4160563)",2,SH 49,Clyde Street,,
191364520,primary,50,False,False,138.551,"LINESTRING (175.397109 -39.4139463, 175.3970836 -39.4138573, 175.3970424 -39.4137622, 175.3969771 -39.4136323, 175.3969102 -39.4135199, 175.3968196 -39.4134051, 175.3967571 -39.4133351, 175.3966535 -39.4132235, 175.3964854 -39.413062, 175.3962967 -39.4128874)",2,SH 49,Tohunga Road,,
"[191364521, 435907889, 435907887]",primary,50,False,True,155.97299999999998,"LINESTRING (175.397109 -39.4139463, 175.3971305 -39.4140506, 175.3971557 -39.4142127, 175.3971638 -39.4143289, 175.3971559 -39.4144637, 175.3971273 -39.4146354, 175.3970821 -39.4148608, 175.3970242 -39.4151042, 175.397011 -39.415157, 175.3969938 -39.4152125, 175.3969779 -39.4152459, 175.3969587 -39.4152784, 175.3969247 -39.4153229)",2,SH 49,Old Station Road,yes,
"[1232313005, 28042263]",tertiary,50,False,False,152.406,"LINESTRING (175.3995865 -39.4169931, 175.399567 -39.4170131, 175.3995213 -39.4170645, 175.3992668 -39.4173247, 175.3991069 -39.4174881, 175.3990084 -39.4175882, 175.39898 -39.4176127, 175.3989538 -39.4176308, 175.398925 -39.4176447, 175.398892 -39.4176559, 175.3988562 -39.4176707, 175.3988286 -39.4176844, 175.3988053 -39.4177022, 175.3987806 -39.4177258, 175.3985913 -39.4179227, 175.3985171 -39.4179927, 175.3984609 -39.4180401)",2,,Goldfinch Street,,
814492976,tertiary,,True,False,11.178,"LINESTRING (175.3995865 -39.4169931, 175.3995677 -39.4169848, 175.3995533 -39.4169722, 175.3995449 -39.4169568, 175.3995433 -39.4169401, 175.3995487 -39.4169238, 175.3995605 -39.4169098)",,,,,roundabout
