osmid,name,highway,oneway,reversed,length,geometry,ref,access,bridge,lanes
45610929,Pukepoto Road,tertiary,False,True,89.457,"LINESTRING (173.2585977 -35.1117738, 173.2586007 -35.1109693)",,,,
45610929,Pukepoto Road,tertiary,False,False,48.010000000000005,"LINESTRING (173.2585977 -35.1117738, 173.2585948 -35.1120676, 173.2586124 -35.1122048)",,,,
88774330,Puckey Avenue,unclassified,False,True,227.512,"LINESTRING (173.2585977 -35.1117738, 173.2586699 -35.1117737, 173.2595991 -35.111773, 173.2597464 -35.111776, 173.2598936 -35.1117915, 173.2599672 -35.1118182, 173.2600194 -35.1118472, 173.2600774 -35.1118889, 173.2607152 -35.112501)",,,,
29280060,Commerce Street,tertiary,False,False,187.59300000000002,"LINESTRING (173.2656685 -35.1164917, 173.2656285 -35.1164613, 173.2655941 -35.1164287, 173.2655405 -35.1163658, 173.265249 -35.1159778, 173.2649246 -35.1154964, 173.2646129 -35.115046)",,,,
29280364,South Road,secondary,False,False,114.504,"LINESTRING (173.2656685 -35.1164917, 173.2657513 -35.1165371, 173.2660443 -35.1166537, 173.2663503 -35.1167782, 173.2667904 -35.1169574)",,,,
"[1135000528, 1135000529, 1135000531, 1135000532, 1135000534]",Matthews Avenue,trunk,False,False,91.048,"LINESTRING (173.2675691 -35.117334, 173.2676232 -35.1172521, 173.2677602 -35.1170447, 173.2678347 -35.1169307, 173.2678726 -35.1168726, 173.2678985 -35.1168159, 173.2679169 -35.1167755, 173.2679329 -35.1167191, 173.2679412 -35.1166469, 173.2679406 -35.1165861)",SH 1,yes,,
"[29280364, 1135000535]",South Road,secondary,False,True,82.69200000000001,"LINESTRING (173.2675691 -35.117334, 173.2675149 -35.1172877, 173.267442 -35.1172414, 173.2673703 -35.117206, 173.2670382 -35.1170615, 173.2669277 -35.1170151, 173.2667904 -35.1169574)",,,,
138510420,Matthews Avenue,trunk,False,False,435.69999999999993,"LINESTRING (173.2679406 -35.1165861, 173.267926 -35.1165251, 173.2678998 -35.1164626, 173.2678442 -35.1163736, 173.2677251 -35.1162359, 173.2675674 -35.1160905, 173.2673106 -35.1158693, 173.267152 -35.1157425, 173.2669706 -35.1155927, 173.2668776 -35.1155323, 173.2667102 -35.1154369, 173.266521 -35.1153087, 173.2664049 -35.1151977, 173.2663403 -35.1151168, 173.2663084 -35.115039, 173.2662872 -35.1149614, 173.266295 -35.1148593, 173.266329 -35.1147365, 173.2663681 -35.1145502, 173.2663649 -35.1144674, 173.2663405 -35.1143926, 173.2662861 -35.1142996, 173.2660255 -35.1139085, 173.2658281 -35.1136307, 173.265639 -35.1133584)",SH 1,yes,,
"[1135000528, 1135000529, 1135000531, 1135000532, 1135000534]",Matthews Avenue,trunk,False,True,91.048,"LINESTRING (173.2679406 -35.1165861, 173.2679412 -35.1166469, 173.2679329 -35.1167191, 173.2679169 -35.1167755, 173.2678985 -35.1168159, 173.2678726 -35.1168726, 173.2678347 -35.1169307, 173.2677602 -35.1170447, 173.2676232 -35.1172521, 173.2675691 -35.117334)",SH 1,yes,,
88774330,Puckey Avenue,unclassified,False,True,151.764,"LINESTRING (173.2607152 -35.112501, 173.2617798 -35.1135519)",,,,
