osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
661058980,,Hautapu Street,secondary,50,False,False,207.998,"LINESTRING (175.7992832 -39.6743753, 175.7993898 -39.6741691, 175.7994758 -39.6740099, 175.7995334 -39.6739279, 175.7995969 -39.673868, 175.799698 -39.6737742, 175.7997677 -39.6737295, 175.7998635 -39.6736754, 175.8000486 -39.6735841, 175.8003893 -39.6734518, 175.8005216 -39.6733921, 175.8006028 -39.6733374, 175.8006887 -39.6732535, 175.8007752 -39.673172, 175.8008636 -39.6730423)",,
25845263,,Kokako Street,residential,50,False,True,141.90499999999997,"LINESTRING (175.800355 -39.6758819, 175.8006364 -39.6762752, 175.8011047 -39.6769267, 175.801154 -39.6770001)",,
219642308,,Huia Street,residential,50,False,True,214.275,"LINESTRING (175.800355 -39.6758819, 175.7991409 -39.6764102, 175.798933 -39.6765007, 175.7984148 -39.6767262, 175.7982497 -39.6767974, 175.798175 -39.6768296)",,
219642309,,Huia Street,residential,50,False,False,533.225,"LINESTRING (175.800355 -39.6758819, 175.8010151 -39.675602, 175.8014667 -39.6754055, 175.8015639 -39.675355, 175.801627 -39.6753058, 175.8016932 -39.6752326, 175.8017961 -39.6750718, 175.8018382 -39.6749896, 175.801848 -39.6749512, 175.8018474 -39.674908, 175.8018356 -39.6748568, 175.8018155 -39.674804, 175.8017877 -39.6747564, 175.8017536 -39.6747087, 175.8017017 -39.6746413, 175.8015458 -39.6744555, 175.8014022 -39.6742643, 175.8011487 -39.6738843, 175.8010911 -39.6738398, 175.8008932 -39.6738196, 175.8005842 -39.6738066, 175.8003868 -39.6738264, 175.8002809 -39.6738411, 175.8002037 -39.67389, 175.7999719 -39.6741675, 175.799826 -39.6743393, 175.7995528 -39.6746216, 175.7993944 -39.6747283, 175.7992349 -39.6747833, 175.7990993 -39.674772)",,
"[25845412, 25845416, 1043267571, 1043267572, 27634134]",1,"['Kiwi Road', 'Huia Street']",residential,50,False,True,272.246,"LINESTRING (175.798175 -39.6768296, 175.7980992 -39.6768561, 175.798014 -39.6768886, 175.797776 -39.6769809, 175.7977191 -39.6769987, 175.7976591 -39.6770058, 175.7976121 -39.6770085, 175.7975629 -39.6770025, 175.7975228 -39.6769936, 175.7974818 -39.6769809, 175.7973981 -39.67694, 175.7973596 -39.676911, 175.7973191 -39.6768636, 175.7972858 -39.6768097, 175.7972648 -39.6767434, 175.7971935 -39.6762907, 175.7971722 -39.6762445, 175.7971384 -39.6762138, 175.7970994 -39.6761931, 175.7970589 -39.6761807, 175.7970153 -39.6761798, 175.7969796 -39.6761906, 175.7969343 -39.6762109, 175.7968868 -39.6762424, 175.7966677 -39.6764441, 175.7966192 -39.676506, 175.7965396 -39.6766416, 175.7963632 -39.676929)",,yes
"[190013240, 661020745, 661020743]","['2', '3']",Hautapu Street,trunk,50,False,False,140.445,"LINESTRING (175.798175 -39.6768296, 175.7982211 -39.6769208, 175.798262 -39.676978, 175.79831 -39.6770442, 175.7988048 -39.677738, 175.7989501 -39.677942)",SH 1,
219642308,,Huia Street,residential,50,False,False,214.275,"LINESTRING (175.798175 -39.6768296, 175.7982497 -39.6767974, 175.7984148 -39.6767262, 175.798933 -39.6765007, 175.7991409 -39.6764102, 175.800355 -39.6758819)",,
"[25801372, 661020740, 661020742]","['2', '3']",Hautapu Street,trunk,50,False,True,64.096,"LINESTRING (175.798175 -39.6768296, 175.7981613 -39.6767734, 175.7981642 -39.6767244, 175.7981775 -39.6766755, 175.7982087 -39.6765953, 175.7982511 -39.6764952, 175.7983143 -39.6763327, 175.7983132 -39.6763012, 175.7982995 -39.676273)",SH 1,
25845263,,Kokako Street,residential,50,False,False,120.474,"LINESTRING (175.8018257 -39.6779522, 175.8012065 -39.6770802, 175.801154 -39.6770001)",,
"[25842814, 25845263]",,"['Kokako Street', 'Weka Street']",residential,50,False,True,330.607,"LINESTRING (175.8018257 -39.6779522, 175.8024432 -39.6788223, 175.8024498 -39.6788457, 175.8024541 -39.678874, 175.8024423 -39.6788958, 175.8024259 -39.6789119, 175.8015533 -39.6792814, 175.8014091 -39.6793689, 175.8003754 -39.6798097, 175.8002874 -39.6798047)",,
473298564,,Kuku Street,residential,50,False,True,214.80599999999998,"LINESTRING (175.8018257 -39.6779522, 175.7996824 -39.6788736, 175.7996328 -39.6788919)",,
25845263,,Kokako Street,residential,50,False,False,141.905,"LINESTRING (175.801154 -39.6770001, 175.8011047 -39.6769267, 175.8006364 -39.6762752, 175.800355 -39.6758819)",,
25845263,,Kokako Street,residential,50,False,True,120.474,"LINESTRING (175.801154 -39.6770001, 175.8012065 -39.6770802, 175.8018257 -39.6779522)",,
473298568,,Tui Street,residential,50,False,True,215.74300000000002,"LINESTRING (175.801154 -39.6770001, 175.7990884 -39.6778804, 175.7990103 -39.6779154, 175.7989501 -39.677942)",,
25843580,,Achilles Drive,residential,50,False,True,206.53400000000002,"LINESTRING (175.7990289 -39.6810152, 175.7989897 -39.6809008, 175.7989763 -39.6808025, 175.7989825 -39.6807015, 175.7990013 -39.6805977, 175.7992505 -39.6801263, 175.7992905 -39.6800589, 175.7993366 -39.6800095, 175.7993969 -39.679961, 175.7994643 -39.679924, 175.7995302 -39.6798986, 175.7996089 -39.6798782, 175.7996902 -39.6798693, 175.7997779 -39.6798676, 175.7999126 -39.6798753, 175.7999809 -39.6798775, 175.8000409 -39.6798681, 175.8001001 -39.6798499, 175.8002031 -39.6798059, 175.8002874 -39.6798047)",,
25845380,,Eagle Road,residential,50,False,True,309.679,"LINESTRING (175.7963632 -39.676929, 175.7963805 -39.6769892, 175.7963499 -39.6772328, 175.7963838 -39.67742, 175.7965174 -39.6797073)",,
26132200,,Kiwi Road,residential,50,False,False,43.104,"LINESTRING (175.7963632 -39.676929, 175.7962939 -39.6769984, 175.7961671 -39.6772822)",,
"[25845412, 25845416, 1043267571, 1043267572, 27634134]",1,"['Kiwi Road', 'Huia Street']",residential,50,False,False,272.24600000000004,"LINESTRING (175.7963632 -39.676929, 175.7965396 -39.6766416, 175.7966192 -39.676506, 175.7966677 -39.6764441, 175.7968868 -39.6762424, 175.7969343 -39.6762109, 175.7969796 -39.6761906, 175.7970153 -39.6761798, 175.7970589 -39.6761807, 175.7970994 -39.6761931, 175.7971384 -39.6762138, 175.7971722 -39.6762445, 175.7971935 -39.6762907, 175.7972648 -39.6767434, 175.7972858 -39.6768097, 175.7973191 -39.6768636, 175.7973596 -39.676911, 175.7973981 -39.67694, 175.7974818 -39.6769809, 175.7975228 -39.6769936, 175.7975629 -39.6770025, 175.7976121 -39.6770085, 175.7976591 -39.6770058, 175.7977191 -39.6769987, 175.797776 -39.6769809, 175.798014 -39.6768886, 175.7980992 -39.6768561, 175.798175 -39.6768296)",,yes
25845064,,Hawk Street,residential,50,False,False,49.984,"LINESTRING (175.795936 -39.6797502, 175.7965174 -39.6797073)",,
25842821,,Kuku Street,residential,50,False,False,187.82699999999997,"LINESTRING (175.7977186 -39.6797182, 175.7978103 -39.6796784, 175.7995649 -39.6789237, 175.7996328 -39.6788919)",,
"[25845292, 25845303]",2,"['Robin Street', 'Tui Street']",residential,50,False,False,265.077,"LINESTRING (175.7977186 -39.6797182, 175.7976148 -39.6786078, 175.797611 -39.6785623, 175.7976144 -39.6785253, 175.7976291 -39.6785014, 175.7976755 -39.678471, 175.7988139 -39.6780003, 175.7988911 -39.6779652, 175.7989501 -39.677942)",,
"[25845427, 25843518, 25845303]",,"['Robin Street', 'Kaka Road']",residential,50,False,True,163.858,"LINESTRING (175.7977186 -39.6797182, 175.7977767 -39.6803765, 175.7977814 -39.6805066, 175.7977733 -39.6805989, 175.7977239 -39.6806754, 175.7976302 -39.6807717, 175.7975063 -39.6808221, 175.7972171 -39.6809337, 175.7971826 -39.6809442)",,yes
"[25842814, 25845263]",,"['Kokako Street', 'Weka Street']",residential,50,False,False,330.607,"LINESTRING (175.8002874 -39.6798047, 175.8003754 -39.6798097, 175.8014091 -39.6793689, 175.8015533 -39.6792814, 175.8024259 -39.6789119, 175.8024423 -39.6788958, 175.8024541 -39.678874, 175.8024498 -39.6788457, 175.8024432 -39.6788223, 175.8018257 -39.6779522)",,
25843580,,Achilles Drive,residential,50,False,False,206.53400000000002,"LINESTRING (175.8002874 -39.6798047, 175.8002031 -39.6798059, 175.8001001 -39.6798499, 175.8000409 -39.6798681, 175.7999809 -39.6798775, 175.7999126 -39.6798753, 175.7997779 -39.6798676, 175.7996902 -39.6798693, 175.7996089 -39.6798782, 175.7995302 -39.6798986, 175.7994643 -39.679924, 175.7993969 -39.679961, 175.7993366 -39.6800095, 175.7992905 -39.6800589, 175.7992505 -39.6801263, 175.7990013 -39.6805977, 175.7989825 -39.6807015, 175.7989763 -39.6808025, 175.7989897 -39.6809008, 175.7990289 -39.6810152)",,
"[661020748, 661020749, 661020750]","['2', '3']",Hautapu Street,trunk,50,False,True,115.93299999999999,"LINESTRING (175.8002874 -39.6798047, 175.8002338 -39.6797309, 175.8001469 -39.6796079, 175.7997797 -39.6790948, 175.7996328 -39.6788919)",SH 1,
661058980,,Hautapu Street,secondary,50,False,False,46.835,"LINESTRING (175.7990993 -39.674772, 175.7992832 -39.6743753)",,
219642309,,Huia Street,residential,50,False,True,533.2249999999999,"LINESTRING (175.7990993 -39.674772, 175.7992349 -39.6747833, 175.7993944 -39.6747283, 175.7995528 -39.6746216, 175.799826 -39.6743393, 175.7999719 -39.6741675, 175.8002037 -39.67389, 175.8002809 -39.6738411, 175.8003868 -39.6738264, 175.8005842 -39.6738066, 175.8008932 -39.6738196, 175.8010911 -39.6738398, 175.8011487 -39.6738843, 175.8014022 -39.6742643, 175.8015458 -39.6744555, 175.8017017 -39.6746413, 175.8017536 -39.6747087, 175.8017877 -39.6747564, 175.8018155 -39.674804, 175.8018356 -39.6748568, 175.8018474 -39.674908, 175.801848 -39.6749512, 175.8018382 -39.6749896, 175.8017961 -39.6750718, 175.8016932 -39.6752326, 175.801627 -39.6753058, 175.8015639 -39.675355, 175.8014667 -39.6754055, 175.8010151 -39.675602, 175.800355 -39.6758819)",,
"[25800721, 661058980]",2,Hautapu Street,secondary,50,False,True,181.063,"LINESTRING (175.7990993 -39.674772, 175.7985126 -39.675922, 175.7984182 -39.6761322, 175.798389 -39.6761934, 175.7982995 -39.676273)",,
"[25845292, 25845303]",2,"['Robin Street', 'Tui Street']",residential,50,False,True,265.077,"LINESTRING (175.7989501 -39.677942, 175.7988911 -39.6779652, 175.7988139 -39.6780003, 175.7976755 -39.678471, 175.7976291 -39.6785014, 175.7976144 -39.6785253, 175.797611 -39.6785623, 175.7976148 -39.6786078, 175.7977186 -39.6797182)",,
473298568,,Tui Street,residential,50,False,False,215.74300000000002,"LINESTRING (175.7989501 -39.677942, 175.7990103 -39.6779154, 175.7990884 -39.6778804, 175.801154 -39.6770001)",,
"[661020744, 661020746, 661020747]","['2', '3']",Hautapu Street,trunk,50,False,False,120.707,"LINESTRING (175.7989501 -39.677942, 175.7990336 -39.6780576, 175.7991024 -39.6781518, 175.7994882 -39.6786901, 175.7996328 -39.6788919)",SH 1,
"[190013240, 661020745, 661020743]","['2', '3']",Hautapu Street,trunk,50,False,True,140.445,"LINESTRING (175.7989501 -39.677942, 175.7988048 -39.677738, 175.79831 -39.6770442, 175.798262 -39.676978, 175.7982211 -39.6769208, 175.798175 -39.6768296)",SH 1,
25842821,,Kuku Street,residential,50,False,True,187.827,"LINESTRING (175.7996328 -39.6788919, 175.7995649 -39.6789237, 175.7978103 -39.6796784, 175.7977186 -39.6797182)",,
473298564,,Kuku Street,residential,50,False,False,214.80599999999998,"LINESTRING (175.7996328 -39.6788919, 175.7996824 -39.6788736, 175.8018257 -39.6779522)",,
"[661020744, 661020746, 661020747]","['2', '3']",Hautapu Street,trunk,50,False,True,120.707,"LINESTRING (175.7996328 -39.6788919, 175.7994882 -39.6786901, 175.7991024 -39.6781518, 175.7990336 -39.6780576, 175.7989501 -39.677942)",SH 1,
"[661020748, 661020749, 661020750]","['2', '3']",Hautapu Street,trunk,50,False,False,115.93299999999999,"LINESTRING (175.7996328 -39.6788919, 175.7997797 -39.6790948, 175.8001469 -39.6796079, 175.8002338 -39.6797309, 175.8002874 -39.6798047)",SH 1,
25845064,,Hawk Street,residential,50,False,True,49.984,"LINESTRING (175.7965174 -39.6797073, 175.795936 -39.6797502)",,
25845380,,Eagle Road,residential,50,False,False,309.67900000000003,"LINESTRING (175.7965174 -39.6797073, 175.7963838 -39.67742, 175.7963499 -39.6772328, 175.7963805 -39.6769892, 175.7963632 -39.676929)",,
25845380,,Eagle Road,residential,50,False,True,128.168,"LINESTRING (175.7965174 -39.6797073, 175.7965435 -39.6801457, 175.7965712 -39.6802644, 175.7966105 -39.6803571, 175.7967961 -39.6806438, 175.7968374 -39.6807173, 175.7968816 -39.6808063)",,
25842732,,Linnet Street,residential,50,False,True,69.058,"LINESTRING (175.7976438 -39.6745343, 175.7979468 -39.6739587)",,
25842732,,Linnet Street,residential,50,False,False,152.251,"LINESTRING (175.7976438 -39.6745343, 175.7972622 -39.6753023, 175.7970278 -39.6757702, 175.7970057 -39.6758124)",,
"[26132187, 26132190]",,Toroa Street,residential,50,False,False,261.19,"LINESTRING (175.7976438 -39.6745343, 175.7963402 -39.6741313, 175.7960032 -39.6748145, 175.7957698 -39.6752692, 175.79575 -39.6753147)",,
"[26132187, 26132190]",,Toroa Street,residential,50,False,True,261.19,"LINESTRING (175.79575 -39.6753147, 175.7957698 -39.6752692, 175.7960032 -39.6748145, 175.7963402 -39.6741313, 175.7976438 -39.6745343)",,
48031630,2,Mataroa Road,trunk,50,False,False,121.19300000000001,"LINESTRING (175.79575 -39.6753147, 175.795931 -39.6753945, 175.7960056 -39.6754411, 175.796562 -39.6756679, 175.7970057 -39.6758124)",SH 1,
26619320,,Titi Street,residential,50,False,False,79.088,"LINESTRING (175.7950713 -39.6778011, 175.7943503 -39.677791, 175.7941473 -39.6777925)",,
26619341,,Whio Street,residential,50,False,False,97.96600000000001,"LINESTRING (175.7941945 -39.6769125, 175.7941922 -39.677207, 175.7941473 -39.6777925)",,
26619320,,Titi Street,residential,50,False,False,85.598,"LINESTRING (175.7938993 -39.6778326, 175.7928993 -39.6778172)",,
26619320,,Titi Street,residential,50,False,True,21.716,"LINESTRING (175.7938993 -39.6778326, 175.7940188 -39.6778184, 175.7941473 -39.6777925)",,
26619344,,Fantail Place,residential,50,False,True,63.1,"LINESTRING (175.7938993 -39.6778326, 175.7939 -39.6782249, 175.7938899 -39.6782765, 175.7938644 -39.6783338, 175.7938368 -39.6783925)",,
26619344,,Fantail Place,residential,50,False,False,63.1,"LINESTRING (175.7938368 -39.6783925, 175.7938644 -39.6783338, 175.7938899 -39.6782765, 175.7939 -39.6782249, 175.7938993 -39.6778326)",,
26619320,,Titi Street,residential,50,False,False,21.716,"LINESTRING (175.7941473 -39.6777925, 175.7940188 -39.6778184, 175.7938993 -39.6778326)",,
26619320,,Titi Street,residential,50,False,True,79.088,"LINESTRING (175.7941473 -39.6777925, 175.7943503 -39.677791, 175.7950713 -39.6778011)",,
26619341,,Whio Street,residential,50,False,True,97.96600000000001,"LINESTRING (175.7941473 -39.6777925, 175.7941922 -39.677207, 175.7941945 -39.6769125)",,
26619349,,Pukeko Street,residential,50,False,False,83.50399999999999,"LINESTRING (175.7940049 -39.6762867, 175.7934926 -39.6762549, 175.7931037 -39.6762482, 175.7930528 -39.6762082)",,
26132200,,Kiwi Road,residential,50,False,False,421.382,"LINESTRING (175.7961671 -39.6772822, 175.7961159 -39.6774791, 175.7960179 -39.6776782, 175.7959874 -39.6777933, 175.7959678 -39.6779009, 175.7959646 -39.6781299, 175.7959468 -39.6782185, 175.7959061 -39.6783215, 175.7958253 -39.6784451, 175.7956364 -39.6787094, 175.795542 -39.6788283, 175.7954767 -39.6788847, 175.7953948 -39.678938, 175.7953052 -39.6789813, 175.7952187 -39.6790142, 175.7951163 -39.679035, 175.7950075 -39.6790384, 175.7945203 -39.679017, 175.7944117 -39.6790186, 175.7943118 -39.6790306, 175.7942249 -39.6790631, 175.7941758 -39.6791061, 175.7941495 -39.6791619, 175.7941417 -39.6792308, 175.7941544 -39.6792943, 175.794194 -39.6793914, 175.794228 -39.6794584, 175.7942374 -39.6795351, 175.7942156 -39.6796264, 175.7941955 -39.679668, 175.7941576 -39.6796997, 175.794112 -39.679721, 175.7940446 -39.679734, 175.793968 -39.6797338, 175.7938332 -39.6797024, 175.7936959 -39.6796693)",,
26132200,,Kiwi Road,residential,50,False,True,43.104,"LINESTRING (175.7961671 -39.6772822, 175.7962939 -39.6769984, 175.7963632 -39.676929)",,
27634150,,Swan Street,residential,50,False,True,474.04799999999994,"LINESTRING (175.7961671 -39.6772822, 175.7960969 -39.6772205, 175.7960772 -39.6771698, 175.7960793 -39.6771115, 175.7961414 -39.6769752, 175.7963065 -39.6766648, 175.7963803 -39.6765018, 175.7963878 -39.6764419, 175.7963771 -39.6763873, 175.7963522 -39.6763336, 175.796298 -39.6762917, 175.7962354 -39.6762634, 175.7961379 -39.6762468, 175.7960227 -39.6762519, 175.7958584 -39.676263, 175.795692 -39.6762601, 175.7954315 -39.6762355, 175.7952012 -39.6761861, 175.7949556 -39.676117, 175.7947953 -39.6761, 175.7946807 -39.676094, 175.7945348 -39.6760736, 175.7943772 -39.6760294, 175.7942388 -39.6759813, 175.7941413 -39.6759384, 175.7940589 -39.6758913, 175.7939754 -39.6758332, 175.7938002 -39.6756898, 175.7936471 -39.675589, 175.793576 -39.6755566, 175.7935033 -39.6755392, 175.7934418 -39.6755391, 175.7933879 -39.6755517, 175.7933268 -39.6755818, 175.7932612 -39.6756342, 175.7932046 -39.6756976, 175.7931637 -39.6757573, 175.7931388 -39.6758292, 175.7930528 -39.6762082)",,
26619320,,Titi Street,residential,50,False,True,85.598,"LINESTRING (175.7928993 -39.6778172, 175.7938993 -39.6778326)",,
26619350,,Lark Street,residential,50,False,False,103.56,"LINESTRING (175.7928993 -39.6778172, 175.7928981 -39.6777556, 175.7929133 -39.6775578, 175.7929165 -39.6773739, 175.7929158 -39.6771811, 175.7929034 -39.6770796, 175.7928744 -39.6769829, 175.792846 -39.6768918)",,
26619350,,Lark Street,residential,50,False,False,78.252,"LINESTRING (175.792846 -39.6768918, 175.7928457 -39.6768392, 175.7928629 -39.6767652, 175.7930144 -39.6763385, 175.7930528 -39.6762082)",,
