osmid,oneway,name,highway,maxspeed,reversed,length,lanes,ref,geometry,bridge,junction
83078925,True,Tyne Street,residential,50,False,13.893,,,"LINESTRING (168.3474316 -46.4156709, 168.3472504 -46.4156686)",,
968641535,False,Kelvin Street,tertiary,50,True,11.611,2,,"LINESTRING (168.3506084 -46.4130945, 168.3506113 -46.4129901)",,
381189346,True,Tay Street,trunk,50,False,176.596,2,SH 1,"LINESTRING (168.3506084 -46.4130945, 168.3504733 -46.4130936, 168.3498797 -46.4130897, 168.3493133 -46.4130723, 168.3483055 -46.41307)",,
"[83078729, 968641540]",False,Nith Street,unclassified,50,False,61.772000000000006,2,,"LINESTRING (168.3506084 -46.4130945, 168.3506083 -46.4131834, 168.3506082 -46.4132144, 168.3506108 -46.4133917, 168.3506153 -46.41365)",,
83998487,True,Wood Street,residential,,False,244.22,,,"LINESTRING (168.3474306 -46.4136276, 168.3474584 -46.4136245, 168.3474912 -46.413622, 168.3475267 -46.4136204, 168.3475685 -46.4136208, 168.3494252 -46.4136386, 168.3504946 -46.4136488, 168.3506153 -46.41365)",,
"[87930864, 87930926, 818890095]",True,Clyde Street,trunk,50,False,98.554,2,SH 1,"LINESTRING (168.3474306 -46.4136276, 168.3474304 -46.4137186, 168.3474321 -46.4138057, 168.3474331 -46.4139308, 168.3474308 -46.4145139)",yes,
83079090,False,Mersey Street,residential,50,False,133.058,,,"LINESTRING (168.3419312 -46.4084863, 168.3419347 -46.4091399, 168.341937 -46.4095845, 168.3419375 -46.4096829)",,
836848768,False,Nith Street,unclassified,50,False,13.684999999999999,,,"LINESTRING (168.3506139 -46.4155371, 168.3506139 -46.4155637, 168.3506111 -46.4156016, 168.3506089 -46.4156601)",,
836848768,False,Nith Street,unclassified,50,True,117.589,,,"LINESTRING (168.3506139 -46.4155371, 168.3506139 -46.4149076, 168.3506138 -46.4145506, 168.3506138 -46.4144796)",,
689312175,True,Dee Street,trunk,50,False,120.747,,SH 6,"LINESTRING (168.3473889 -46.4074987, 168.3473932 -46.4085846)",,
689312177,False,Leet Street,residential,50,True,11.677,,,"LINESTRING (168.3473889 -46.4074987, 168.3472366 -46.4074984)",,
689312176,False,Leet Street,residential,50,False,244.684,,,"LINESTRING (168.3473889 -46.4074987, 168.347534 -46.4074984, 168.3504894 -46.4074929, 168.3505802 -46.4074928)",,
87930832,False,Mersey Street,residential,,True,25.008,,,"LINESTRING (168.3419599 -46.4139092, 168.3419587 -46.4136843)",yes,
83078729,False,Nith Street,unclassified,,False,92.247,,,"LINESTRING (168.3506153 -46.41365, 168.3506139 -46.4144235, 168.3506138 -46.4144796)",,
"[83078729, 968641540]",False,Nith Street,unclassified,50,True,61.772,2,,"LINESTRING (168.3506153 -46.41365, 168.3506108 -46.4133917, 168.3506082 -46.4132144, 168.3506083 -46.4131834, 168.3506084 -46.4130945)",,
83078371,False,Leven Street,tertiary,50,True,238.309,,,"LINESTRING (168.3456306 -46.4096805, 168.3456298 -46.4097596, 168.34562 -46.4106766, 168.34562 -46.4107047, 168.3456199 -46.411386, 168.3456263 -46.4117764, 168.3456271 -46.4118236)",,
83078733,False,Spey Street,residential,50,True,283.146,,,"LINESTRING (168.3456306 -46.4096805, 168.3455146 -46.4096806, 168.3450597 -46.4096809, 168.3444068 -46.4096813, 168.3443587 -46.4096813, 168.3442883 -46.4096814, 168.3439325 -46.4096816, 168.3419375 -46.4096829)",,
83078941,False,Spey Street,residential,,False,124.058,,,"LINESTRING (168.3456306 -46.4096805, 168.3457504 -46.4096805, 168.34666 -46.4096805, 168.3470924 -46.4096805, 168.3472487 -46.4096805)",,
132189340,False,Leven Street,tertiary,50,False,243.117,,,"LINESTRING (168.3456306 -46.4096805, 168.3456307 -46.4096033, 168.345632 -46.4088428, 168.3456328 -46.4084057, 168.3456301 -46.4079332, 168.3456276 -46.4074941)",,
83078253,True,Esk Street,residential,10,False,244.00599999999997,1,,"LINESTRING (168.3474546 -46.4117939, 168.3475342 -46.4118321, 168.3475667 -46.4118404, 168.3475827 -46.4118445, 168.3476312 -46.4118504, 168.3479288 -46.4118517, 168.3488912 -46.4118472, 168.3489711 -46.4118332, 168.3493138 -46.4118329, 168.3494361 -46.411845, 168.3504991 -46.411852, 168.3506121 -46.4118529)",,
"[968641530, 381184955]",True,Dee Street,trunk,50,False,113.209,2,SH 6,"LINESTRING (168.3474546 -46.4117939, 168.3474518 -46.4119015, 168.3474261 -46.412169, 168.3474184 -46.4122939, 168.3474149 -46.4123833, 168.3474146 -46.4125068, 168.3474193 -46.4126514, 168.3474379 -46.4128107)",,
83998485,False,Liddel Street,tertiary,50,False,39.374,2,,"LINESTRING (168.3456372 -46.4130006, 168.3456369 -46.4133547)",,
893853737,True,Liddel Street,tertiary,50,False,41.16500000000001,1,,"LINESTRING (168.3456372 -46.4130006, 168.3456139 -46.4128588, 168.3456145 -46.41283, 168.3456197 -46.412803, 168.3456423 -46.4127133, 168.3456477 -46.4126944, 168.3456464 -46.4126683, 168.3456336 -46.4126344)",,
83079611,False,Tyne Street,residential,50,False,123.547,,,"LINESTRING (168.345639 -46.4156504, 168.3457513 -46.4156517, 168.3471185 -46.4156671, 168.3472504 -46.4156686)",,
87930936,False,Liddel Street,tertiary,50,True,127.38499999999999,,,"LINESTRING (168.345639 -46.4156504, 168.3456374 -46.4148636, 168.3456356 -46.4145048)",,
