osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,width,junction,access
27167742,True,2,Main Street,unclassified,50,False,29.736,"LINESTRING (175.6071406 -40.3579222, 175.6070193 -40.3580136, 175.6069587 -40.3580728, 175.6069109 -40.3581234)",,,,
510367779,False,2,Main Street,unclassified,50,False,75.098,"LINESTRING (175.6071406 -40.3579222, 175.6078571 -40.3575998, 175.6079033 -40.3575782)",,,,
157288683,True,,Coleman Place,unclassified,50,False,89.24,"LINESTRING (175.6093823 -40.355676, 175.6093149 -40.3557056, 175.6084707 -40.3560779)",,,,
172464611,True,,The Square,unclassified,50,False,105.736,"LINESTRING (175.6093823 -40.355676, 175.6094147 -40.3555784, 175.609477 -40.3555172, 175.6095769 -40.3554651, 175.6103494 -40.3551237)",,,,
193252450,True,2,The Square,unclassified,50,False,98.607,"LINESTRING (175.6103494 -40.3551237, 175.6113519 -40.3546734)",,,,
466804942,False,,Rangitikei Street,unclassified,50,True,9.474,"LINESTRING (175.6103494 -40.3551237, 175.61041 -40.3551953)",,,,
27131109,False,6,Rangitikei Street,unclassified,50,True,77.818,"LINESTRING (175.6103494 -40.3551237, 175.609965 -40.3546245, 175.6098842 -40.3545203)",,,,
1262431543,False,,Fitzherbert Avenue,unclassified,50,True,10.864,"LINESTRING (175.6119521 -40.3572113, 175.612021 -40.3572937)",,,,
466804944,True,2,The Square,unclassified,50,False,59.547,"LINESTRING (175.6119521 -40.3572113, 175.6120907 -40.3571536, 175.6125672 -40.3569523)",,,,
641101335,False,4,Fitzherbert Avenue,secondary,50,True,35.697,"LINESTRING (175.6136672 -40.3594441, 175.6138797 -40.3597213)",,,,
816994894,False,4,Ferguson Street,secondary,50,False,36.082,"LINESTRING (175.6136672 -40.3594441, 175.6132986 -40.3596066)",,,,
"[321931523, 816994893]",True,,Ferguson Street,secondary,50,False,256.988,"LINESTRING (175.6136672 -40.3594441, 175.6138511 -40.3592948, 175.6152212 -40.358686, 175.61572 -40.35845, 175.6162361 -40.3582304)",,,,
"[27150203, 816994892]",False,,Fitzherbert Avenue,unclassified,50,False,276.882,"LINESTRING (175.6136672 -40.3594441, 175.613408 -40.3590969, 175.6132981 -40.3589344, 175.6131344 -40.3587264, 175.6126548 -40.3581165, 175.6125318 -40.35797, 175.612401 -40.3577979, 175.6120739 -40.3573662, 175.612021 -40.3572937)",,,,
27150163,False,4,Grey Street,trunk,50,False,31.98,"LINESTRING (175.6087015 -40.3530143, 175.6090268 -40.3528685)",SH 3,,,
641100404,False,3,Rangitikei Street,unclassified,50,False,91.166,"LINESTRING (175.6087015 -40.3530143, 175.6092601 -40.353715)",,,,
27150317,False,4,Rangitikei Street,trunk,50,True,54.870000000000005,"LINESTRING (175.6087015 -40.3530143, 175.6084946 -40.3527426, 175.6083765 -40.3525875)",SH 3,,,
641124134,True,2,Walding Street,secondary,50,False,166.79999999999998,"LINESTRING (175.6087015 -40.3530143, 175.6085157 -40.3531549, 175.6070409 -40.3538093)",,,,
"[641189571, 27150220]",False,6,Pitt Street,secondary,50,False,97.137,"LINESTRING (175.607701 -40.3591832, 175.6071873 -40.3587879, 175.6071366 -40.3587542, 175.6068735 -40.3585794)",,,,
211797481,True,1,Church Street,unclassified,50,False,133.568,"LINESTRING (175.607701 -40.3591832, 175.607308 -40.3593948, 175.606863 -40.3595857, 175.6065013 -40.3597459, 175.606362 -40.3598149)",,3,,
