osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,name,bridge,junction
813328499,True,primary_link,60,False,44.903999999999996,"LINESTRING (174.6589792 -36.4020904, 174.6590359 -36.4022018, 174.6590894 -36.4022561, 174.6590989 -36.4022645, 174.6591315 -36.4022806, 174.6591724 -36.4022945, 174.6593331 -36.4023374)",,,,
1168837101,False,primary,60,False,41.183,"LINESTRING (174.6589792 -36.4020904, 174.6588926 -36.402292, 174.6588298 -36.4024407)",4,Brown Road,,
"[1168837102, 1168837104, 477957521, 477957520, 803894937]",False,primary,60,"[False, True]",376.362,"LINESTRING (174.6589792 -36.4020904, 174.6594166 -36.4011424, 174.659506 -36.4009487, 174.6595709 -36.4008076, 174.6596215 -36.4006975, 174.6597585 -36.4003797, 174.6598229 -36.400245, 174.6600716 -36.3996687, 174.6602261 -36.3993212, 174.6604154 -36.3989094)","['2', '4', '3']",Brown Road,yes,
836781355,False,secondary,50,False,18.47,"LINESTRING (174.6612387 -36.3962743, 174.6612244 -36.3963577, 174.6612009 -36.3964374)",3,Sandspit Road,,
836781356,False,secondary,,True,15.352,"LINESTRING (174.6612387 -36.3962743, 174.6612364 -36.396224, 174.6612325 -36.3961798, 174.661225 -36.3961368)",2,Matakana Road,,
836781359,False,secondary,50,True,29.981,"LINESTRING (174.6612387 -36.3962743, 174.661297 -36.3962717, 174.6613354 -36.3962673, 174.6613737 -36.39626, 174.6614075 -36.3962457, 174.6614373 -36.3962248, 174.6614632 -36.3961993, 174.6614823 -36.396172, 174.6614923 -36.3961401)",2,Sandspit Road,,
836781357,False,secondary,50,False,7.216,"LINESTRING (174.6611897 -36.3964652, 174.6611622 -36.3965262)",2,Sandspit Road,,
836781358,False,secondary,50,True,3.25,"LINESTRING (174.6611897 -36.3964652, 174.6612009 -36.3964374)",2,Sandspit Road,,
85932477,False,residential,,False,77.435,"LINESTRING (174.6611897 -36.3964652, 174.6612655 -36.3964909, 174.6618495 -36.3967714, 174.6619516 -36.3967615)",2,Millstream Place,,
834789043,False,secondary,,False,213.00000000000003,"LINESTRING (174.6610507 -36.3942985, 174.6609379 -36.3947236, 174.6608613 -36.3950311, 174.6608498 -36.3952701, 174.660854 -36.3953615, 174.6608742 -36.3954745, 174.660916 -36.3955719, 174.6610705 -36.3958248, 174.6611444 -36.3959393, 174.6612028 -36.3960563, 174.661225 -36.3961368)",2,Matakana Road,,
40802069,False,unclassified,50,False,129.983,"LINESTRING (174.6631951 -36.3981201, 174.6632667 -36.3980718, 174.663359 -36.3980143, 174.6635033 -36.3979091, 174.6635913 -36.3978463, 174.6638256 -36.3976791, 174.6638913 -36.397633, 174.6639135 -36.3976236, 174.6640275 -36.3975753, 174.6641824 -36.3975245, 174.6643017 -36.3974911, 174.6643829 -36.3974814)",2,Queen Street,,
"[186824458, 813327765, 186824455]",False,secondary,,True,155.334,"LINESTRING (174.6631951 -36.3981201, 174.6631919 -36.3981106, 174.663181 -36.3980909, 174.6631651 -36.3980694, 174.663143 -36.3980544, 174.6631168 -36.3980421, 174.6630918 -36.3980322, 174.6630023 -36.3980066, 174.6629773 -36.3979998, 174.6625171 -36.3978635, 174.6623935 -36.3978279, 174.6623673 -36.3978201, 174.662009 -36.3977082, 174.6616527 -36.3975246)",2,Elizabeth Street,yes,
"[85932478, 1268299006]",False,secondary,50,True,260.69899999999996,"LINESTRING (174.6631951 -36.3981201, 174.6632084 -36.3981853, 174.6632113 -36.3982224, 174.663213 -36.3982511, 174.6632177 -36.39829, 174.6632285 -36.3983614, 174.6632539 -36.3984693, 174.6634433 -36.3991829, 174.6634743 -36.3993034, 174.6636042 -36.3998097, 174.6636521 -36.3999961, 174.6636876 -36.4001345, 174.6637139 -36.4002226, 174.6637398 -36.4002643, 174.663778 -36.4002999, 174.663822 -36.400335, 174.6638757 -36.4003709)",,Mill Lane,,
40802560,True,unclassified,50,False,24.372999999999998,"LINESTRING (174.665779 -36.3976593, 174.6657156 -36.3976332, 174.6656727 -36.3976156, 174.6655637 -36.3975855, 174.6655278 -36.3975762)",,Queen Street,,
