osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction,bridge,ref,width
25775234,Hobson Street,residential,50,False,False,77.455,"LINESTRING (175.566186 -40.2227469, 175.5669768 -40.2223996)",,,,,
226210208,Beattie Street,residential,50,False,False,251.163,"LINESTRING (175.566186 -40.2227469, 175.567673 -40.2244991, 175.5677202 -40.2245548, 175.5677947 -40.2246425)",,,,,
25775137,Hobson Street,unclassified,50,False,False,69.503,"LINESTRING (175.5655852 -40.223124, 175.5655379 -40.2231455, 175.5648865 -40.2234497)",,,,,
257732469,Aorangi Street,secondary,50,False,True,214.406,"LINESTRING (175.5655852 -40.223124, 175.5657937 -40.2233495, 175.5658778 -40.2234466, 175.5662217 -40.2238499, 175.5666778 -40.2243812, 175.5668031 -40.2245304, 175.5668702 -40.2246102, 175.5669709 -40.2247357)",,,,,
25775234,Hobson Street,residential,50,False,True,77.455,"LINESTRING (175.5669768 -40.2223996, 175.566186 -40.2227469)",,,,,
25775236,Weld Street,residential,50,False,False,123.63,"LINESTRING (175.5669768 -40.2223996, 175.5677442 -40.2233445)",,,,,
25775233,Stafford Street,unclassified,50,False,True,120.237,"LINESTRING (175.5656191 -40.2243751, 175.5648865 -40.2234497)",,,,,
25775202,Bowen Street,unclassified,50,False,False,183.76,"LINESTRING (175.5656191 -40.2243751, 175.5655542 -40.2244055, 175.5650898 -40.2246229, 175.5649336 -40.2246961, 175.5646286 -40.2248389, 175.5640448 -40.2251122, 175.5637981 -40.2252206, 175.5637692 -40.2252329)",2,,,,
25775233,Stafford Street,unclassified,50,False,False,116.512,"LINESTRING (175.5656191 -40.2243751, 175.565899 -40.2247166, 175.5660798 -40.2249371, 175.5663276 -40.2252395, 175.566333 -40.2252673)",,,,,
25870971,Manchester Street,tertiary,50,False,False,37.119,"LINESTRING (175.5644093 -40.226178, 175.5643958 -40.2261297, 175.564316 -40.2260292, 175.5642007 -40.2258874)",2,,,,
25870992,,tertiary,50,True,False,10.373,"LINESTRING (175.5644093 -40.226178, 175.5644309 -40.2261692, 175.5644541 -40.2261633, 175.5644782 -40.2261605, 175.5645027 -40.2261609, 175.5645266 -40.2261645)",1,roundabout,,,
"[691966325, 25775174]",South Street,secondary,50,False,False,210.557,"LINESTRING (175.561555 -40.229642, 175.5614473 -40.2296341, 175.5612878 -40.2296038, 175.560971 -40.2295453, 175.560615 -40.2294662, 175.5594497 -40.2292544, 175.5592719 -40.2292214, 175.5591463 -40.2291954)",,,,,
