osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed
138524187,Nash Parade,residential,False,False,210.663,"LINESTRING (175.2241901 -40.4613098, 175.224335 -40.4613727, 175.2244787 -40.4614544, 175.2246119 -40.4615381, 175.2247319 -40.4616327, 175.2248362 -40.4617356, 175.2249191 -40.4618359, 175.2250094 -40.4619806, 175.2254331 -40.4627476, 175.225493 -40.4628668)",,
138524187,Nash Parade,residential,False,True,33.706,"LINESTRING (175.2241901 -40.4613098, 175.2242253 -40.4612559, 175.2242879 -40.4610917, 175.2243099 -40.4610217)",,
138524462,Bond Street,residential,False,True,177.72499999999997,"LINESTRING (175.2241901 -40.4613098, 175.2240045 -40.4612396, 175.2238282 -40.461194, 175.2236735 -40.461159, 175.2234883 -40.4611342, 175.2232922 -40.4611196, 175.2230448 -40.4611082, 175.2221319 -40.4611051)",,
138524158,Carthew Terrace,residential,False,True,211.976,"LINESTRING (175.2263988 -40.4614482, 175.2266549 -40.4618026, 175.2270503 -40.4626233, 175.2274953 -40.4631133, 175.2275234 -40.4631374)",,
138524207,Thomas Place,residential,False,True,62.9,"LINESTRING (175.2284574 -40.4619698, 175.228192 -40.4624982)",,
138524172,Hart Street,residential,False,True,133.688,"LINESTRING (175.2284574 -40.4619698, 175.2283977 -40.4619489, 175.2275283 -40.4610054)",,
138524207,Thomas Place,residential,False,False,62.9,"LINESTRING (175.228192 -40.4624982, 175.2284574 -40.4619698)",,
138524207,Thomas Place,residential,False,True,86.182,"LINESTRING (175.228192 -40.4624982, 175.2279662 -40.4629395, 175.2279089 -40.4630185, 175.2277327 -40.4631425, 175.227705 -40.4631619)",,
138524187,Nash Parade,residential,False,False,146.07600000000002,"LINESTRING (175.225493 -40.4628668, 175.2256464 -40.4632023, 175.2257044 -40.4633377, 175.2257572 -40.4634944, 175.2258514 -40.4640056, 175.2258697 -40.4641028, 175.2258771 -40.4641423)",,
138524187,Nash Parade,residential,False,True,210.66300000000004,"LINESTRING (175.225493 -40.4628668, 175.2254331 -40.4627476, 175.2250094 -40.4619806, 175.2249191 -40.4618359, 175.2248362 -40.4617356, 175.2247319 -40.4616327, 175.2246119 -40.4615381, 175.2244787 -40.4614544, 175.224335 -40.4613727, 175.2241901 -40.4613098)",,
