osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,bridge
32030595,Cathedral Square,unclassified,30,False,True,8.747,"LINESTRING (172.6378899 -43.5310073, 172.6379742 -43.5309741, 172.6379858 -43.5309706)",,,
"[116345266, 775202292, 99626839]",Cathedral Square,unclassified,30,False,True,131.319,"LINESTRING (172.6378899 -43.5310073, 172.6378527 -43.5309633, 172.6378293 -43.5309345, 172.6378211 -43.5309175, 172.6378139 -43.5308994, 172.6378048 -43.53088, 172.6377912 -43.5308603, 172.6377666 -43.5308344, 172.6377436 -43.5308179, 172.6377204 -43.5308046, 172.6376907 -43.5307896, 172.6375896 -43.530749, 172.6370248 -43.5305243, 172.6369047 -43.5304734, 172.6368684 -43.5304523, 172.6368204 -43.5304213, 172.6367746 -43.5303882, 172.6367479 -43.5303666, 172.6367047 -43.5303283, 172.6366857 -43.5303103, 172.6366613 -43.5302814)",2,yes,
"[114914210, 76966218, 346180061, 114914215]","['Colombo Street', 'Cathedral Square']",unclassified,30,False,"[False, True]",169.81200000000004,"LINESTRING (172.6378899 -43.5310073, 172.6377064 -43.5310982, 172.6368543 -43.531442, 172.636788 -43.5314713, 172.6367595 -43.5314858, 172.6367249 -43.531506, 172.6367026 -43.5315229, 172.6366822 -43.5315412, 172.6366651 -43.5315629, 172.6366546 -43.5315807, 172.6366466 -43.5316001, 172.636641 -43.531621, 172.6366385 -43.5316379, 172.6366373 -43.5316509, 172.6366362 -43.5316624, 172.6366354 -43.5316758, 172.6366351 -43.5316822, 172.6366333 -43.5318691, 172.636633 -43.5319221, 172.6366328 -43.5319582, 172.636633 -43.5319785, 172.6366328 -43.5320333)",2,yes,
"[493360448, 116347779, 41655460, 41655461]",Durham Street South,secondary,30,True,False,136.71800000000002,"LINESTRING (172.6328476 -43.5331322, 172.6328561 -43.5332272, 172.6328573 -43.5332941, 172.6328589 -43.5333384, 172.6328658 -43.5333863, 172.6328834 -43.5334565, 172.6328984 -43.5334967, 172.6329139 -43.5335344, 172.6329356 -43.5335792, 172.6329663 -43.5336191, 172.6329913 -43.5336538, 172.633018 -43.5336827, 172.6330339 -43.5336991, 172.6331221 -43.5337828, 172.6333792 -43.534007, 172.6333853 -43.5340127, 172.6334125 -43.5340385, 172.6334621 -43.5340878, 172.6335126 -43.5341418, 172.6335597 -43.5342059)","['2', '3']",,yes
1056154532,Cashel Street,unclassified,30,False,True,27.142000000000003,"LINESTRING (172.6328476 -43.5331322, 172.632739 -43.533138, 172.6325112 -43.5331382)",3,,
"[114914208, 114914220, 683819892, 95465477]","['Cashel Street', 'High Street']",unclassified,10,False,False,255.38100000000003,"LINESTRING (172.6396921 -43.5330994, 172.6395457 -43.5331092, 172.6394786 -43.5331097, 172.6390658 -43.5331129, 172.6384989 -43.5331155, 172.6384381 -43.5331233, 172.638418 -43.5331265, 172.6383987 -43.533132, 172.6383794 -43.5331431, 172.6383633 -43.5331565, 172.6383496 -43.5331724, 172.6383402 -43.5331909, 172.6383374 -43.5332065, 172.6383395 -43.5332221, 172.6383456 -43.5332423, 172.638364 -43.5332756, 172.6384505 -43.5333371, 172.6391203 -43.5338233, 172.6391337 -43.5338294, 172.63915 -43.5338355, 172.6391711 -43.5338407, 172.6391814 -43.5338422, 172.6392007 -43.5338433, 172.6392267 -43.5338435, 172.6392523 -43.5338434, 172.6395431 -43.5338426, 172.6395921 -43.5338424, 172.6396929 -43.5338421)",2,yes,
830501797,Manchester Street,secondary,30,False,True,82.585,"LINESTRING (172.6396921 -43.5330994, 172.6396921 -43.5332029, 172.6396921 -43.5336544, 172.6396929 -43.5338421)",4,,
"[993555377, 683819893]",Manchester Street,secondary,30,False,False,118.86800000000001,"LINESTRING (172.6396921 -43.5330994, 172.6396908 -43.5330185, 172.639691 -43.5328155, 172.6396898 -43.5324908, 172.6396886 -43.532182, 172.6396885 -43.5321461, 172.6396881 -43.5320304)",4,,
1056154531,Cashel Street,tertiary,30,False,True,67.764,"LINESTRING (172.6396921 -43.5330994, 172.6398554 -43.5330944, 172.6398897 -43.5330933, 172.6399036 -43.5330933, 172.6403997 -43.5330923, 172.6405325 -43.533092)",2,yes,
231161094,Montreal Street,secondary,30,True,False,119.16799999999999,"LINESTRING (172.6306056 -43.5309367, 172.6306054 -43.5308887, 172.6306053 -43.5308744, 172.6306047 -43.5307356, 172.6306031 -43.5303693, 172.6306029 -43.5303351, 172.6306022 -43.5301785, 172.6306012 -43.5299492, 172.6306008 -43.529865)",2,,
4830778,Worcester Street,residential,30,False,False,121.769,"LINESTRING (172.6420335 -43.5309284, 172.6419278 -43.530928, 172.6417769 -43.5309253, 172.6416688 -43.5309257, 172.6409131 -43.5309281, 172.6405231 -43.5309284)",2,yes,
4891254,Latimer Square,residential,50,False,False,120.513,"LINESTRING (172.6420335 -43.5309284, 172.6420307 -43.5299361, 172.6420304 -43.5298446)",,yes,
4891254,Latimer Square,residential,50,False,True,122.081,"LINESTRING (172.6420335 -43.5309284, 172.6420352 -43.5315276, 172.6420364 -43.531946, 172.6420366 -43.5320263)",,yes,
22779461,Cambridge Terrace,secondary,30,True,False,106.99000000000001,"LINESTRING (172.6334813 -43.5298618, 172.6333855 -43.5299481, 172.6331928 -43.5301191, 172.6330186 -43.530277, 172.6329509 -43.5303545, 172.6329269 -43.5303923, 172.632902 -43.5304339, 172.6328839 -43.5304747, 172.6328684 -43.5305238, 172.6328615 -43.5305609, 172.6328563 -43.5306161, 172.632856 -43.5306798)",2,,
"[495607738, 114770267, 32050485]",Gloucester Street,unclassified,30,False,False,73.032,"LINESTRING (172.6334813 -43.5298618, 172.6336087 -43.5298737, 172.6339895 -43.5298753, 172.6342498 -43.5298749, 172.6342732 -43.5298749, 172.6343861 -43.5298772)",2,yes,yes
"[337504027, 1056154534]",Gloucester Street,tertiary,30,False,True,232.22199999999998,"LINESTRING (172.6334813 -43.5298618, 172.6333123 -43.5298609, 172.6332811 -43.5298607, 172.63326 -43.5298606, 172.6330387 -43.5298601, 172.6325911 -43.5298591, 172.6322087 -43.5298596, 172.6317928 -43.5298599, 172.6315988 -43.5298614, 172.6307114 -43.5298646, 172.6306008 -43.529865)",3,,
"[1133016277, 1133016276, 24721413]",Colombo Street,tertiary,30,False,False,241.039,"LINESTRING (172.6366328 -43.5320333, 172.6366332 -43.5321148, 172.6366334 -43.5321577, 172.636635 -43.5325296, 172.6366359 -43.5327315, 172.6366371 -43.5330023, 172.6366373 -43.5330453, 172.6366376 -43.5331081, 172.6366377 -43.5331433, 172.6366381 -43.5332352, 172.6366382 -43.5332438, 172.6366387 -43.5333482, 172.6366392 -43.5334708, 172.6366419 -43.5340904, 172.6366421 -43.5341385, 172.6366424 -43.534201)",2,yes,
"[114914210, 76966218, 346180061, 114914215]","['Colombo Street', 'Cathedral Square']",unclassified,30,False,"[False, True]",169.81200000000004,"LINESTRING (172.6366328 -43.5320333, 172.636633 -43.5319785, 172.6366328 -43.5319582, 172.636633 -43.5319221, 172.6366333 -43.5318691, 172.6366351 -43.5316822, 172.6366354 -43.5316758, 172.6366362 -43.5316624, 172.6366373 -43.5316509, 172.6366385 -43.5316379, 172.636641 -43.531621, 172.6366466 -43.5316001, 172.6366546 -43.5315807, 172.6366651 -43.5315629, 172.6366822 -43.5315412, 172.6367026 -43.5315229, 172.6367249 -43.531506, 172.6367595 -43.5314858, 172.636788 -43.5314713, 172.6368543 -43.531442, 172.6377064 -43.5310982, 172.6378899 -43.5310073)",2,yes,
"[235373640, 1056154537, 116350190, 32050447, 346180063]",Hereford Street,tertiary,30,False,"[False, True]",304.421,"LINESTRING (172.6366328 -43.5320333, 172.6365358 -43.5320334, 172.6362105 -43.5320336, 172.6359104 -43.5320339, 172.6358453 -43.5320339, 172.6355854 -43.5320341, 172.635311 -43.5320343, 172.635284 -43.5320343, 172.6351768 -43.5320344, 172.6345597 -43.5320349, 172.6343521 -43.5320351, 172.6339974 -43.5320353, 172.6339481 -43.5320353, 172.633853 -43.5320354, 172.6337655 -43.5320355, 172.6337458 -43.5320355, 172.6337214 -43.5320355, 172.6334069 -43.5320358, 172.633372 -43.5320358, 172.6330938 -43.532036, 172.6329813 -43.5320361, 172.6328566 -43.5320362)","['2', '3']",yes,yes
"[1255163328, 1255163329, 1015728521, 318023473, 1056154550, 1056154551]",Hereford Street,tertiary,30,False,False,246.30299999999997,"LINESTRING (172.6366328 -43.5320333, 172.6366798 -43.5320333, 172.6367865 -43.5320332, 172.6368267 -43.5320331, 172.6368898 -43.5320331, 172.6371909 -43.5320328, 172.6378313 -43.5320322, 172.6378657 -43.5320322, 172.6380056 -43.532032, 172.6381624 -43.5320319, 172.6384767 -43.5320316, 172.6389203 -43.5320311, 172.639018 -43.532031, 172.6390453 -43.532031, 172.6394195 -43.5320307, 172.6394646 -43.5320306, 172.6395058 -43.5320306, 172.6395546 -43.5320305, 172.6396881 -43.5320304)","['2', '3', '4']",yes,
473921916,Cambridge Terrace,unclassified,30,True,False,18.338,"LINESTRING (172.6304262 -43.5342089, 172.6305168 -43.5341796, 172.6305281 -43.5341741, 172.6305553 -43.5341629, 172.6305828 -43.5341467, 172.6306151 -43.534121)",1,,
