osmid,highway,oneway,reversed,length,geometry,ref,name,lanes,maxspeed,junction
150037898,residential,False,True,97.554,"LINESTRING (27.9721617 27.0545628, 27.9718325 27.0545945, 27.9711847 27.0546745)",,,,,
150037898,residential,False,True,70.856,"LINESTRING (27.9711847 27.0546745, 27.9704779 27.0547737)",,,,,
150037914,residential,False,False,77.966,"LINESTRING (27.9711847 27.0546745, 27.971288 27.0553696)",,,,,
150037898,residential,False,False,97.554,"LINESTRING (27.9711847 27.0546745, 27.9718325 27.0545945, 27.9721617 27.0545628)",,,,,
150037898,residential,False,False,70.856,"LINESTRING (27.9704779 27.0547737, 27.9711847 27.0546745)",,,,,
150037898,residential,False,True,61.392,"LINESTRING (27.9704779 27.0547737, 27.9698651 27.0548573)",,,,,
150037905,residential,False,True,78.766,"LINESTRING (27.9704779 27.0547737, 27.9706442 27.0554664)",,,,,
150037898,residential,False,False,61.392,"LINESTRING (27.9698651 27.0548573, 27.9704779 27.0547737)",,,,,
150037898,residential,False,True,63.35,"LINESTRING (27.9698651 27.0548573, 27.9692321 27.0549397)",,,,,
150037909,residential,False,False,78.978,"LINESTRING (27.9698651 27.0548573, 27.9699415 27.0555643)",,,,,
150037898,residential,False,False,63.35,"LINESTRING (27.9692321 27.0549397, 27.9698651 27.0548573)",,,,,
762210816,residential,False,False,69.539,"LINESTRING (27.9692321 27.0549397, 27.968536 27.0550221)",,,,,
771921117,trunk,False,False,83.639,"LINESTRING (27.9692321 27.0549397, 27.9693366 27.0556861)",221,"طريق الفرافرة, الواحات الداخلة",,,
869083830,trunk,True,False,75.714,"LINESTRING (27.9723029 27.055232, 27.9721617 27.0545628)",,شارع مبارك,,,
150037908,residential,False,True,101.66,"LINESTRING (27.9723029 27.055232, 27.9722082 27.0552446, 27.971288 27.0553696)",,,,,
150037908,residential,False,True,64.656,"LINESTRING (27.971288 27.0553696, 27.9706442 27.0554664)",,,,,
150037914,residential,False,False,77.339,"LINESTRING (27.971288 27.0553696, 27.9714113 27.0560564)",,,,,
