osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,width
447893966,unclassified,False,False,72.313,"LINESTRING (34.6903961 -0.4287222, 34.6897668 -0.4288863)",,,,
447893966,unclassified,False,True,125.697,"LINESTRING (34.6903961 -0.4287222, 34.6904951 -0.428664, 34.6905354 -0.4286264, 34.6905525 -0.4285658, 34.6905102 -0.4276693)",,,,
"[998040724, 998040725]",primary,False,False,163.435,"LINESTRING (34.6903961 -0.4287222, 34.6905117 -0.429401, 34.6906053 -0.4301766)",2,C864,Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,8
998040725,primary,False,True,137.71099999999998,"LINESTRING (34.6903961 -0.4287222, 34.6902185 -0.4279743, 34.6900016 -0.4275576)",2,C864,Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,8
244819317,unclassified,False,False,188.56599999999997,"LINESTRING (34.6912019 -0.4266353, 34.6913885 -0.4265934, 34.6915899 -0.4266583, 34.6918364 -0.4268083, 34.6921681 -0.4269177, 34.6924187 -0.4269953, 34.6927752 -0.42708, 34.6928016 -0.4270789)",,,,
244819317,unclassified,False,True,182.961,"LINESTRING (34.6912019 -0.4266353, 34.691067 -0.426706, 34.6909612 -0.4267765, 34.6908023 -0.4268259, 34.6906506 -0.4268542, 34.69034 -0.4268718, 34.6899836 -0.4269036, 34.6897648 -0.4269636, 34.6896274 -0.4270225)",,,,
998040725,primary,False,True,13.746,"LINESTRING (34.6896274 -0.4270225, 34.689547 -0.4269286)",2,C864,Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,8
244819317,unclassified,False,False,182.961,"LINESTRING (34.6896274 -0.4270225, 34.6897648 -0.4269636, 34.6899836 -0.4269036, 34.69034 -0.4268718, 34.6906506 -0.4268542, 34.6908023 -0.4268259, 34.6909612 -0.4267765, 34.691067 -0.426706, 34.6912019 -0.4266353)",,,,
998040725,primary,False,False,72.643,"LINESTRING (34.6896274 -0.4270225, 34.6896911 -0.427113, 34.6898755 -0.4273604, 34.6900016 -0.4275576)",2,C864,Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,8
447893966,unclassified,False,False,63.303,"LINESTRING (34.6900016 -0.4275576, 34.6903825 -0.4275415, 34.6904251 -0.4275573, 34.6904737 -0.4276018, 34.6905102 -0.4276693)",,,,
998040725,primary,False,False,137.71099999999998,"LINESTRING (34.6900016 -0.4275576, 34.6902185 -0.4279743, 34.6903961 -0.4287222)",2,C864,Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,8
998040725,primary,False,True,72.643,"LINESTRING (34.6900016 -0.4275576, 34.6898755 -0.4273604, 34.6896911 -0.427113, 34.6896274 -0.4270225)",2,C864,Kendu Bay-Kosele- Oyugis-Rioma-Marani- Nyabioto,8
447893896,unclassified,False,True,192.77699999999996,"LINESTRING (34.6905102 -0.4276693, 34.6906416 -0.4276492, 34.6906655 -0.4276494, 34.6906896 -0.4276548, 34.6909102 -0.4277447, 34.6909323 -0.4277587, 34.6909487 -0.4277752, 34.6911318 -0.4283726, 34.6912767 -0.4289815, 34.6912823 -0.4289941)",,,,
447893966,unclassified,False,False,125.697,"LINESTRING (34.6905102 -0.4276693, 34.6905525 -0.4285658, 34.6905354 -0.4286264, 34.6904951 -0.428664, 34.6903961 -0.4287222)",,,,
