osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,junction,bridge,maxspeed,width
681037064,True,2,B21,trunk,False,100.291,"LINESTRING (36.9476612 -0.4185765, 36.9478664 -0.4184799, 36.9480394 -0.4184651, 36.9481279 -0.4184631, 36.9482164 -0.4184772, 36.9483264 -0.418506, 36.9483774 -0.4185322, 36.9485155 -0.4185965)",,,,,
35286806,False,2,,residential,True,55.618,"LINESTRING (36.9500564 -0.4196627, 36.9499503 -0.4201515)",,,,,
97540773,False,2,,unclassified,True,74.081,"LINESTRING (36.9500564 -0.4196627, 36.9495126 -0.4192778)",Chania Bridge,,,,
35286806,False,2,,residential,False,49.107,"LINESTRING (36.9500564 -0.4196627, 36.9501154 -0.4195299, 36.950165 -0.4194575, 36.9502348 -0.4193945, 36.9503246 -0.4193234)",,,,,
97540773,False,2,,unclassified,False,171.08100000000002,"LINESTRING (36.9500564 -0.4196627, 36.9502396 -0.4198129, 36.9506785 -0.4200984, 36.950802 -0.4201964, 36.9508745 -0.4202731, 36.9509384 -0.4203966, 36.9509299 -0.4204946, 36.9508787 -0.4207673)",Chania Bridge,,,,
35286816,True,1,,unclassified,False,17.176000000000002,"LINESTRING (36.950759 -0.4216256, 36.9507427 -0.4216518, 36.9507195 -0.4216723, 36.9506914 -0.4216852, 36.9506608 -0.4216894, 36.9506303 -0.4216847)",,roundabout,,,
35286798,True,1,,unclassified,False,7.973,"LINESTRING (36.9496638 -0.4213873, 36.9496489 -0.4213972, 36.949632 -0.4214033, 36.9496141 -0.4214051, 36.9495964 -0.4214027)",,roundabout,no,,
35286800,True,1,,unclassified,False,10.104,"LINESTRING (36.9483527 -0.4208962, 36.9483881 -0.4209321, 36.9484184 -0.4209589)",,,,,
245351339,False,2,,unclassified,False,161.286,"LINESTRING (36.9483527 -0.4208962, 36.9480802 -0.4204105, 36.9476035 -0.4196547)",,,,50,
35286799,True,1,,unclassified,False,10.02,"LINESTRING (36.952909 -0.4222239, 36.952939 -0.4222231, 36.9529675 -0.4222326, 36.9529912 -0.4222511)",,roundabout,,,
35286812,True,1,,unclassified,False,7.042,"LINESTRING (36.9523609 -0.4219656, 36.9523473 -0.4219639, 36.9523227 -0.4219609, 36.9523001 -0.4219506)",,roundabout,,,
681037064,True,2,B21,trunk,False,8.373,"LINESTRING (36.9485155 -0.4185965, 36.9485808 -0.418634)",,,,,
"[713583385, 35286803]",False,2,B21,trunk,False,109.824,"LINESTRING (36.9483854 -0.4212007, 36.9483268 -0.4215057, 36.9482238 -0.4219578, 36.9481735 -0.4221652)",Nyeri Karatina Road,,,,
681856487,True,1,B21,trunk,False,19.62,"LINESTRING (36.9483854 -0.4212007, 36.9483693 -0.4211406, 36.9483975 -0.4210299)",,,,,
35286816,True,1,,unclassified,False,14.007000000000001,"LINESTRING (36.9505753 -0.4215214, 36.9505973 -0.4214989, 36.9506249 -0.4214837, 36.9506557 -0.4214773, 36.9506871 -0.4214802)",,roundabout,,,
35286806,False,2,,residential,False,85.566,"LINESTRING (36.9496434 -0.4212603, 36.9498667 -0.4205239)",,,,,
35286798,True,1,,unclassified,False,8.268,"LINESTRING (36.9496434 -0.4212603, 36.9496597 -0.4212694, 36.9496732 -0.4212821, 36.9496832 -0.4212978, 36.949689 -0.4213154)",,roundabout,no,,
35286807,True,1,,unclassified,False,173.646,"LINESTRING (36.9507601 -0.4215437, 36.9510743 -0.4216314, 36.9515182 -0.4217481, 36.9519688 -0.4218822, 36.9520426 -0.4218943, 36.9521227 -0.4218875, 36.9521975 -0.4218694, 36.9522696 -0.4218518)",Kimathi Way,,,,
35286816,True,1,,unclassified,False,9.321,"LINESTRING (36.9507601 -0.4215437, 36.950767 -0.4215708, 36.9507666 -0.4215987, 36.950759 -0.4216256)",,roundabout,,,
35286805,True,1,,unclassified,False,66.974,"LINESTRING (36.9524241 -0.4218666, 36.952909 -0.4222239)",Kimathi Way,,,,
35286812,True,1,,unclassified,False,14.177999999999999,"LINESTRING (36.9524241 -0.4218666, 36.9524226 -0.4219049, 36.9524038 -0.4219383, 36.9523609 -0.4219656)",,roundabout,,,
35286816,True,1,,unclassified,False,12.164000000000001,"LINESTRING (36.9506303 -0.4216847, 36.950584 -0.4216557, 36.9505582 -0.4216074)",,roundabout,,,
681859817,False,,,residential,False,118.12700000000001,"LINESTRING (36.9506303 -0.4216847, 36.9503972 -0.422608, 36.9503714 -0.422715)",Chania Bridge,,,,
35286812,True,1,,unclassified,False,5.141,"LINESTRING (36.9523001 -0.4219506, 36.95227 -0.4219155)",,roundabout,,,
169412579,False,,,residential,True,89.03200000000001,"LINESTRING (36.9523001 -0.4219506, 36.9522585 -0.4220056, 36.952229 -0.4220699, 36.9522035 -0.4221611, 36.9520627 -0.4227096)",,,,,
35286804,True,1,,unclassified,False,102.417,"LINESTRING (36.9505582 -0.4216074, 36.9496638 -0.4213873)",Kimathi Way,,,,
35286816,True,1,,unclassified,False,9.972000000000001,"LINESTRING (36.9505582 -0.4216074, 36.9505575 -0.4215626, 36.9505753 -0.4215214)",,roundabout,,,
679735020,True,,,unclassified,False,96.559,"LINESTRING (36.9530133 -0.4223149, 36.9537176 -0.4228229)",Kimathi Way,,,,
35286799,True,1,,unclassified,False,12.174,"LINESTRING (36.9530133 -0.4223149, 36.9530074 -0.4223416, 36.9529935 -0.4223652, 36.9529729 -0.4223833, 36.9529478 -0.4223941)",,roundabout,,,
35286808,True,1,,unclassified,False,101.177,"LINESTRING (36.949689 -0.4213154, 36.9505753 -0.4215214)",Kimathi Way,,,,
35286798,True,1,,unclassified,False,8.86,"LINESTRING (36.949689 -0.4213154, 36.9496902 -0.4213353, 36.9496862 -0.4213548, 36.9496772 -0.4213726, 36.9496638 -0.4213873)",,roundabout,no,,
35286798,True,1,,unclassified,False,9.792,"LINESTRING (36.9495616 -0.4212775, 36.9495858 -0.4212609, 36.9496146 -0.4212549, 36.9496434 -0.4212603)",,roundabout,no,,
35286798,True,1,,unclassified,False,10.030999999999999,"LINESTRING (36.949547 -0.4213614, 36.9495408 -0.4213397, 36.9495412 -0.4213172, 36.9495484 -0.4212958, 36.9495616 -0.4212775)",,roundabout,no,,
"[117721049, 35286802]",True,1,,unclassified,False,126.40899999999999,"LINESTRING (36.949547 -0.4213614, 36.9486939 -0.4211795, 36.9485195 -0.4211252, 36.9484813 -0.4211077, 36.948446 -0.4210891)",,,,,
35286812,True,1,,unclassified,False,22.863999999999997,"LINESTRING (36.9522696 -0.4218518, 36.9522828 -0.4218302, 36.952302 -0.4218137, 36.9523253 -0.421804, 36.9523577 -0.4218027, 36.952388 -0.4218143, 36.9524114 -0.4218367, 36.9524241 -0.4218666)",,roundabout,,,
97540773,False,2,,unclassified,False,82.084,"LINESTRING (36.9508787 -0.4207673, 36.9506871 -0.4214802)",Chania Bridge,,,,
318209927,False,,,residential,True,115.735,"LINESTRING (36.9508787 -0.4207673, 36.9498667 -0.4205239)",,,,,
