osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,maxspeed,width
30160448,2,C51,Kabarnet Road,secondary,False,False,278.637,"LINESTRING (35.7389655 0.4946285, 35.7391571 0.4946492, 35.7393731 0.4946191, 35.7395328 0.4945609, 35.7396661 0.494482, 35.739745 0.4943693, 35.7397845 0.4941984, 35.7397805 0.4939877, 35.7397807 0.493447, 35.7397882 0.4932498, 35.7398296 0.4931239, 35.7398784 0.4930413, 35.7399573 0.4929511, 35.7400925 0.4928653)",,
"[568923381, 213201863]",,,,residential,False,False,578.0260000000001,"LINESTRING (35.7389655 0.4946285, 35.7390618 0.4951833, 35.7392254 0.4959572, 35.7392887 0.4962565, 35.7394985 0.4971983, 35.7395384 0.4974371, 35.7395647 0.4976776, 35.7395983 0.4977822, 35.7396506 0.4978868, 35.7399671 0.4983093, 35.7404261 0.4988397, 35.7407087 0.4991662, 35.7408244 0.4993311)",,
612245459,,,,unclassified,False,False,54.957,"LINESTRING (35.7400925 0.4928653, 35.7399577 0.4923898)",,
30160448,2,C51,Kabarnet Road,secondary,False,False,225.36700000000002,"LINESTRING (35.7400925 0.4928653, 35.7402823 0.4928309, 35.7410475 0.4927176, 35.7418609 0.4925743, 35.7420935 0.4925447)",,
30160448,2,C51,Kabarnet Road,secondary,False,True,278.637,"LINESTRING (35.7400925 0.4928653, 35.7399573 0.4929511, 35.7398784 0.4930413, 35.7398296 0.4931239, 35.7397882 0.4932498, 35.7397807 0.493447, 35.7397805 0.4939877, 35.7397845 0.4941984, 35.739745 0.4943693, 35.7396661 0.494482, 35.7395328 0.4945609, 35.7393731 0.4946191, 35.7391571 0.4946492, 35.7389655 0.4946285)",,
30160448,2,C51,Kabarnet Road,secondary,False,True,322.233,"LINESTRING (35.7456503 0.4943482, 35.7455756 0.4943089, 35.7455456 0.4942768, 35.7455162 0.4942512, 35.7454951 0.494221, 35.7454237 0.494092, 35.7452667 0.4937113, 35.7450198 0.4930901, 35.7449052 0.4928102, 35.7448376 0.4927351, 35.7447399 0.4926787, 35.7445859 0.49266, 35.744151 0.4926515, 35.7437919 0.4926312)",,
700884926,,,Kabarnet to Kabartonjo Road,secondary,False,False,32.848,"LINESTRING (35.7456503 0.4943482, 35.7457003 0.4944631, 35.7457566 0.4945275, 35.7458197 0.4945838)",,
213201862,,,,unclassified,False,False,201.10399999999998,"LINESTRING (35.7458197 0.4945838, 35.7457325 0.4947112, 35.7456104 0.4947823, 35.7451773 0.4949459, 35.7447414 0.4950746, 35.7443753 0.4951189, 35.7441486 0.4951189)",,
700884926,,,Kabarnet to Kabartonjo Road,secondary,False,False,166.157,"LINESTRING (35.7458197 0.4945838, 35.7461989 0.4947792, 35.7464138 0.4948587, 35.7465667 0.494911, 35.7472345 0.4950223)",,
700884926,,,Kabarnet to Kabartonjo Road,secondary,False,True,32.848,"LINESTRING (35.7458197 0.4945838, 35.7457566 0.4945275, 35.7457003 0.4944631, 35.7456503 0.4943482)",,
213201862,,,,unclassified,False,False,157.166,"LINESTRING (35.7428116 0.4938275, 35.7429229 0.4937041, 35.7430691 0.4934533, 35.7432729 0.4928927, 35.7433909 0.4925521)",,
213201862,,,,unclassified,False,True,53.417,"LINESTRING (35.7428116 0.4938275, 35.7427029 0.4939978, 35.7426667 0.494089, 35.7426384 0.494267)",,
213201867,,,,residential,False,False,43.56099999999999,"LINESTRING (35.7428116 0.4938275, 35.7426667 0.4937497, 35.7424937 0.4937175, 35.7424428 0.4937242)",,
213201862,,,,unclassified,False,True,17.569,"LINESTRING (35.7426384 0.494267, 35.7426225 0.4944242)",,
213201862,,,,unclassified,False,False,53.417,"LINESTRING (35.7426384 0.494267, 35.7426667 0.494089, 35.7427029 0.4939978, 35.7428116 0.4938275)",,
213201868,,,,residential,False,True,85.156,"LINESTRING (35.7426384 0.494267, 35.7430111 0.4943055, 35.743142 0.4943122, 35.7432389 0.4943303, 35.7433975 0.4943609)",,
213201862,,,,unclassified,False,False,14.175,"LINESTRING (35.7441486 0.4951189, 35.7440226 0.4951383)",,
213201859,,,,residential,False,True,49.370000000000005,"LINESTRING (35.7441486 0.4951189, 35.74415 0.4950398, 35.7441393 0.4948225, 35.7440983 0.494681)",,
213201862,,,,unclassified,False,True,201.104,"LINESTRING (35.7441486 0.4951189, 35.7443753 0.4951189, 35.7447414 0.4950746, 35.7451773 0.4949459, 35.7456104 0.4947823, 35.7457325 0.4947112, 35.7458197 0.4945838)",,
213201862,,,,unclassified,False,False,17.569,"LINESTRING (35.7426225 0.4944242, 35.7426384 0.494267)",,
213201860,,,,residential,False,False,129.564,"LINESTRING (35.7426225 0.4944242, 35.7424572 0.4944966, 35.7416421 0.4950492)",,
213201862,,,,unclassified,False,True,228.085,"LINESTRING (35.7426225 0.4944242, 35.7425943 0.4947327, 35.7425916 0.4949392, 35.7426439 0.4950425, 35.7427821 0.4951551, 35.7429564 0.4951564, 35.743234 0.4951417, 35.7435358 0.4951417, 35.7440226 0.4951383)",,
30160448,2,C51,Kabarnet Road,secondary,False,False,45.482,"LINESTRING (35.7433909 0.4925521, 35.7434475 0.492569, 35.7437919 0.4926312)",,
30160448,2,C51,Kabarnet Road,secondary,False,True,144.848,"LINESTRING (35.7433909 0.4925521, 35.7431075 0.4925172, 35.7427188 0.4924958, 35.7423881 0.4925073, 35.7420935 0.4925447)",,
213201862,,,,unclassified,False,False,35.805,"LINESTRING (35.7433909 0.4925521, 35.7434687 0.4923684, 35.7434908 0.4922479)",,
