osmid,oneway,lanes,ref,highway,reversed,length,geometry,bridge,maxspeed,name
970045479,False,2,M-5,primary,False,45.379,"LINESTRING (17.8836742 44.0972555, 17.8835415 44.09731, 17.8833201 44.0973997, 17.8831824 44.0974599)",,,
970045480,False,,,tertiary,False,53.706,"LINESTRING (17.8836742 44.0972555, 17.8834437 44.097249, 17.883303 44.0972477, 17.8831096 44.0972428, 17.883002 44.0972443)",,,
"[1050267418, 176761739]",False,2,M-5,primary,True,112.50299999999999,"LINESTRING (17.8836742 44.0972555, 17.8838871 44.0971725, 17.8841521 44.0970571, 17.8844938 44.0968866, 17.8848626 44.0967135)",,,
970045479,False,2,M-5,primary,True,8.039,"LINESTRING (17.8782005 44.1006447, 17.8782679 44.100591)",,,
298175205,False,,,residential,True,141.042,"LINESTRING (17.8782005 44.1006447, 17.8780653 44.100618, 17.8779808 44.1005731, 17.8779048 44.1005015, 17.8778321 44.1004093, 17.8777544 44.1002928, 17.8776878 44.1002034, 17.8775004 44.0999191, 17.8774302 44.0998075, 17.8773727 44.0997417, 17.8772982 44.0997004, 17.8771939 44.0996637)",,,
773580118,False,,,unclassified,False,131.28300000000002,"LINESTRING (17.8782005 44.1006447, 17.8785753 44.1008403, 17.8789803 44.1010233, 17.8795978 44.1012635)",,,
"[772520163, 453741580, 970045479]",False,2,M-5,primary,False,201.07299999999998,"LINESTRING (17.8782005 44.1006447, 17.8779825 44.1008218, 17.877871 44.1009116, 17.8775931 44.101131, 17.8774131 44.1012732, 17.8767913 44.101767, 17.8765162 44.1019889)",yes,,
176761734,False,,,tertiary,False,25.54,"LINESTRING (17.877179 44.0987724, 17.8771638 44.0988079, 17.877131 44.0989064, 17.8770989 44.0989947)",,,
176761734,False,,,tertiary,True,191.719,"LINESTRING (17.877179 44.0987724, 17.8772212 44.0987363, 17.8772789 44.098715, 17.87769 44.0986356, 17.878173 44.0985338, 17.8787543 44.098404, 17.8794501 44.0982395)",,,
772521732,False,,,residential,True,66.3,"LINESTRING (17.877179 44.0987724, 17.8770599 44.0985924, 17.8769499 44.0983998, 17.8768668 44.0982207)",,50,
176761734,False,,,tertiary,True,37.755,"LINESTRING (17.8794501 44.0982395, 17.8798893 44.0981138)",,,
77767593,False,,,residential,True,66.097,"LINESTRING (17.8794501 44.0982395, 17.8794818 44.0982939, 17.8796748 44.0986256, 17.879765 44.0987892)",,,
176761734,False,,,tertiary,False,191.719,"LINESTRING (17.8794501 44.0982395, 17.8787543 44.098404, 17.878173 44.0985338, 17.87769 44.0986356, 17.8772789 44.098715, 17.8772212 44.0987363, 17.877179 44.0987724)",,,
159509345,False,,,residential,False,42.628,"LINESTRING (17.8806576 44.097956, 17.8808713 44.0983073)",,,Dr. Ante Starčevića
