osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,junction,bridge,maxspeed
203035841,True,2,Ulica branilaca,secondary,False,302.664,"LINESTRING (18.1195247 44.1312881, 18.1194496 44.1312225, 18.119358 44.1311268, 18.118581 44.1303218, 18.1184781 44.1302194, 18.1179201 44.1297057, 18.1176151 44.129448, 18.1173925 44.1292345, 18.1172304 44.1291259)",,,,
741094466,True,,Alije Izetbegovića,tertiary,False,10.104000000000001,"LINESTRING (18.1209531 44.1310973, 18.1209732 44.1310717, 18.1209921 44.1310564, 18.1210152 44.1310443, 18.1210414 44.1310361)",R 456,roundabout,,
742024216,False,,Alije Izetbegovića,tertiary,True,39.718,"LINESTRING (18.1209531 44.1310973, 18.1209061 44.1310609, 18.1206454 44.1308168)",R 456,,,
741049304,True,2,Ulica branilaca,tertiary,False,34.582,"LINESTRING (18.1213663 44.1325094, 18.1210871 44.1325034, 18.1209356 44.1324836)",,,,
877391709,False,,Rudarska,tertiary,True,53.818,"LINESTRING (18.1213663 44.1325094, 18.1214152 44.1326291, 18.1214541 44.1327432, 18.1215576 44.1329733)",R 456,,,
"[1032951185, 741094468, 741094469]",True,,Alije Izetbegovića,tertiary,False,42.165,"LINESTRING (18.1213663 44.1325094, 18.1213348 44.1324174, 18.121328 44.1323976, 18.1212953 44.1322389, 18.1212749 44.1321363)",R 456,,yes,
203040241,False,,,residential,True,62.481,"LINESTRING (18.1166343 44.1265233, 18.1165193 44.1265801, 18.1163754 44.1266317, 18.1162873 44.1266468, 18.1161883 44.1266469, 18.1160472 44.1266604, 18.1158988 44.1266781)",,,,
741094470,True,,Alije Izetbegovića,secondary,False,173.37900000000002,"LINESTRING (18.1166343 44.1265233, 18.1174884 44.1276812, 18.1176647 44.1278957)",R 456,,,
203035841,True,2,Ulica branilaca,secondary,False,10.976,"LINESTRING (18.11557 44.1267985, 18.1155679 44.1266998)",,,,
549040874,False,,,residential,False,67.506,"LINESTRING (18.11557 44.1267985, 18.1151791 44.1268736, 18.1150905 44.1268417, 18.1150746 44.1267872, 18.1150461 44.1265985)",,,,
549040846,False,,,residential,False,89.88800000000002,"LINESTRING (18.1205172 44.1281358, 18.1206537 44.1281184, 18.1208556 44.1281301, 18.1210283 44.1281698, 18.1210675 44.1281932, 18.1210901 44.1282236, 18.1211295 44.1284141, 18.1212497 44.1285602)",,,,
742017017,False,,Zeničkog partizanskog odreda (ZPO),residential,False,161.977,"LINESTRING (18.1205172 44.1281358, 18.1204764 44.1282109, 18.1203663 44.1284125, 18.1202252 44.1285928, 18.120117 44.1287311, 18.1200908 44.1287972, 18.1200934 44.1288603, 18.1201221 44.1289949, 18.1203029 44.1292484, 18.1203798 44.1293872, 18.120411 44.1294764)",,,,
742017017,False,,Zeničkog partizanskog odreda (ZPO),residential,True,127.72500000000001,"LINESTRING (18.1205172 44.1281358, 18.1204943 44.1280298, 18.1204879 44.1279725, 18.1205022 44.1279135, 18.1206018 44.1277558, 18.1207681 44.1274708, 18.1208405 44.1272975, 18.1208646 44.1271647, 18.1208823 44.1270383)",,,,
203035841,True,2,Ulica branilaca,secondary,False,178.935,"LINESTRING (18.1162252 44.1283083, 18.1159624 44.1279672, 18.1157636 44.1276784, 18.1156645 44.1274739, 18.1156007 44.1272596, 18.11557 44.1267985)",,,,
"[741999097, 203040249, 1032951188, 1032951189]",False,,,residential,False,131.272,"LINESTRING (18.1162252 44.1283083, 18.116365 44.1282536, 18.1165048 44.128199, 18.1166462 44.1281437, 18.1167089 44.1281171, 18.1169222 44.1280264, 18.1170358 44.1280886, 18.117131 44.1280965, 18.1172307 44.1280781, 18.1176647 44.1278957)",,,yes,
203035841,True,2,Ulica branilaca,secondary,False,70.313,"LINESTRING (18.1155679 44.1266998, 18.115551 44.1266431, 18.1154522 44.1264158, 18.1152902 44.1261646, 18.1152527 44.1261116)",,,,
"[203040241, 741999098, 1032951190]",False,,,residential,False,26.522,"LINESTRING (18.1155679 44.1266998, 18.1156301 44.1266954, 18.1157737 44.1266853, 18.1158988 44.1266781)",,,yes,
"[203040249, 1032951188, 741999097, 1032951189]",False,,,residential,True,131.27200000000002,"LINESTRING (18.1176647 44.1278957, 18.1172307 44.1280781, 18.117131 44.1280965, 18.1170358 44.1280886, 18.1169222 44.1280264, 18.1167089 44.1281171, 18.1166462 44.1281437, 18.1165048 44.128199, 18.116365 44.1282536, 18.1162252 44.1283083)",,,yes,
741094470,True,,Alije Izetbegovića,secondary,False,378.636,"LINESTRING (18.1176647 44.1278957, 18.1178283 44.1280522, 18.1182217 44.1284544, 18.1185002 44.1287399, 18.1187422 44.1289719, 18.1189904 44.1292297, 18.1194969 44.1297083, 18.1204791 44.1306362)",R 456,,,
203040241,False,,,residential,False,62.480999999999995,"LINESTRING (18.1158988 44.1266781, 18.1160472 44.1266604, 18.1161883 44.1266469, 18.1162873 44.1266468, 18.1163754 44.1266317, 18.1165193 44.1265801, 18.1166343 44.1265233)",,,,
"[203040241, 741999098, 1032951190]",False,,,residential,True,26.522000000000002,"LINESTRING (18.1158988 44.1266781, 18.1157737 44.1266853, 18.1156301 44.1266954, 18.1155679 44.1266998)",,,yes,
203040243,False,,7. Muslimanske brigade,residential,True,85.81200000000001,"LINESTRING (18.1208823 44.1270383, 18.1206809 44.1270512, 18.1205146 44.1270636, 18.1203362 44.1270954, 18.1201217 44.1271358, 18.1199518 44.1271598, 18.1198855 44.127147, 18.1198345 44.1271267)",,,,
742017017,False,,Zeničkog partizanskog odreda (ZPO),residential,False,127.725,"LINESTRING (18.1208823 44.1270383, 18.1208646 44.1271647, 18.1208405 44.1272975, 18.1207681 44.1274708, 18.1206018 44.1277558, 18.1205022 44.1279135, 18.1204879 44.1279725, 18.1204943 44.1280298, 18.1205172 44.1281358)",,,,
742017017,False,,Zeničkog partizanskog odreda (ZPO),residential,True,146.239,"LINESTRING (18.1208823 44.1270383, 18.1208941 44.126899, 18.120925 44.1267565, 18.1210385 44.1265587, 18.1210539 44.1264943, 18.1210485 44.1264321, 18.1210024 44.126268, 18.1209642 44.1261458, 18.1209358 44.1260276, 18.1209129 44.1259056, 18.1209156 44.1257515)",,,,
741952637,False,,,residential,False,82.03,"LINESTRING (18.1209156 44.1257515, 18.1219429 44.1257304)",,,,
742017017,False,,Zeničkog partizanskog odreda (ZPO),residential,False,146.239,"LINESTRING (18.1209156 44.1257515, 18.1209129 44.1259056, 18.1209358 44.1260276, 18.1209642 44.1261458, 18.1210024 44.126268, 18.1210485 44.1264321, 18.1210539 44.1264943, 18.1210385 44.1265587, 18.120925 44.1267565, 18.1208941 44.126899, 18.1208823 44.1270383)",,,,
203040243,False,,7. Muslimanske brigade,residential,False,158.11,"LINESTRING (18.1189371 44.1258966, 18.1191679 44.1260307, 18.1193132 44.1261513, 18.1194671 44.126337, 18.119567 44.1265138, 18.119642 44.1266627, 18.1198129 44.1270741, 18.1198345 44.1271267)",,,,
881590563,False,,4. juli,unclassified,False,12.231,"LINESTRING (18.1160365 44.132869, 18.1160478 44.1329787)",,,,
698356952,False,2,Melente Bošnjaka,residential,False,457.26200000000006,"LINESTRING (18.1160365 44.132869, 18.116117 44.1328748, 18.1161626 44.1328632, 18.1165971 44.1325879, 18.1167372 44.1325222, 18.1169672 44.1324436, 18.1170664 44.1324162, 18.1171453 44.1324109, 18.1172301 44.1324205, 18.1173038 44.1324334, 18.117457 44.1324898, 18.1178872 44.1326803, 18.118649 44.1330538, 18.1189051 44.1331402, 18.1190264 44.1331569, 18.1191 44.1331592, 18.1193039 44.1331429, 18.1195103 44.1331402, 18.1197501 44.1331469, 18.1201833 44.1331539, 18.1204756 44.133152, 18.1209452 44.1331363, 18.1210859 44.1331174, 18.1211987 44.1330939, 18.1212578 44.1330781)",,,,40
881589501,False,,V divizije NOP-a,residential,True,202.09199999999998,"LINESTRING (18.1160365 44.132869, 18.1159453 44.1328151, 18.1158166 44.1324513, 18.1157582 44.1323143, 18.1156235 44.1320855, 18.1153452 44.1317483, 18.1150126 44.1314326, 18.1149214 44.1313536, 18.1148315 44.1313147)",,,,
698356952,False,2,Melente Bošnjaka,residential,True,26.698999999999998,"LINESTRING (18.1215576 44.1329733, 18.1214288 44.1330261, 18.1213843 44.1330443, 18.1212578 44.1330781)",,,,40
877391709,False,,Rudarska,tertiary,False,53.818,"LINESTRING (18.1215576 44.1329733, 18.1214541 44.1327432, 18.1214152 44.1326291, 18.1213663 44.1325094)",R 456,,,
877391709,False,,Rudarska,tertiary,True,88.246,"LINESTRING (18.1215576 44.1329733, 18.1218691 44.133391, 18.1219788 44.133701)",R 456,,,
549040877,False,,,residential,True,177.77900000000002,"LINESTRING (18.1131047 44.1300273, 18.1131265 44.1298362, 18.1131645 44.1297043, 18.1133007 44.1295588, 18.1134676 44.12944, 18.113507 44.1293839, 18.1135298 44.1293187, 18.1135368 44.1292418, 18.1135242 44.1291679, 18.1133618 44.1288086, 18.1132911 44.1286397, 18.1132569 44.1285503)",,,,
698356951,False,,V divizije NOP-a,residential,False,38.924,"LINESTRING (18.1131047 44.1300273, 18.1132906 44.1302101, 18.1133855 44.1303134)",,,,
881590563,False,,4. juli,unclassified,True,12.231,"LINESTRING (18.1160478 44.1329787, 18.1160365 44.132869)",,,,
549829091,False,,,residential,False,10.624,"LINESTRING (18.1160478 44.1329787, 18.1160153 44.1330211, 18.1159836 44.1330624)",,,,40
881590563,False,,4. juli,unclassified,False,14.379999999999999,"LINESTRING (18.1160478 44.1329787, 18.1160903 44.1330384, 18.1161607 44.1330748)",,,,
204592702,False,,,residential,True,114.189,"LINESTRING (18.116911 44.1313173, 18.1167907 44.1312326, 18.1163804 44.13099, 18.1160934 44.1308803, 18.1157282 44.1307538)",,,,
204592702,False,,,residential,False,30.451,"LINESTRING (18.1153564 44.1307975, 18.1153969 44.1307904, 18.1155284 44.1307571, 18.115641 44.1307499, 18.1157282 44.1307538)",,,,
204592702,False,,,residential,True,75.13300000000001,"LINESTRING (18.1153564 44.1307975, 18.1151917 44.1308456, 18.1150634 44.1309265, 18.1149843 44.1310045, 18.1148315 44.1313147)",,,,
204592738,False,,,residential,False,169.71100000000004,"LINESTRING (18.1153564 44.1307975, 18.1154197 44.130863, 18.1157765 44.131275, 18.1158493 44.1313115, 18.1160531 44.1314039, 18.1161573 44.1314886, 18.1164286 44.131839, 18.1164662 44.1319622, 18.1165087 44.1320412)",,,,
549829057,False,,Osmana Džafića,residential,True,87.196,"LINESTRING (18.1219788 44.133701, 18.1217317 44.1337735, 18.1215607 44.1338522, 18.1214349 44.1339119, 18.1212611 44.1339931, 18.1210556 44.1341124)",,,,
877391709,False,,Rudarska,tertiary,False,88.246,"LINESTRING (18.1219788 44.133701, 18.1218691 44.133391, 18.1215576 44.1329733)",R 456,,,
698356951,False,,V divizije NOP-a,residential,True,34.063,"LINESTRING (18.1148315 44.1313147, 18.1144704 44.1311514)",,,,
204592702,False,,,residential,False,75.133,"LINESTRING (18.1148315 44.1313147, 18.1149843 44.1310045, 18.1150634 44.1309265, 18.1151917 44.1308456, 18.1153564 44.1307975)",,,,
