osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,bridge,junction
61417853,residential,False,False,156.55900000000003,"LINESTRING (15.8083126 45.1844914, 15.8082168 45.184775, 15.8081487 45.1850316, 15.8081168 45.1851831, 15.8081232 45.1853242, 15.8081764 45.1854007, 15.8082509 45.1854667, 15.8083701 45.1855267, 15.8084489 45.1855642, 15.8085745 45.1855897, 15.8087576 45.1855852)",,,,,,
61417853,residential,False,True,187.48499999999999,"LINESTRING (15.8083126 45.1844914, 15.8084169 45.1842663, 15.8084506 45.1841799, 15.8085213 45.1839917, 15.8086128 45.1838102, 15.8086575 45.1836631, 15.8086873 45.1834861, 15.808683 45.183294, 15.808616 45.1828449)",,,,,,
230117255,residential,False,False,125.21699999999998,"LINESTRING (15.8083126 45.1844914, 15.8079623 45.1844246, 15.8077061 45.1843693, 15.8075224 45.1843225, 15.8073494 45.1842677, 15.8071831 45.1842034, 15.807073 45.1841553, 15.8069956 45.1841214, 15.8068487 45.184059)",,,,,,
230117255,residential,False,True,162.47099999999998,"LINESTRING (15.8083126 45.1844914, 15.8087874 45.1845439, 15.8089577 45.1845604, 15.8092706 45.1845814, 15.8096048 45.1846039, 15.8099605 45.1846127, 15.8103749 45.1846212)",,,,,,
61417843,residential,False,True,104.64099999999999,"LINESTRING (15.809007 45.1839567, 15.8090378 45.1839132, 15.8091129 45.1838896, 15.809353 45.1838877, 15.8097574 45.1838743, 15.8102958 45.1838565)",,,,,,
230117255,residential,False,True,125.217,"LINESTRING (15.8068487 45.184059, 15.8069956 45.1841214, 15.807073 45.1841553, 15.8071831 45.1842034, 15.8073494 45.1842677, 15.8075224 45.1843225, 15.8077061 45.1843693, 15.8079623 45.1844246, 15.8083126 45.1844914)",,,,,,
591371669,primary,True,False,36.341,"LINESTRING (15.8068487 45.184059, 15.8067879 45.1840209, 15.8067296 45.1839774, 15.8065422 45.1838146)",1,M-4.2,Trg mladih,,,
"[61430417, 1000618677]",primary,False,False,163.037,"LINESTRING (15.8068487 45.184059, 15.8067374 45.1841332, 15.8063208 45.1844111, 15.8056416 45.1848597, 15.8053936 45.1850235, 15.8053332 45.1850634)","['2', '3']",M-4.2,Ibrahima Mržljaka,,,
61417845,residential,False,True,70.153,"LINESTRING (15.8110616 45.1824934, 15.8101831 45.1826143)",,,,,,
61417845,residential,False,False,205.903,"LINESTRING (15.8110616 45.1824934, 15.8113891 45.1824495, 15.8118421 45.1823923, 15.8119132 45.1823771, 15.8119702 45.1823347, 15.8119658 45.1822829, 15.8119235 45.1822278, 15.8111058 45.1813298)",,,,,,
