osmid,oneway,highway,maxspeed,reversed,length,lanes,name,geometry,ref,junction,access
207482909,False,residential,50,False,67.758,,,"LINESTRING (17.2534848 45.1501398, 17.2542172 45.1498165)",,,
128820158,False,residential,50,False,48.576,2,Kneza Lazara,"LINESTRING (17.2571058 45.1499241, 17.2571369 45.1500036, 17.2572843 45.1503424)",,,
128820158,False,residential,50,True,129.78,2,Kneza Lazara,"LINESTRING (17.2571058 45.1499241, 17.2570386 45.1497788, 17.2569466 45.1495797, 17.2568688 45.1492562, 17.2568606 45.1490401, 17.2568581 45.1487795)",,,
255485946,False,tertiary,50,True,206.08999999999997,2,Vidovdanska,"LINESTRING (17.2571058 45.1499241, 17.2560683 45.1497334, 17.2554831 45.1496117, 17.2551193 45.1495393, 17.2549315 45.1494903, 17.25471 45.1494286, 17.2545931 45.1493896)",,,
897017121,False,tertiary,50,True,310.17,2,Vidovdanska,"LINESTRING (17.2571058 45.1499241, 17.2572536 45.1499492, 17.2574102 45.1499774, 17.2586568 45.1502234, 17.2595659 45.1503977, 17.2604743 45.1505836, 17.2607971 45.1506496, 17.2609163 45.1506711)",,,
106060263,True,residential,50,False,181.531,,Obala Vojvode Stepe,"LINESTRING (17.2520704 45.1488479, 17.2524166 45.1491585, 17.252939 45.1496155, 17.2532229 45.1498836, 17.2534848 45.1501398)",,,
128820174,True,residential,50,False,78.365,2,Miloša Obilića,"LINESTRING (17.2520704 45.1488479, 17.2527244 45.1484638, 17.2528392 45.1483977)",,,
255479415,False,residential,50,True,103.62100000000001,,Dr Mladena Stojanovića,"LINESTRING (17.2520704 45.1488479, 17.2516921 45.1484773, 17.25161 45.14836, 17.2515674 45.1482508, 17.2515411 45.1481355, 17.2515188 45.1480915, 17.2514829 45.1480464, 17.2514679 45.1480345)",,,
128820158,False,residential,50,False,27.446,2,Kneza Lazara,"LINESTRING (17.257486 45.1508061, 17.2575917 45.1510414)",,,
128820158,False,residential,50,True,53.933,2,Kneza Lazara,"LINESTRING (17.257486 45.1508061, 17.2572843 45.1503424)",,,
255732632,False,residential,50,True,78.047,,,"LINESTRING (17.257486 45.1508061, 17.2565493 45.1510433)",,,
1049900990,False,tertiary,50,False,25.204,,,"LINESTRING (17.2494565 45.1440784, 17.2495472 45.1439714, 17.2496181 45.1438825)",,,
1055470548,False,tertiary,50,True,61.103,,Kozarskih brigada,"LINESTRING (17.2494565 45.1440784, 17.2491327 45.1445242, 17.2490975 45.144566)",,,
607279994,False,tertiary,50,False,78.929,3,Vidovdanska,"LINESTRING (17.2498911 45.1441649, 17.2503063 45.1448115)",,,
763461663,False,tertiary,50,True,17.705,2,Vidovdanska,"LINESTRING (17.2498911 45.1441649, 17.2497972 45.1440201)",,,
