osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,junction,access,bridge,ref,tunnel
198978137,2,Kneza Mihajla Viševića Humskog,secondary,False,True,154.83,"LINESTRING (17.8032607 43.3416938, 17.803329 43.3416724, 17.803926 43.341492, 17.8047026 43.3412743, 17.8050369 43.3411744)",,,,,,
429000615,1,Trg Hrvatskih velikana,secondary,True,False,21.687000000000005,"LINESTRING (17.8032607 43.3416938, 17.8032647 43.3417133, 17.8032625 43.3417414, 17.8032522 43.3417663, 17.8032351 43.3417883, 17.803196 43.3418162, 17.8031619 43.3418293, 17.8031245 43.341836)",30,roundabout,,,,
132941755,2,Maršala Tita,tertiary,False,False,69.393,"LINESTRING (17.8136867 43.3444479, 17.8136813 43.3445252, 17.8136658 43.3447366, 17.8136346 43.3449942, 17.813623 43.3450701)",,,,,,
460021170,2,Braće Brkić,tertiary,False,True,110.694,"LINESTRING (17.8136867 43.3444479, 17.813566 43.3444463, 17.8131063 43.3443819, 17.8127392 43.344351, 17.8124555 43.3443255, 17.8123321 43.344313)",,,,,,
155191383,,Mladena Balorde,residential,True,False,47.42,"LINESTRING (17.8123321 43.344313, 17.8123435 43.3443954, 17.8123739 43.344661, 17.8123893 43.3447373)",,,yes,,,
460021170,2,Braće Brkić,tertiary,False,False,110.694,"LINESTRING (17.8123321 43.344313, 17.8124555 43.3443255, 17.8127392 43.344351, 17.8131063 43.3443819, 17.813566 43.3444463, 17.8136867 43.3444479)",,,,,,
678452395,2,Braće Brkić,tertiary,False,False,43.841,"LINESTRING (17.8123321 43.344313, 17.8122202 43.3442987, 17.8120894 43.3442933, 17.8117937 43.3442694)",,,,,,
152654874,,Pere Lažetića,living_street,False,True,65.626,"LINESTRING (17.8125608 43.3459159, 17.8125344 43.3459069, 17.8123395 43.3459108, 17.8121598 43.3459157, 17.8119975 43.3459479, 17.8117655 43.3459908)",,,,,,
155191383,,Mladena Balorde,residential,True,False,146.952,"LINESTRING (17.8125608 43.3459159, 17.8125688 43.3462483, 17.8125651 43.3463396, 17.8125702 43.3465701, 17.8125755 43.3467476, 17.8125702 43.3470812, 17.8125635 43.3472372)",,,yes,,,
33924543,,Rudanova,residential,True,False,136.57600000000002,"LINESTRING (17.8117937 43.3442694, 17.811785 43.3443842, 17.8117251 43.3445972, 17.8117073 43.3446149, 17.8116595 43.3446623, 17.8116331 43.3447192, 17.8116072 43.3448116, 17.8115671 43.344946, 17.8115578 43.3449757, 17.8115443 43.3449964, 17.8115039 43.3450211, 17.8114262 43.3450594, 17.8113699 43.3450814, 17.8111437 43.3451697, 17.8110826 43.3451964, 17.8110339 43.345213, 17.8109805 43.345218)",,,,,,
