osmid,highway,oneway,reversed,length,lanes,ref,geometry,junction
567894959,residential,False,False,15.684,,,"LINESTRING (38.2868261 14.1043645, 38.2867659 14.1044929)",
224107039,trunk,True,False,86.513,2,B 30,"LINESTRING (38.2868261 14.1043645, 38.2866669 14.1042809, 38.2864929 14.1041476, 38.2862124 14.1038718)",
224106754,residential,False,False,49.796,,,"LINESTRING (38.2843872 14.1020747, 38.2842109 14.1024886)",
580787595,residential,False,True,15.109,,,"LINESTRING (38.2843872 14.1020747, 38.2844414 14.1019494)",
224107039,trunk,True,False,45.105999999999995,2,B 30,"LINESTRING (38.2843872 14.1020747, 38.2841654 14.1018671, 38.2840728 14.1018095)",
221168075,trunk,True,False,41.219,2,B 30,"LINESTRING (38.2827012 14.1012802, 38.2823646 14.1011046)",
224106976,residential,False,False,71.37,,,"LINESTRING (38.2827012 14.1012802, 38.2824616 14.1018785)",
224106752,residential,False,True,84.093,,,"LINESTRING (38.2820062 14.1009169, 38.2817442 14.1016292)",
567551982,residential,False,False,12.677,,,"LINESTRING (38.2820062 14.1009169, 38.2820462 14.1008097)",
221168075,trunk,True,False,49.708999999999996,2,B 30,"LINESTRING (38.2820062 14.1009169, 38.2817143 14.1007555, 38.2816069 14.1006936)",
224106827,residential,False,False,56.347,,,"LINESTRING (38.2795295 14.0995425, 38.2793578 14.1000211)",
221168075,trunk,True,False,57.17700000000001,2,B 30,"LINESTRING (38.2795295 14.0995425, 38.2793671 14.099459, 38.2792924 14.0994219, 38.2790655 14.099294)",
221168050,trunk,True,False,14.751000000000001,2,B 30,"LINESTRING (38.2835603 14.1013933, 38.2836058 14.1013949, 38.2836489 14.1014094, 38.2836856 14.1014357)",roundabout
567895008,tertiary,True,False,48.937,,,"LINESTRING (38.2835603 14.1013933, 38.2836151 14.1012655, 38.2837209 14.1009818)",
221168050,trunk,True,False,3.729,2,B 30,"LINESTRING (38.2835266 14.1014008, 38.2835603 14.1013933)",roundabout
221168050,trunk,True,False,3.961,2,B 30,"LINESTRING (38.2836856 14.1014357, 38.2837083 14.1014637)",roundabout
221168050,trunk,True,False,26.274,2,B 30,"LINESTRING (38.2837083 14.1014637, 38.2837234 14.1014963, 38.2837301 14.1015314, 38.2837268 14.1015725, 38.2837119 14.1016111, 38.2836867 14.1016442, 38.283653 14.1016694)",roundabout
224107038,trunk,True,False,47.474999999999994,2,B 30,"LINESTRING (38.2837083 14.1014637, 38.2839153 14.1015969, 38.284089 14.1016758)",
