osmid,highway,oneway,reversed,length,geometry,maxspeed
98219481,residential,False,False,47.919,"LINESTRING (43.5524053 5.9514061, 43.5520427 5.951642)",
98219481,residential,False,True,154.006,"LINESTRING (43.5524053 5.9514061, 43.5537789 5.9511786)",
98222640,residential,False,False,302.927,"LINESTRING (43.5524053 5.9514061, 43.5519855 5.948714)",
98422479,residential,False,False,134.578,"LINESTRING (43.5524053 5.9514061, 43.55242 5.95171, 43.5525572 5.9526057)",
98422482,residential,False,False,108.078,"LINESTRING (43.5507872 5.95139, 43.5514804 5.9520751)",93
309484807,secondary,False,False,50.07,"LINESTRING (43.5507872 5.95139, 43.5507326 5.950943)",
309484807,secondary,False,True,177.416,"LINESTRING (43.5507872 5.95139, 43.5502935 5.9529081)",
565218131,residential,False,True,81.635,"LINESTRING (43.5507872 5.95139, 43.5500631 5.9512475)",
98510834,residential,False,False,107.932,"LINESTRING (43.5529314 5.9546431, 43.5522204 5.955308)",93
98510834,residential,False,True,77.222,"LINESTRING (43.5529314 5.9546431, 43.5536207 5.9545323)",93
186585172,residential,False,False,158.373,"LINESTRING (43.5529314 5.9546431, 43.5531662 5.9560481)",
98422479,residential,False,True,230.35099999999997,"LINESTRING (43.5529314 5.9546431, 43.5526824 5.9533913, 43.5526284 5.9530319, 43.5525871 5.9528127, 43.5525572 5.9526057)",
98219481,residential,False,True,37.298,"LINESTRING (43.5514804 5.9520751, 43.5517478 5.9518707)",
98422482,residential,False,True,108.078,"LINESTRING (43.5514804 5.9520751, 43.5507872 5.95139)",93
98219481,residential,False,False,158.85999999999999,"LINESTRING (43.5514804 5.9520751, 43.5505881 5.9526984, 43.5503371 5.9529353)",
98422486,residential,False,False,154.794,"LINESTRING (43.5525572 5.9526057, 43.5539385 5.9523811)",93
98509317,residential,False,True,20.535,"LINESTRING (43.5525572 5.9526057, 43.552386 5.9526772)",
98422479,residential,False,False,230.351,"LINESTRING (43.5525572 5.9526057, 43.5525871 5.9528127, 43.5526284 5.9530319, 43.5526824 5.9533913, 43.5529314 5.9546431)",
98422479,residential,False,True,134.578,"LINESTRING (43.5525572 5.9526057, 43.55242 5.95171, 43.5524053 5.9514061)",
30441658,tertiary,False,False,134.872,"LINESTRING (43.5537789 5.9511786, 43.5539385 5.9523811)",
98219481,residential,False,False,154.006,"LINESTRING (43.5537789 5.9511786, 43.5524053 5.9514061)",
98222659,residential,False,True,168.514,"LINESTRING (43.5537789 5.9511786, 43.5552691 5.9508626)",
30441658,tertiary,False,True,186.721,"LINESTRING (43.5537789 5.9511786, 43.5536483 5.9505397, 43.5534739 5.9495272)",
98219481,residential,False,False,37.298,"LINESTRING (43.5517478 5.9518707, 43.5514804 5.9520751)",
98219481,residential,False,True,41.357,"LINESTRING (43.5517478 5.9518707, 43.5520427 5.951642)",
