osmid,name,highway,oneway,reversed,length,geometry,access,bridge
186545067,,residential,False,False,55.567,"LINESTRING (-12.5444221 8.6845012, -12.5445187 8.6845091, -12.5446689 8.6845422, -12.5447279 8.6845303, -12.5449062 8.6844535)",,
"[797125321, 186545068]",,residential,False,True,142.88299999999998,"LINESTRING (-12.5444221 8.6845012, -12.5443926 8.6843952, -12.5443818 8.6842938, -12.5443738 8.6841539, -12.5443885 8.6840743, -12.5444101 8.6840253, -12.5444503 8.6839875, -12.5445078 8.6839729, -12.5446527 8.6839769, -12.5446996 8.6840604, -12.5448284 8.6842566, -12.5448766 8.6843508, -12.5449062 8.6844535)",,
186545067,,residential,False,True,106.651,"LINESTRING (-12.5444221 8.6845012, -12.5442612 8.6845423, -12.5440131 8.6846205, -12.5438387 8.6846696, -12.5434906 8.684769)",,
186545066,,residential,False,False,76.859,"LINESTRING (-12.5468226 8.6840499, -12.5468843 8.6840459, -12.5469902 8.684034, -12.5471914 8.684026, -12.5473603 8.6840631, -12.5475026 8.6841273)",,
797125334,,residential,False,False,86.881,"LINESTRING (-12.5468226 8.6840499, -12.5467448 8.6838125, -12.5466925 8.6836336, -12.5466616 8.6835262, -12.5466375 8.6833764, -12.5466083 8.6832994)",,
797125335,,residential,False,True,41.959,"LINESTRING (-12.5468226 8.6840499, -12.5468332 8.6842129, -12.5468312 8.6844269)",,
186545062,,residential,False,False,148.492,"LINESTRING (-12.5464551 8.6834082, -12.5462984 8.6835361, -12.5461977 8.6836447, -12.5460543 8.6838158, -12.5459321 8.6839743, -12.545786 8.6840969, -12.5455245 8.684209, -12.545436 8.6842448)",,
186545062,,residential,False,True,20.737000000000002,"LINESTRING (-12.5464551 8.6834082, -12.546545 8.6833459, -12.5466083 8.6832994)",,
797125331,,residential,False,False,51.64,"LINESTRING (-12.5464551 8.6834082, -12.546266 8.6831961, -12.5462177 8.6831112, -12.5461931 8.6830305)",,
"[186545064, 797125340]",,residential,False,False,75.105,"LINESTRING (-12.5456894 8.6851799, -12.5457632 8.6851264, -12.5458222 8.6851105, -12.545967 8.6850839, -12.5461414 8.6850654, -12.5463493 8.685068)",,
186545064,,residential,False,True,13.208,"LINESTRING (-12.5456894 8.6851799, -12.5456358 8.6852537, -12.5456133 8.6852706)",,
797125339,,residential,False,False,33.439,"LINESTRING (-12.5456894 8.6851799, -12.5456987 8.6850759, -12.5456934 8.6849792, -12.5456761 8.6848812)",,
788656449,,unclassified,False,True,6.178,"LINESTRING (-12.5455446 8.684791, -12.5455808 8.6847485)",,
797125338,,residential,False,False,17.593,"LINESTRING (-12.5455446 8.684791, -12.5456761 8.6848812)",,
797125323,,residential,False,True,23.025,"LINESTRING (-12.5455446 8.684791, -12.5454105 8.6847234, -12.5453578 8.6846973)",,
797125338,,residential,False,True,17.593,"LINESTRING (-12.5456761 8.6848812, -12.5455446 8.684791)",,
797125338,,residential,False,False,77.036,"LINESTRING (-12.5456761 8.6848812, -12.5459483 8.6849328, -12.5463493 8.685068)",,
797125339,,residential,False,True,33.439,"LINESTRING (-12.5456761 8.6848812, -12.5456934 8.6849792, -12.5456987 8.6850759, -12.5456894 8.6851799)",,
381379746,Haul Road,unclassified,False,False,29.442,"LINESTRING (-12.5423368 8.6828268, -12.5424837 8.6830482)",no,
381379771,,residential,False,False,118.69099999999999,"LINESTRING (-12.5423368 8.6828268, -12.5423232 8.6828819, -12.5422186 8.6832199, -12.5421261 8.6836379, -12.5420582 8.6838572)",,
186545067,,residential,False,True,55.567,"LINESTRING (-12.5449062 8.6844535, -12.5447279 8.6845303, -12.5446689 8.6845422, -12.5445187 8.6845091, -12.5444221 8.6845012)",,
"[797125321, 186545068]",,residential,False,False,142.883,"LINESTRING (-12.5449062 8.6844535, -12.5448766 8.6843508, -12.5448284 8.6842566, -12.5446996 8.6840604, -12.5446527 8.6839769, -12.5445078 8.6839729, -12.5444503 8.6839875, -12.5444101 8.6840253, -12.5443885 8.6840743, -12.5443738 8.6841539, -12.5443818 8.6842938, -12.5443926 8.6843952, -12.5444221 8.6845012)",,
797125322,,residential,False,True,63.194,"LINESTRING (-12.5449062 8.6844535, -12.545004 8.6844025, -12.5451274 8.6843375, -12.5452226 8.6842924, -12.5453393 8.684262, -12.545436 8.6842448)",,
797125323,,residential,False,False,56.922,"LINESTRING (-12.5449062 8.6844535, -12.5449491 8.6844966, -12.5449988 8.684527, -12.5451154 8.6845821, -12.5452147 8.6846266, -12.5453219 8.6846796, -12.5453578 8.6846973)",,
186547007,,residential,False,False,22.539,"LINESTRING (-12.5410399 8.6847783, -12.5411214 8.6845923)",,
186547007,,residential,False,True,70.219,"LINESTRING (-12.5410399 8.6847783, -12.5408358 8.6853767)",,
800489594,,residential,False,False,153.606,"LINESTRING (-12.5410399 8.6847783, -12.5408506 8.6847485, -12.5406227 8.6847299, -12.5402243 8.6846902, -12.5396506 8.6846326)",,
284776385,Lunsar-Makeni Highway,primary,False,True,49.129,"LINESTRING (-12.5398923 8.6894616, -12.5402806 8.6892428)",,
186546994,,unclassified,False,True,76.06500000000001,"LINESTRING (-12.5398923 8.6894616, -12.5400045 8.6896688, -12.5401708 8.689975, -12.5402209 8.6900636)",,
284776385,Lunsar-Makeni Highway,primary,False,False,77.44200000000001,"LINESTRING (-12.5398923 8.6894616, -12.5398293 8.6894974, -12.5394616 8.6897064, -12.5392815 8.6898087)",,
797030547,,residential,False,False,23.45,"LINESTRING (-12.5469473 8.6862559, -12.5470079 8.6864581)",,
186547006,,residential,False,False,72.616,"LINESTRING (-12.5469473 8.6862559, -12.5468695 8.6860623, -12.546726 8.6856408)",,
"[186547019, 186547006]",,residential,False,"[False, True]",85.91900000000001,"LINESTRING (-12.5469473 8.6862559, -12.5469983 8.6862492, -12.5471579 8.6862161, -12.5473269 8.6861596, -12.547524 8.6860808, -12.5476863 8.6860132)",,
284776386,Lunsar-Makeni Highway,primary,False,False,63.396,"LINESTRING (-12.546726 8.6856408, -12.5461962 8.6858661)",,
284776386,Lunsar-Makeni Highway,primary,False,True,18.011,"LINESTRING (-12.546726 8.6856408, -12.5468803 8.6855863)",,
186547006,,residential,False,True,72.616,"LINESTRING (-12.546726 8.6856408, -12.5468695 8.6860623, -12.5469473 8.6862559)",,
186547007,,residential,False,False,39.734,"LINESTRING (-12.5405589 8.6862655, -12.5406549 8.685921)",,
186547007,,residential,False,True,34.395,"LINESTRING (-12.5405589 8.6862655, -12.5404674 8.6865613)",,
186546998,,residential,False,True,223.35299999999995,"LINESTRING (-12.5405589 8.6862655, -12.5407527 8.6862916, -12.5409205 8.6863519, -12.5411284 8.6863757, -12.5412906 8.6863877, -12.5413791 8.6863983, -12.5414918 8.6864195, -12.5416032 8.6864726, -12.5417775 8.6864884, -12.5419304 8.6864911, -12.5420953 8.6864937, -12.5422965 8.6864831, -12.5424574 8.6864831, -12.5425605 8.6864831)",,
