osmid,oneway,highway,reversed,length,bridge,geometry
"[852984634, 852984635, 330618628]",True,tertiary,False,63.483,yes,"LINESTRING (37.9561918 26.5570291, 37.9562914 26.5571388, 37.9565468 26.5574204, 37.956594 26.5574724)"
852984635,True,tertiary,False,18.0,,"LINESTRING (37.956594 26.5574724, 37.9567042 26.5576008)"
330633230,True,tertiary,False,510.88800000000003,,"LINESTRING (37.956594 26.5574724, 37.9581564 26.5567893, 37.9590891 26.5563408, 37.9599111 26.5559236, 37.9606865 26.555423, 37.9610402 26.5551933)"
330616135,True,tertiary,False,14.551,,"LINESTRING (37.9587278 26.5558583, 37.9585975 26.5559178)"
330618163,True,tertiary,False,10.46,,"LINESTRING (37.9585975 26.5559178, 37.9585506 26.5558336)"
330616135,True,tertiary,False,269.329,,"LINESTRING (37.9585975 26.5559178, 37.9584362 26.5560019, 37.9561918 26.5570291)"
330618164,False,residential,True,11.409,,"LINESTRING (37.9608439 26.5545434, 37.9607586 26.5544748)"
330616135,True,tertiary,False,256.79,,"LINESTRING (37.9608439 26.5545434, 37.9605874 26.5547347, 37.9598936 26.5552092, 37.9591882 26.5556316, 37.9587278 26.5558583)"
686716720,True,tertiary,False,12.004,,"LINESTRING (37.9611756 26.5551054, 37.9612487 26.5551913)"
852984635,True,tertiary,False,15.729,,"LINESTRING (37.9603883 26.5618886, 37.9604849 26.5620006)"
852984635,True,tertiary,False,73.37,,"LINESTRING (37.9604849 26.5620006, 37.9609354 26.5625231)"
330619871,True,tertiary,False,14.665,,"LINESTRING (37.9646607 26.5591935, 37.9645434 26.5592734)"
330619871,True,tertiary,False,504.877,,"LINESTRING (37.9645434 26.5592734, 37.9604849 26.5620006)"
330619875,False,residential,False,76.333,,"LINESTRING (37.9609354 26.5625231, 37.9615466 26.5621079)"
330619875,False,residential,True,76.333,,"LINESTRING (37.9615466 26.5621079, 37.9609354 26.5625231)"
330619880,False,residential,True,174.15,,"LINESTRING (37.9615466 26.5621079, 37.9626146 26.563349)"
330619875,False,residential,False,352.458,,"LINESTRING (37.9615466 26.5621079, 37.9643122 26.5602292, 37.9643552 26.5601787)"
330619875,False,residential,True,352.458,,"LINESTRING (37.9643552 26.5601787, 37.9643122 26.5602292, 37.9615466 26.5621079)"
330619880,False,residential,False,174.15,,"LINESTRING (37.9626146 26.563349, 37.9615466 26.5621079)"
330619884,False,residential,False,73.16,,"LINESTRING (37.9626146 26.563349, 37.963197 26.5629471)"
330619884,False,residential,True,73.16,,"LINESTRING (37.963197 26.5629471, 37.9626146 26.563349)"
330622247,True,tertiary,False,16.333,,"LINESTRING (37.9612487 26.5551913, 37.9611133 26.5552744)"
686716720,True,tertiary,False,362.384,,"LINESTRING (37.9612487 26.5551913, 37.9634572 26.5577833)"
852984635,True,tertiary,False,111.682,,"LINESTRING (37.9567042 26.5576008, 37.9573878 26.5583976)"
852984609,True,tertiary,False,17.168,,"LINESTRING (37.9565215 26.5577113, 37.956415 26.5575898)"
"[852984632, 852984609, 852984633]",True,tertiary,False,66.404,yes,"LINESTRING (37.956415 26.5575898, 37.9563281 26.5574906, 37.9560871 26.5572158, 37.956003 26.5571199)"
852984633,True,tertiary,False,13.282,,"LINESTRING (37.956003 26.5571199, 37.9559206 26.5570259)"
852984609,True,tertiary,False,212.80200000000002,,"LINESTRING (37.9602637 26.5620327, 37.9600712 26.5618107, 37.9589541 26.5605193)"
330684543,True,tertiary,False,78.075,,"LINESTRING (37.9581004 26.5595324, 37.9574814 26.5599642)"
852984609,True,tertiary,False,13.381,,"LINESTRING (37.9581004 26.5595324, 37.9580181 26.5594372)"
330684542,False,residential,False,12.664,,"LINESTRING (37.9553256 26.5614685, 37.9552483 26.561378)"
330684542,False,residential,True,69.114,,"LINESTRING (37.9553256 26.5614685, 37.9557485 26.5619617)"
330684542,False,residential,False,69.114,,"LINESTRING (37.9557485 26.5619617, 37.9553256 26.5614685)"
330684542,False,residential,True,105.914,,"LINESTRING (37.9557485 26.5619617, 37.9563966 26.5627175)"
330684554,False,residential,True,80.102,,"LINESTRING (37.9557485 26.5619617, 37.9551096 26.5624003)"
330684554,False,residential,False,80.102,,"LINESTRING (37.9551096 26.5624003, 37.9557485 26.5619617)"
330684555,False,residential,True,106.772,,"LINESTRING (37.9551096 26.5624003, 37.9557624 26.5631626)"
330684542,False,residential,True,79.823,,"LINESTRING (37.9547597 26.5608085, 37.9552483 26.561378)"
330684543,True,tertiary,False,81.588,,"LINESTRING (37.9559724 26.5610172, 37.9553256 26.5614685)"
330684560,False,residential,True,61.932,,"LINESTRING (37.9559724 26.5610172, 37.9563328 26.5614714)"
330684561,False,residential,False,69.567,,"LINESTRING (37.9582788 26.5609206, 37.9578512 26.5604255)"
330684562,False,residential,False,82.772,,"LINESTRING (37.9582788 26.5609206, 37.9584071 26.5609154, 37.9589541 26.5605193)"
