osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge,junction
48226988,Rua Moçambique,residential,False,True,49.85,,"LINESTRING (6.73031 0.3390885, 6.7303136 0.3395368)",,,
368637558,Rua Moçambique,residential,False,False,52.449,2,"LINESTRING (6.73031 0.3390885, 6.7302846 0.3386175)",,,
48226987,Rua da Guine,residential,True,False,122.299,1,"LINESTRING (6.73031 0.3390885, 6.7296683 0.3391908, 6.7292285 0.3392864)",,,
463432715,Rua Angola,residential,False,True,48.848,,"LINESTRING (6.7308417 0.3390663, 6.7308419 0.338627)",,,
368637559,Rua da Guine,residential,True,False,59.379000000000005,1,"LINESTRING (6.7308417 0.3390663, 6.7307678 0.3390848, 6.7305255 0.3390888, 6.73031 0.3390885)",,,
463432716,Rua Angola,residential,False,False,37.681,,"LINESTRING (6.7308417 0.3390663, 6.7308529 0.3392318, 6.7308645 0.3394044)",,,
206663848,,primary,False,True,45.083,2,"LINESTRING (6.7272885 0.3405134, 6.7276409 0.3403129)",,,
216732533,Avenida da Concelção,secondary,False,True,45.221,2,"LINESTRING (6.7272885 0.3405134, 6.7270809 0.3401637)",ES 2,,
48227002,Rua Patrice Lumumba,residential,False,False,41.428,2,"LINESTRING (6.7315475 0.3397127, 6.7315112 0.3393419)",,,
105511556,Avenida Marginal 12 Julho,secondary,False,True,73.859,,"LINESTRING (6.7315475 0.3397127, 6.7308928 0.3398249)",,,
"[346644408, 1056956531, 105511556]",Avenida Marginal 12 Julho,secondary,False,False,128.752,,"LINESTRING (6.7315475 0.3397127, 6.7320861 0.3396379, 6.7322064 0.3396337, 6.7322975 0.3396337, 6.7324091 0.3396497, 6.7325752 0.3396979, 6.7326902 0.3397193)",,yes,
48226993,Rua Angola,residential,False,False,95.519,2,"LINESTRING (6.730811 0.3368136, 6.7308255 0.3376725)",,,
198310314,Avenida Kwama N’Kruma,tertiary,False,True,49.682,2,"LINESTRING (6.730811 0.3368136, 6.7312578 0.3368118)",,,
561558973,Avenida Kwama N’Kruma,tertiary,False,False,55.299,,"LINESTRING (6.730811 0.3368136, 6.7303144 0.3367868)",,,
