osmid,highway,junction,oneway,reversed,length,geometry,name,bridge
208844432,secondary,roundabout,True,False,1.712,"LINESTRING (7.4198147 1.6414678, 7.4198281 1.6414754)",,
208844432,secondary,roundabout,True,False,4.384,"LINESTRING (7.4197838 1.6415558, 7.4197669 1.6415456, 7.4197557 1.6415294)",,
208842769,residential,,False,False,8.037,"LINESTRING (7.4193312 1.6390711, 7.4192645 1.639099)",,
208844172,secondary,,True,False,29.779,"LINESTRING (7.4193312 1.6390711, 7.4193946 1.6393313)",,
208842769,residential,,False,True,86.345,"LINESTRING (7.4193312 1.6390711, 7.4195626 1.6389003, 7.419821 1.6393155)",,
243173604,residential,,False,False,136.743,"LINESTRING (7.4203647 1.6421409, 7.4210382 1.6414923, 7.4212606 1.6412985)",Largo da Juventude,
208842080,residential,,False,False,56.652,"LINESTRING (7.4201741 1.6411013, 7.4198281 1.6414754)",Rua de Guiné Bissau,
208842080,residential,,False,True,69.899,"LINESTRING (7.4201741 1.6411013, 7.4206058 1.6406442)",Rua de Guiné Bissau,
208842082,residential,,False,False,60.29,"LINESTRING (7.4201741 1.6411013, 7.4202376 1.6415756, 7.4202461 1.6416387)",Avenida Con. dos Reis,
208842082,residential,,False,False,52.937,"LINESTRING (7.4202461 1.6416387, 7.4203371 1.642106)",Avenida Con. dos Reis,
208842510,residential,,False,True,107.068,"LINESTRING (7.4202461 1.6416387, 7.420925 1.6409556)",Rua 5 de Outubro,
208842082,residential,,False,True,60.29,"LINESTRING (7.4202461 1.6416387, 7.4202376 1.6415756, 7.4201741 1.6411013)",Avenida Con. dos Reis,
208842510,residential,,False,False,26.287,"LINESTRING (7.4202461 1.6416387, 7.4202114 1.6416689, 7.4200677 1.6417939)",Rua 5 de Outubro,
208842111,residential,,False,False,53.341,"LINESTRING (7.4212606 1.6412985, 7.420925 1.6409556)",,
243173604,residential,,False,False,50.63,"LINESTRING (7.4212606 1.6412985, 7.4214552 1.641146, 7.4216262 1.6410272)",Largo da Juventude,
243173604,residential,,False,True,136.743,"LINESTRING (7.4212606 1.6412985, 7.4210382 1.6414923, 7.4203647 1.6421409)",Largo da Juventude,
