osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,bridge
223666060,False,1,tertiary,30,False,15.608,"LINESTRING (57.52483 -20.3153651, 57.5248823 -20.3153354, 57.5249581 -20.3152925)",,,
508502010,True,2,tertiary,30,False,204.70100000000002,"LINESTRING (57.52483 -20.3153651, 57.5240475 -20.3145504, 57.5236564 -20.3141597, 57.5235056 -20.3140064)",B63,Jerningham Street,
1197482073,True,1,secondary,60,False,69.69500000000001,"LINESTRING (57.5211399 -20.3121795, 57.520802 -20.3119563, 57.5206325 -20.3118339, 57.5205983 -20.3118125)",,Georges Guibert Street,
1183399071,True,1,tertiary,,False,17.605,"LINESTRING (57.5205172 -20.311692, 57.5204121 -20.3115681)",,,
"[508506698, 623578692, 1197482071]",True,"['1', '2']",secondary,60,False,126.982,"LINESTRING (57.5205172 -20.311692, 57.5206871 -20.3117896, 57.5209065 -20.3119528, 57.5212109 -20.3121699, 57.5212846 -20.3122021, 57.5213293 -20.312205, 57.5213496 -20.3121933, 57.5214415 -20.3121401, 57.5215264 -20.3120941)",B5,"['Theodore Sauzier Street', 'Georges Guibert Street']",
1204794536,True,2,secondary,60,False,9.585,"LINESTRING (57.5202369 -20.3116896, 57.5203283 -20.3116805)",B5,Georges Guibert Street,
223310337,False,2,secondary,60,False,57.407,"LINESTRING (57.5202369 -20.3116896, 57.520101 -20.3117211, 57.5197116 -20.311843)",B5,Georges Guibert Street,
223420871,False,2,unclassified,60,False,292.939,"LINESTRING (57.521949 -20.3128, 57.5197203 -20.3140034, 57.5195145 -20.3141145)",,Sir Virgile Naz Street,
223506962,True,2,secondary,40,False,108.993,"LINESTRING (57.521949 -20.3128, 57.5214019 -20.3123789, 57.5211399 -20.3121795)",B5,Georges Guibert Street,
1256852328,False,2,primary,40,False,82.891,"LINESTRING (57.5237528 -20.3131419, 57.5236675 -20.3134347, 57.5235499 -20.3138379, 57.5235433 -20.313861)",A10,Royal Road Curepipe,
1256852328,False,2,primary,40,True,201.30400000000003,"LINESTRING (57.5237528 -20.3131419, 57.5237828 -20.313033, 57.5238092 -20.3129374, 57.5241134 -20.3117667, 57.5241468 -20.3116638, 57.5241918 -20.3115312, 57.5242262 -20.3113873)",A10,Royal Road Curepipe,
98370063,False,2,residential,60,True,60.053,"LINESTRING (57.5166104 -20.3121825, 57.5169381 -20.3126266)",,G. Guibert Lane II,
500770657,False,,residential,,False,122.697,"LINESTRING (57.5166104 -20.3121825, 57.5176428 -20.3116532)",,,
98370063,False,2,residential,60,False,60.053,"LINESTRING (57.5169381 -20.3126266, 57.5166104 -20.3121825)",,G. Guibert Lane II,
