osmid,bridge,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,junction
"[46931985, 169229764]",yes,934,Bazoviška cesta,secondary,50,False,True,66.312,"LINESTRING (13.8730431 45.7057594, 13.8729039 45.7058936, 13.8726638 45.7061272, 13.8725444 45.7062435)",,
253975110,,,Bazoviška cesta,secondary,50,True,False,22.899,"LINESTRING (13.8730431 45.7057594, 13.8731083 45.705674, 13.8732178 45.7055961)",,
369885895,,934,Bazoviška cesta,secondary,,False,False,61.994,"LINESTRING (13.8727681 45.7050993, 13.8725192 45.7048942, 13.8723475 45.7047988, 13.8721858 45.704724)",,
369885895,,934,Bazoviška cesta,secondary,,False,True,31.655,"LINESTRING (13.8727681 45.7050993, 13.8729271 45.7052203, 13.8730563 45.7053001)",,
46931982,,,Cankarjeva ulica,unclassified,50,False,True,76.68199999999999,"LINESTRING (13.8673223 45.7067093, 13.8672957 45.706765, 13.8672846 45.7067892, 13.8672787 45.7069208, 13.8672853 45.7070416, 13.8672993 45.7073944)",2,
236878314,,445,Partizanska cesta,primary,30,False,True,99.92399999999999,"LINESTRING (13.8673223 45.7067093, 13.8675753 45.7067691, 13.867661 45.7067927, 13.86784 45.7068421, 13.8681394 45.70693, 13.868228 45.7069584, 13.8685061 45.7070585)",2,
23549356,,,Srebrničeva ulica,residential,,False,True,13.614,"LINESTRING (13.8697875 45.7075375, 13.8698213 45.7075061, 13.8698597 45.7074708, 13.869892 45.7074392)",,
169960610,,,Ulica Mare Husove,residential,,False,True,64.199,"LINESTRING (13.8697875 45.7075375, 13.8697549 45.707576, 13.8696036 45.707748, 13.8694527 45.7079201, 13.8694212 45.7079793, 13.8694083 45.7080445)",,
236878314,,445,Partizanska cesta,primary,30,False,False,52.431999999999995,"LINESTRING (13.8697875 45.7075375, 13.8697164 45.7075059, 13.8694654 45.7073977, 13.8694201 45.7073804, 13.8692323 45.7073125, 13.8692041 45.7073007)",2,
236878314,,445,Partizanska cesta,primary,30,False,True,83.979,"LINESTRING (13.8697875 45.7075375, 13.8699228 45.7075994, 13.870634 45.7079345, 13.8706864 45.7079574)",2,
746389404,,445,Partizanska cesta,primary,,False,False,4.55,"LINESTRING (13.873794 45.7093249, 13.8737437 45.7093039)",2,
23549352,,,Sejmiška pot,residential,,False,False,34.418,"LINESTRING (13.873794 45.7093249, 13.8737541 45.7093704, 13.8737371 45.7093954, 13.8737106 45.7094538, 13.873654 45.7096163)",,
"[344469969, 344469970, 746389403, 746389404]",,445,Partizanska cesta,primary,,False,"[False, True]",227.995,"LINESTRING (13.873794 45.7093249, 13.8738697 45.7093538, 13.8740744 45.7094322, 13.8741955 45.7094753, 13.8742239 45.7094857, 13.8742466 45.7094936, 13.874405 45.7095474, 13.8745644 45.7096051, 13.874659 45.7096398, 13.8747891 45.7096897, 13.8753505 45.7099038, 13.8759242 45.7100897, 13.8762786 45.7102043, 13.8764126 45.7102507)","['2', '3']",
23549352,,,Sejmiška pot,residential,,False,False,15.829,"LINESTRING (13.873654 45.7096163, 13.8736303 45.7096605, 13.873601 45.7096858, 13.8735128 45.7096971)",,
23549352,,,Sejmiška pot,residential,,False,True,34.418,"LINESTRING (13.873654 45.7096163, 13.8737106 45.7094538, 13.8737371 45.7093954, 13.8737541 45.7093704, 13.873794 45.7093249)",,
"[114525898, 150940196]",,,Repentaborska cesta,unclassified,,False,False,144.72199999999998,"LINESTRING (13.873654 45.7096163, 13.8737215 45.7096816, 13.8739971 45.7100909, 13.8741343 45.7102939, 13.8741663 45.7103355, 13.8741906 45.7103769, 13.8743129 45.7105768, 13.8744399 45.7107943)",,
23549352,,,Sejmiška pot,residential,,False,False,101.64099999999999,"LINESTRING (13.8735128 45.7096971, 13.8733539 45.7096612, 13.8731049 45.709605, 13.8729744 45.709587, 13.872849 45.7095696, 13.8727506 45.709556, 13.8723294 45.7095189, 13.8722351 45.7095137)",,
23549352,,,Sejmiška pot,residential,,False,True,15.829,"LINESTRING (13.8735128 45.7096971, 13.873601 45.7096858, 13.8736303 45.7096605, 13.873654 45.7096163)",,
444733630,,,,unclassified,,False,True,94.51599999999999,"LINESTRING (13.8735128 45.7096971, 13.8735117 45.709761, 13.8735197 45.7098176, 13.8735552 45.7099736, 13.8734643 45.7100979, 13.8734465 45.7101393, 13.8734327 45.7101904, 13.873401 45.710258, 13.8733417 45.7103588, 13.8732903 45.710432, 13.8732824 45.7104651, 13.8732826 45.7105064)",,
40008740,,,Levstikova ulica,residential,,False,False,127.995,"LINESTRING (13.8706987 45.7091141, 13.8706913 45.7090745, 13.8706966 45.7089931, 13.8706919 45.7089032, 13.870657 45.7087266, 13.8706095 45.7083355, 13.8706255 45.7082499, 13.870651 45.7081526, 13.8706858 45.7080561, 13.8707113 45.7080186, 13.8707458 45.7079834)",,
177665256,,,Pod Taborom,residential,30,False,True,45.721999999999994,"LINESTRING (13.8706987 45.7091141, 13.8706054 45.7090994, 13.8705343 45.7090825, 13.8703999 45.709045, 13.8702674 45.7090132, 13.870138 45.708991)",,
236878316,,,Sejmiška pot,residential,,False,True,57.652,"LINESTRING (13.8706987 45.7091141, 13.8707552 45.7091774, 13.871186 45.7095038)",,
23549354,,,Kosovelova ulica,residential,,False,False,89.066,"LINESTRING (13.8720852 45.7072312, 13.8720096 45.7072333, 13.8719398 45.7072225, 13.8718744 45.7072082, 13.871752 45.7071611, 13.8716219 45.7070971, 13.8715075 45.7070382, 13.8711083 45.7068394)",,
"[236878313, 46931978, 46931985]",yes,934,Bazoviška cesta,secondary,50,False,False,120.26,"LINESTRING (13.8720852 45.7072312, 13.8720599 45.7070496, 13.8720549 45.7069791, 13.8720559 45.7069223, 13.8720645 45.7068715, 13.8720798 45.7068175, 13.8721051 45.7067412, 13.8721399 45.7066749, 13.8722058 45.7065835, 13.8723066 45.7064759, 13.8724484 45.7063376, 13.8725444 45.7062435)",,
"[236878313, 23549343]",,934,Bazoviška cesta,secondary,50,False,True,151.89899999999997,"LINESTRING (13.8720852 45.7072312, 13.8721394 45.7075735, 13.8721714 45.707835, 13.8721884 45.7079573, 13.8722307 45.7082378, 13.8722334 45.7082556, 13.8722464 45.7083374, 13.8722545 45.7084041, 13.8722586 45.7084432, 13.8722447 45.7084861, 13.8722241 45.7085089, 13.8721685 45.7085754)",,
23549354,,,Kosovelova ulica,residential,,False,False,281.57699999999994,"LINESTRING (13.8706438 45.7066114, 13.8705354 45.7065568, 13.8699835 45.7062811, 13.8694458 45.7060236, 13.8693912 45.705999, 13.869169 45.7058929, 13.8690595 45.7058007, 13.8688641 45.705609, 13.8686919 45.7053705, 13.8685805 45.7051956, 13.8683636 45.7049364, 13.868223 45.7048068)",,
23549354,,,Kosovelova ulica,residential,,False,True,44.09,"LINESTRING (13.8706438 45.7066114, 13.8707654 45.7066718, 13.8708972 45.7067385, 13.8710524 45.7068126, 13.8711083 45.7068394)",,
